Label (Grouping),Unemployment Rate,"Agriculture, forestry, fishing and hunting, and mining",Construction,Manufacturing,Wholesale trade,Retail trade,"Transportation and warehousing, and utilities",Information,"Finance and insurance, and real estate and rental and leasing","Professional, scientific, and management, and administrative and waste management services","Educational services, and health care and social assistance","Arts, entertainment, and recreation, and accommodation and food services","Other services, except public administration",Public administration,"INCOME AND BENEFITS (IN 2018 INFLATION-ADJUSTED DOLLARS) Less than $10,000",HEALTH INSURANCE COVERAGE With health insurance coverage,HEALTH INSURANCE COVERAGE With private health insurance,YEAR STRUCTURE BUILT Built 2014 or later,YEAR STRUCTURE BUILT Built 2010 to 2013,HOUSING TENURE Renter-occupied,YEAR HOUSEHOLDER MOVED INTO UNIT Moved in 2015 or later,YEAR HOUSEHOLDER MOVED INTO UNIT Moved in 2010 to 2014,VEHICLES AVAILABLE No vehicles available,VEHICLES AVAILABLE 2 vehicles available,VEHICLES AVAILABLE 3 or more vehicles available,OCCUPANTS PER ROOM 1.01 to 1.50,OCCUPANTS PER ROOM 1.51 or more,MORTGAGE STATUS Owner-occupied units Housing units with a mortgage,65 years and over,MARITAL STATUS Males 15 years and over Never married,MARITAL STATUS Females 15 years and over Never married,EDUCATIONAL ATTAINMENT Less than 9th grade,"EDUCATIONAL ATTAINMENT 9th to 12th grade, no diploma",Bachelor's degree or higher,PLACE OF BIRTH Native Different state,SEX AND AGE 62 years and over,White,Black or African American,American Indian and Alaska Native,Asian,Hispanic or Latino (of any race),Own children of the householder under 6 years,Own children of the householder 6 to 17 years,Mean travel time to work (minutes),Median household income (dollars),Mean household income (dollars),Total housing units,Homeowner vacancy rate,Rental vacancy rate,ROOM Median rooms,VALUE Median (dollars),SELECTED MONTHLY OWNER COSTS (SMOC) Housing units with a mortgage Median (dollars),SELECTED MONTHLY OWNER COSTS (SMOC) Housing units without a mortgage Median (dollars),GROSS RENT Occupied units paying rent Median (dollars),Population in households,YEAR OF ENTRY Population born outside the United States,YEAR OF ENTRY Foreign born,Total households,Total population,Sex ratio (males per 100 females),Median age (years),tract_x,geoid,label_bin,label_three,label_four,USPS,ALAND,AWATER,ALAND_SQMI,AWATER_SQMI,INTPTLAT,INTPTLONG,relation_max_fee,relation_min_fee
9901,0.07006916427,0.005262247839,0.06329682997,0.1009913545,0.03531412104,0.1076426513,0.05986167147,0.03993659942,0.06013832853,0.1257233429,0.2023861671,0.112778098,0.06093371758,0.0319481268,0.05801152738,0.8867377522,0.5669913545,0.005982708934,0.009878962536,0.5461556196,0.1458213256,0.3151239193,0.09308357349,0.348945245,0.2328184438,0.07990778098,0.05712391931,0.7180639535,0.1531004619,0.4480760369,0.3858870968,0.1388306452,0.09388824885,0.2980414747,0.1298156682,0.1602419355,0.5166532258,0.07277073733,0.006785714286,0.1496428571,0.4926209677,0,0,31.60098096,68085.3887,88101.58131,0,1.072093023,3.075605536,4.6676097,569234.4683,2403.218731,607.7262533,1538.682558,0,0,0,0,0,131.9315092,36.82851382,9901,6073009901,1,1,1,CA,5606686,1665633,2.165,0.643,32.6853619,-117.2455744,1864,1155
9202,0.07006916427,0.005262247839,0.06329682997,0.1009913545,0.03531412104,0.1076426513,0.05986167147,0.03993659942,0.06013832853,0.1257233429,0.2023861671,0.112778098,0.06093371758,0.0319481268,0.05801152738,0.8867377522,0.5669913545,0.005982708934,0.009878962536,0.5461556196,0.1458213256,0.3151239193,0.09308357349,0.348945245,0.2328184438,0.07990778098,0.05712391931,0.7180639535,0.1531004619,0.75,0.7,0.05,0.38,0.03,0.11,0.01,0.48,0.17,0.06,0.02,0.57,0,0,31.60098096,68085.3887,88101.58131,0,1.072093023,3.075605536,4.6676097,569234.4683,2403.218731,607.7262533,1538.682558,0,725,673,0,5243,52330,32.2,9202,6073009202,0,0,0,CA,3619053,0,1.397,0,32.7860364,-117.1428842,1978,1155
7002,0.03,0,0.01,0.03,0.01,0.13,0.04,0.16,0.04,0.22,0.1,0.2,0.07,0.01,0.07,0.91,0.8,0,0.03,0.88,0.21,0.41,0.1,0.27,0.03,0,0.01,0.55,0.47,0.67,0.53,0.03,0.01,0.63,0.44,0.14,0.79,0.05,0.01,0.04,0.11,123,182,29,65190,93129,4750,0,1.7,3.4,719500,2919,955,1565,7005,1382,1205,4516,7082,117.3,38.2,7002,6073007002,0,0,3,CA,1443428,0,0.557,0,32.732371,-117.2356355,1864,1155
5400,0.1,0.01,0.12,0.22,0.06,0.12,0.08,0.01,0.01,0.09,0.09,0.11,0.07,0,0.04,0.86,0.42,0,0,0.65,0.08,0.35,0.07,0.33,0.37,0.15,0.1,0.68,0.19,0.52,0.41,0.29,0.21,0.05,0.03,0.09,0.68,0.03,0,0.01,0.95,641,1284,32.6,54447,63862,1618,0,0,4.8,368900,2056,555,1241,7231,2984,2899,1587,7231,113.3,30.5,5400,6073005400,0,0,0,CA,1544773,0,0.596,0,32.7119409,-117.1666546,1864,1155
4600,0.06,0,0.05,0.04,0.06,0.1,0.03,0.04,0.07,0.17,0.3,0.09,0.03,0.02,0.03,0.96,0.81,0.01,0.01,0.11,0.11,0.2,0.04,0.41,0.36,0.01,0,0.69,0.08,0.26,0.26,0.04,0.03,0.62,0.22,0.27,0.71,0.04,0,0.21,0.15,252,541,32,142827,184232,1846,0.5,11.8,6.3,898800,3444,806,1864,4597,1350,1255,1677,4613,104.2,49.2,4600,6073004600,0,0,0,CA,387073,0,0.149,0,32.7151766,-117.1449004,2423,1155
3201,0.08,0.03,0.11,0.15,0.03,0.17,0.02,0.02,0.06,0.08,0.2,0.05,0.05,0.05,0.04,0.86,0.54,0,0,0.3,0.07,0.27,0.02,0.39,0.38,0.13,0.02,0.71,0.06,0.45,0.45,0.22,0.11,0.12,0.05,0.12,0.63,0.02,0,0.01,0.91,387,1247,32.3,71883,83097,1871,2,0,5.3,403600,1945,548,1640,7429,2836,2750,1795,7429,95.7,34.3,3201,6073003201,0,0,0,CA,1617951,0,0.625,0,32.6836181,-117.0608884,2302,1682
3115,0.05,0,0.06,0.06,0.01,0.05,0.02,0.19,0.06,0.15,0.18,0.13,0.08,0.02,0.03,0.94,0.82,0,0,0.58,0.17,0.3,0.04,0.36,0.21,0.04,0.01,0.73,0.06,0.43,0.35,0.02,0.04,0.48,0.24,0.14,0.76,0.03,0,0.1,0.24,538,641,28.8,87685,111571,2428,0,0,4.5,745200,2914,406,1831,5780,1098,1080,2428,5780,84.5,40.1,3115,6073003115,0,0,0,CA,1532912,0,0.592,0,32.6955808,-117.0379718,3500,1346
3114,0.07,0,0.01,0.04,0.02,0.08,0.04,0.19,0.08,0.13,0.18,0.18,0.05,0.02,0.07,0.96,0.8,0,0,0.33,0.12,0.29,0.02,0.45,0.16,0,0,0.72,0.11,0.37,0.34,0.02,0.02,0.5,0.28,0.21,0.82,0.01,0.01,0.1,0.15,119,230,29.5,86726,120759,997,0,2.5,5.3,708200,2805,551,1985,2279,401,386,973,2279,91.4,43.2,3114,6073003114,0,0,0,CA,1135917,0,0.439,0,32.6998003,-117.045003,3500,1682
3113,0.04,0,0.05,0.05,0.03,0.08,0.01,0.22,0.07,0.12,0.19,0.09,0.07,0.03,0.06,0.92,0.79,0,0,0.3,0.09,0.22,0.06,0.42,0.21,0.01,0.01,0.78,0.09,0.4,0.33,0.05,0.04,0.44,0.2,0.17,0.71,0.02,0,0.17,0.27,315,448,28.9,104773,121294,1520,0,0,5.3,668700,2548,378,1943,3883,1056,997,1488,3883,89.5,40.3,3113,6073003113,1,2,2,CA,1588340,0,0.613,0,32.6961845,-117.0644799,2302,1467
3112,0.06,0,0.04,0.03,0.02,0.13,0.01,0.14,0.07,0.18,0.15,0.18,0.05,0.01,0.06,0.98,0.81,0,0,0.56,0.1,0.32,0.03,0.36,0.14,0.03,0,0.7,0.02,0.44,0.31,0.01,0.04,0.42,0.26,0.16,0.73,0.04,0,0.06,0.32,217,380,26.7,76048,85027,1294,0,0,4.6,617200,2815,345,1682,3138,596,593,1278,3143,104.9,35.5,3112,6073003112,0,0,0,CA,1503296,0,0.58,0,32.7058788,-117.0628402,2423,1467
3111,0.03,0,0.03,0.06,0.02,0.08,0.04,0.09,0.08,0.17,0.17,0.1,0.06,0.1,0.07,0.96,0.77,0,0,0.2,0.12,0.18,0.04,0.35,0.36,0.06,0.03,0.69,0.2,0.34,0.27,0.08,0.04,0.32,0.19,0.25,0.65,0.01,0.01,0.16,0.3,279,554,27.9,111128,109707,1396,0,0,5.2,633700,2781,578,1467,4044,1175,1136,1327,4051,90.1,44.8,3111,6073003111,0,0,0,CA,1444624,0,0.558,0,32.7050468,-117.0807478,2423,1682
3109,0.06,0,0.02,0.03,0.06,0.11,0.02,0.13,0.02,0.15,0.24,0.12,0.06,0.05,0.04,0.91,0.71,0,0,0.35,0.11,0.33,0.05,0.42,0.19,0,0.01,0.66,0.06,0.33,0.3,0.05,0.06,0.39,0.29,0.19,0.7,0.02,0.01,0.14,0.3,513,576,30.3,73750,98097,2558,0,0,4.8,636600,2708,487,1696,5994,1412,1311,2419,6031,75.8,43.9,3109,6073003109,0,0,0,CA,1094280,0,0.423,0,32.6918459,-117.0556229,3500,1640
3108,0.05,0,0.03,0.07,0.02,0.07,0.02,0.14,0.07,0.15,0.23,0.13,0.08,0,0.1,0.92,0.62,0,0.01,0.53,0.08,0.32,0.11,0.31,0.17,0.03,0.03,0.63,0.2,0.38,0.37,0.05,0.05,0.36,0.23,0.19,0.76,0.01,0.01,0.1,0.3,320,718,29.5,68258,92100,2020,0,0.6,4.6,684500,2562,513,1346,5313,1233,1181,1986,5373,98.4,41,3108,6073003108,0,0,0,CA,1083966,0,0.419,0,32.7074405,-117.0155785,3500,1682
3103,0.05,0.01,0.03,0.09,0.04,0.05,0.01,0.11,0.11,0.19,0.17,0.11,0.01,0.08,0,0.96,0.84,0,0,0.08,0.1,0.13,0,0.51,0.29,0.01,0,0.69,0.03,0.27,0.2,0.04,0.01,0.48,0.22,0.25,0.77,0,0,0.16,0.13,167,403,28.7,148000,147993,1061,0,17.8,6,832000,2945,668,3500,2838,751,733,1042,2838,101.4,47.5,3103,6073003103,0,0,0,CA,2039646,0,0.788,0,32.7070141,-117.0441008,1985,1682
3101,0.06,0,0.02,0.09,0.03,0.08,0.06,0.06,0.13,0.11,0.19,0.07,0.08,0.08,0.03,0.96,0.84,0,0,0.12,0.13,0.23,0,0.51,0.32,0.03,0.01,0.77,0.02,0.28,0.27,0.04,0.02,0.55,0.19,0.17,0.73,0.06,0,0.12,0.15,392,849,33.3,131149,173778,2070,3,0,6.4,925800,3480,673,2302,5757,1819,1793,1948,5766,93.8,45.7,3101,6073003101,0,0,0,CA,1050211,0,0.405,0,32.6994123,-117.0801318,2423,1467
3004,0.04,0.01,0.02,0.04,0.05,0.11,0.02,0.09,0.03,0.11,0.34,0.05,0.08,0.06,0.01,0.93,0.75,0,0,0.26,0.17,0.3,0.01,0.44,0.27,0.07,0,0.78,0.04,0.35,0.31,0.02,0.03,0.49,0.14,0.13,0.65,0,0,0.23,0.2,391,985,29.8,90050,110298,2141,2.9,0,5.1,624000,2744,680,1846,6057,1992,1960,2011,6062,92.2,38.6,3004,6073003004,0,0,0,CA,1271002,0,0.491,0,32.7130823,-117.0607339,3500,1682
3001,0.03,0.01,0.03,0.05,0.03,0.07,0.05,0.08,0.07,0.14,0.26,0.1,0.02,0.09,0.05,0.98,0.89,0,0,0.06,0.05,0.22,0,0.29,0.5,0.02,0,0.76,0.05,0.24,0.27,0,0.02,0.61,0.2,0.23,0.75,0,0,0.23,0.14,323,1042,33.1,141952,157216,2081,2.1,11.8,6.3,904500,3655,582,2423,5769,1461,1359,1868,5769,86.1,46.6,3001,6073003001,0,0,0,CA,2378715,0,0.918,0,32.7174952,-117.0753791,2302,1467
2712,0.02,0.01,0.03,0.03,0.02,0.09,0.04,0.13,0.1,0.2,0.14,0.14,0.06,0.03,0.11,0.94,0.71,0.02,0.01,0.79,0.15,0.48,0.04,0.33,0.15,0.04,0.11,0.75,0.18,0.64,0.48,0.04,0.07,0.57,0.14,0.08,0.59,0.04,0,0.22,0.29,157,239,25.6,67962,81259,1225,9.6,2.5,3.3,738200,3045,650,1736,2724,992,974,1175,2734,121.2,32.4,2712,6073002712,0,0,0,CA,2194501,0,0.847,0,32.7297628,-117.0732171,2423,1244
2711,0.08,0.01,0,0.03,0.04,0.09,0.05,0.1,0.08,0.18,0.26,0.07,0.05,0.03,0.05,0.92,0.77,0,0,0.34,0.13,0.25,0.04,0.34,0.18,0.03,0.03,0.71,0.06,0.44,0.32,0.02,0.01,0.62,0.23,0.2,0.66,0.01,0,0.22,0.19,219,219,23.7,91838,139382,1031,0.6,10.9,4.7,974800,3393,728,1978,2451,871,847,947,2500,103.9,41.6,2711,6073002711,0,0,0,CA,1360226,68328,0.525,0.026,32.7392472,-117.0716346,2423,1155
2703,0.05,0,0.09,0.05,0,0.12,0.05,0.06,0.05,0.19,0.14,0.12,0.11,0.04,0.04,0.87,0.66,0,0,0.45,0.13,0.32,0.12,0.38,0.15,0.06,0.02,0.82,0.09,0.48,0.48,0.08,0.06,0.41,0.22,0.15,0.37,0.34,0,0.09,0.34,192,332,26.2,73375,98864,1029,0,12.2,4.8,818200,2934,473,1482,2508,672,643,946,2543,89.4,34.3,2703,6073002703,0,0,0,CA,1985351,0,0.767,0,32.7451078,-117.0658125,2423,1244
2702,0.04,0.01,0.04,0.05,0.03,0.11,0.03,0.04,0.05,0.17,0.17,0.18,0.1,0.02,0.05,0.82,0.55,0,0,0.63,0.16,0.26,0.15,0.36,0.13,0.02,0.07,0.72,0.2,0.57,0.48,0.18,0.03,0.33,0.18,0.17,0.65,0.07,0.01,0.11,0.56,128,296,25.7,65119,82574,1338,5.9,5.2,3.4,734000,2505,572,1244,2955,1466,1444,1220,3120,85.6,40.2,2702,6073002702,0,0,0,CA,1359573,0,0.525,0,32.7542099,-117.0728017,2423,1155
2402,0.16,0,0.1,0.14,0.09,0.13,0.1,0.02,0.02,0.1,0.15,0.06,0.1,0.02,0.1,0.81,0.25,0.01,0,0.76,0.09,0.39,0.16,0.32,0.21,0.09,0.09,0.81,0.16,0.52,0.48,0.24,0.23,0.06,0.09,0.11,0.29,0.24,0.01,0.02,0.75,412,1079,31.1,32661,42196,1521,5.3,2.8,4.4,317400,1510,420,1155,5276,1730,1710,1420,5311,88.7,31,2402,6073002402,0,0,0,CA,502869,0,0.194,0,32.7468136,-117.1052325,2423,1244
2201,0.04,0,0.02,0.05,0.04,0.07,0.11,0.07,0.06,0.12,0.31,0.13,0.02,0,0.09,0.98,0.7,0,0,0.52,0.1,0.21,0.08,0.26,0.2,0.06,0.06,0.64,0.12,0.53,0.3,0.1,0.09,0.31,0.21,0.21,0.29,0.51,0,0.04,0.37,171,248,31.6,53727,101098,1092,0,0,4.4,588900,2640,538,1271,2901,809,771,1038,2901,98,44.1,2201,6073002201,0,0,0,CA,357367,0,0.138,0,32.7524807,-117.1124957,1978,1155
1901,0.17,0,0.02,0.03,0,0.07,0.02,0.13,0.05,0.24,0.12,0.26,0.05,0.01,0.05,0.84,0.63,0.02,0,0.97,0.28,0.47,0.19,0.17,0.04,0,0.03,0.72,0.51,0.7,0.61,0.01,0,0.63,0.49,0.12,0.67,0.07,0,0.1,0.16,192,15,34.7,52097,63066,3050,0,1.2,2.5,537500,2403.218731,607.7262533,1520,4578,1213,1166,2770,4603,138.1,33.4,1901,6059001901,0,0,0,CA,822786,0,0.318,0,33.8637759,-117.9637238,2095,1132
9800.31,0,0,0,0,0,0,0,0,0.63,0.21,0.17,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0.7180639535,0.1531004619,0.43,0.21,0.02,0.07,0.16,0.38,0.11,0.55,0.21,0.02,0.05,0.33,19,5,31.60098096,64500,97925,24,1.072093023,0,4.1,569234.4683,2403.218731,607.7262533,1900,48,186,157,24,1113,4537.5,44.1,980031,6037980031,0,0,0,CA,12492183,13434637,4.823,5.187,33.7390903,-118.2585391,1369,841
9800.21,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0.1531004619,0.5,0,0,0,1,0.33,0,0.33,0,0,0,0.67,0,4,31.60098096,68085.3887,88101.58131,4,0,3.075605536,4.6676097,569234.4683,2403.218731,607.7262533,1538.682558,12,0,0,4,12,200,52.3,980021,6037980021,0,0,0,CA,6380469,565373,2.464,0.218,34.270047,-118.3813338,1992,779
9800.19,0.09,0,0,0,0.1,0.05,0.11,0.05,0.05,0.2,0.39,0.05,0,0,0,1,0.91,0,0,0.17,0.23,0.17,0,0.36,0.17,0,0,0.59,0,0.17,0.15,0,0,0.77,0.34,0.38,0.83,0,0,0.15,0,14,9,27.8,226500,221046,70,0,0,5.7,840900,3944,850,3250,151,52,39,70,151,54.1,56.4,980019,6037980019,0,0,3,CA,44210349,31076,17.07,0.012,34.0925672,-118.5343628,3500,1538.682558
9800.15,0.12,0,0.13,0.07,0.02,0.08,0.05,0,0.05,0.16,0.29,0,0,0.15,0.01,0.87,0.59,0.18,0.07,1,0.38,0.5,0.07,0.29,0,0.02,0.19,0.7180639535,0,0.54,0.48,0.06,0.1,0.27,0.29,0.06,0.29,0.41,0,0.13,0.19,44,76,31.8,54167,67300,300,1.072093023,0,2.6,569234.4683,2403.218731,607.7262533,1062,525,86,80,276,556,110.6,31.7,980015,6037980015,0,0,0,CA,5188936,220674,2.003,0.085,33.7732472,-118.2888391,2209,1133
9303.01,0,0,0.1,0.08,0.11,0.13,0,0,0.09,0.06,0.3,0.05,0,0.09,0.02,0.97,0.66,0,0.02,0.12,0.07,0.22,0.07,0.39,0.33,0,0,0.5,0.03,0.54,0.26,0.02,0.1,0.22,0.17,0.21,0.69,0.09,0.02,0.01,0.21,0,17,38.6,75313,92146,300,6,0,5.2,310300,1375,494,1750,445,78,76,205,795,209.3,45.1,930301,6037930301,0,0,0,CA,1028565621,4125839,397.131,1.593,34.2803329,-117.8661408,2025,1350
9203.39,0.05,0.01,0.04,0.13,0.03,0.1,0.02,0.07,0.12,0.13,0.25,0.07,0.03,0.01,0.02,0.93,0.86,0,0,0.25,0.17,0.38,0.01,0.46,0.36,0,0.01,0.97,0,0.34,0.31,0.01,0.02,0.57,0.18,0.07,0.63,0.02,0,0.29,0.12,469,1784,36.8,146850,184362,2422,0.3,7.1,6.7,721700,3592,1472,2412,7649,2026,1903,2371,7649,98.9,36.5,920339,6037920339,0,0,3,CA,33718926,228821,13.019,0.088,34.4153572,-118.6121722,2810,1718
9203.38,0.09,0,0.03,0.09,0.04,0.09,0.03,0.09,0.09,0.19,0.22,0.08,0.03,0.03,0.05,0.96,0.85,0,0,0.1,0.17,0.19,0.01,0.49,0.35,0.01,0,0.91,0.17,0.28,0.26,0.02,0.02,0.54,0.18,0.13,0.68,0.04,0,0.21,0.17,563,1156,39.4,151827,176276,1771,0.8,0,7.4,688300,3449,1233,2025,5979,1492,1460,1759,5979,83,38.8,920338,6037920338,0,0,3,CA,3715461,0,1.435,0,34.3860838,-118.5964298,2412,1643
9203.37,0.08,0,0.11,0.14,0.01,0.11,0.04,0.04,0.06,0.08,0.18,0.14,0.08,0.02,0.04,0.85,0.44,0,0,0.71,0.25,0.38,0.03,0.44,0.23,0.18,0.07,0.65,0.17,0.52,0.47,0.2,0.12,0.18,0.09,0.08,0.66,0.06,0.01,0.08,0.69,481,1567,31.2,61369,76192,1977,1.4,1.4,4,424600,2281,706,1694,7330,2634,2595,1949,7330,117.2,28.8,920337,6037920337,0,0,0,CA,1648101,0,0.636,0,34.3736616,-118.5128742,1861,1167
9203.36,0.07,0,0.07,0.08,0.01,0.09,0.06,0.02,0.03,0.15,0.1,0.25,0.14,0.01,0.09,0.76,0.31,0.01,0,0.78,0.22,0.31,0.07,0.31,0.24,0.22,0.11,0.81,0.12,0.52,0.34,0.26,0.14,0.13,0.07,0.05,0.69,0.02,0,0.02,0.8,680,1481,23,47614,57555,1724,0,4.7,3.9,406100,2156,644,1368,6519,2958,2851,1661,6554,121.4,27.3,920336,6037920336,0,0,0,CA,1656822,967,0.64,0,34.3855971,-118.5358844,1861,1167
9203.34,0.08,0,0.05,0.06,0.02,0.08,0.04,0.09,0.05,0.11,0.26,0.1,0.1,0.05,0.06,0.97,0.85,0,0,0.41,0.23,0.31,0.13,0.44,0.17,0.01,0.01,0.72,0.07,0.38,0.3,0.02,0.01,0.41,0.35,0.24,0.72,0.03,0.01,0.11,0.22,307,844,32.9,79661,103189,2266,0,0,5.3,505700,2702,787,1718,5667,1283,1256,2195,6187,95.7,40.4,920334,6037920334,0,0,0,CA,2780846,21085,1.074,0.008,34.3873773,-118.5672498,2046,1167
9203.32,0.1,0,0.07,0.11,0.03,0.09,0.03,0.04,0.02,0.12,0.32,0.08,0.06,0.02,0.02,0.94,0.83,0,0,0.3,0.14,0.33,0.01,0.31,0.4,0.05,0.01,0.75,0.04,0.6,0.55,0.04,0.02,0.35,0.21,0.13,0.79,0.01,0.01,0.08,0.24,59,194,29.2,98750,117319,636,1.2,0,4.6,498000,2638,695,1561,1612,356,330,616,2358,105.2,26.1,920332,6037920332,0,0,0,CA,4266567,4637,1.647,0.002,34.3831792,-118.5139996,1865,1368
9203.31,0.03,0,0.08,0.11,0.06,0.09,0.03,0.06,0.07,0.14,0.2,0.05,0.06,0.07,0.03,0.96,0.75,0,0,0.36,0.11,0.29,0.15,0.4,0.2,0.02,0,0.78,0.13,0.31,0.23,0.07,0.05,0.32,0.22,0.2,0.78,0.04,0,0.08,0.27,254,612,30.7,90313,104103,1436,0,0,5.4,511100,2339,521,1538.682558,3749,779,546,1436,3824,88.5,43.3,920331,6037920331,0,0,0,CA,1505113,0,0.581,0,34.3971022,-118.545361,1949,1167
9203.3,0.04,0,0.02,0.08,0.04,0.1,0.03,0.07,0.12,0.1,0.24,0.06,0.05,0.12,0.06,0.96,0.83,0,0,0.44,0.15,0.38,0.14,0.42,0.12,0.03,0.01,0.84,0.08,0.29,0.17,0,0.03,0.42,0.26,0.24,0.75,0.01,0,0.13,0.2,292,641,34.7,86583,105146,2310,0,1.6,4.7,473700,2081,731,1949,5051,1129,1114,2277,5071,89.1,48.7,920330,6037920330,0,0,0,CA,3296573,620,1.273,0,34.4044037,-118.5606309,2046,1167
9203.29,0.05,0,0.04,0.09,0.01,0.1,0.02,0.09,0.04,0.12,0.31,0.1,0.04,0.04,0,0.97,0.84,0,0,0.37,0.18,0.28,0.05,0.45,0.18,0.03,0,0.65,0,0.38,0.29,0.02,0.01,0.44,0.25,0.19,0.71,0.03,0,0.11,0.19,360,914,32.2,97853,107410,2141,0,5.1,4.6,516700,2346,614,1873,5466,845,820,2099,5478,127.9,41,920329,6037920329,0,0,0,CA,2196951,0,0.848,0,34.4105552,-118.5503607,2046,1538.682558
9203.28,0.03,0,0.02,0.1,0.02,0.09,0.04,0.1,0.05,0.15,0.18,0.14,0.07,0.04,0.06,0.95,0.86,0,0.01,0.53,0.3,0.38,0.05,0.42,0.26,0.02,0.03,0.72,0.14,0.37,0.36,0.01,0.02,0.62,0.31,0.14,0.7,0.03,0.01,0.18,0.13,65,299,37.3,101250,154764,895,3.2,5.5,4.3,851700,3708,1172,2046,2066,604,517,843,2066,100,41.2,920328,6037920328,0,0,3,CA,2391901,10965,0.924,0.004,34.4146918,-118.5679312,2001,1538.682558
9203.26,0.08,0.01,0.02,0.08,0.03,0.12,0.07,0.07,0.07,0.1,0.27,0.07,0.04,0.06,0.04,0.98,0.82,0,0,0.5,0.18,0.35,0.05,0.43,0.21,0.02,0.02,0.88,0.12,0.28,0.28,0.02,0.03,0.46,0.23,0.16,0.58,0.04,0,0.21,0.22,388,1256,37.5,97917,137717,2626,0,7.3,4.6,580200,2964,807,1831,6725,1634,1580,2527,6725,85,41.3,920326,6037920326,0,0,3,CA,68219883,3635,26.34,0.001,34.3510162,-118.5979228,2290,1167
9203.22,0.04,0,0.04,0.06,0,0.1,0.03,0.09,0.11,0.13,0.25,0.1,0.08,0.02,0.06,0.98,0.86,0,0,0.15,0.08,0.17,0.05,0.38,0.3,0.04,0.01,0.74,0.07,0.28,0.24,0.02,0.05,0.41,0.3,0.26,0.78,0.05,0,0.02,0.2,172,633,31,89167,105578,1048,0,0,6.2,521300,2347,570,1167,2919,429,385,1048,2919,112.4,44.2,920322,6037920322,0,0,0,CA,1044917,0,0.403,0,34.3826426,-118.5490972,1949,1368
9203.14,0.03,0,0.04,0.06,0.05,0.07,0.04,0.07,0.09,0.12,0.23,0.12,0.06,0.05,0,0.95,0.83,0.02,0,0.27,0.13,0.32,0.01,0.44,0.42,0.02,0.01,0.83,0,0.29,0.37,0.01,0.02,0.38,0.19,0.15,0.71,0.02,0.01,0.08,0.29,177,570,29,105000,119786,940,0.9,0,6,598400,2740,779,1861,3062,648,581,934,3062,85.1,37.6,920314,6037920314,0,0,3,CA,11358678,1533,4.386,0.001,34.4030093,-118.5248234,1873,1085
9203.13,0.04,0,0.07,0.09,0.02,0.09,0.03,0.06,0.03,0.17,0.21,0.13,0.06,0.06,0.04,0.93,0.73,0,0,0.22,0.11,0.23,0.06,0.45,0.35,0.08,0.02,0.75,0.02,0.32,0.25,0.05,0.06,0.29,0.17,0.17,0.79,0.01,0.02,0.08,0.43,415,1045,30.4,101750,119091,1803,0,0,6,526400,2432,566,1643,5729,992,970,1803,5800,99.7,38.8,920313,6037920313,0,0,0,CA,2924279,0,1.129,0,34.3715616,-118.5513235,1949,1167
9203.12,0.06,0.01,0.04,0.09,0.02,0.05,0.05,0.08,0.08,0.1,0.27,0.1,0.06,0.07,0.01,0.95,0.77,0,0.01,0.53,0.19,0.4,0.06,0.3,0.27,0.04,0.01,0.72,0.05,0.34,0.27,0.04,0.05,0.37,0.2,0.23,0.78,0.04,0.01,0.08,0.22,353,569,30.5,81053,117779,2017,0,5.7,4.9,664900,3041,936,1476,4855,771,732,1922,4966,86.6,43,920312,6037920312,0,0,0,CA,12756215,4780,4.925,0.002,34.3629821,-118.5258812,1694,1167
9203.03,0.05,0.01,0.03,0.06,0.04,0.11,0.04,0.05,0.1,0.15,0.29,0.08,0.02,0.03,0.11,0.89,0.84,0,0.13,0.52,0.22,0.38,0.01,0.49,0.29,0.02,0.01,0.88,0.17,0.41,0.33,0,0.03,0.55,0.16,0.1,0.67,0.02,0.01,0.15,0.32,95,249,31.5,102500,159341,655,2,8.8,4.7,569234.4683,3857,904,2290,1616,471,439,618,1616,94.9,37.8,920303,6037920303,0,0,3,CA,51543691,11077,19.901,0.004,34.3160081,-118.6106718,3198,1738
9201.19,0.07,0,0.02,0.11,0.02,0.07,0.03,0.06,0.11,0.13,0.24,0.05,0.07,0.09,0,0.99,0.88,0,0,0.06,0.1,0.25,0,0.39,0.55,0,0,0.92,0,0.28,0.23,0,0.02,0.58,0.18,0.06,0.82,0.02,0,0.11,0.25,103,477,37.1,136029,142047,542,0,0,7.7,607600,3155,1055,1538.682558,1978,354,331,542,1978,96.6,40.2,920119,6037920119,0,0,3,CA,5064036,1082,1.955,0,34.4636693,-118.6354865,2810,1125
9201.18,0.06,0.01,0.04,0.05,0.04,0.07,0.09,0.06,0.09,0.09,0.27,0.09,0.03,0.07,0.02,0.99,0.89,0,0,0.1,0.08,0.28,0.02,0.46,0.42,0.01,0.01,0.83,0.02,0.29,0.29,0.01,0.02,0.37,0.16,0.1,0.72,0.03,0,0.14,0.26,448,1304,34.9,121426,130436,1837,0.8,0,6.7,531900,2639,668,2810,6169,1143,1132,1803,6169,91.9,39.1,920118,6037920118,0,0,3,CA,2965817,0,1.145,0,34.459244,-118.622565,2412,1125
