Label (Grouping),Unemployment Rate,"Agriculture, forestry, fishing and hunting, and mining",Construction,Manufacturing,Wholesale trade,Retail trade,"Transportation and warehousing, and utilities",Information,"Finance and insurance, and real estate and rental and leasing","Professional, scientific, and management, and administrative and waste management services","Educational services, and health care and social assistance","Arts, entertainment, and recreation, and accommodation and food services","Other services, except public administration",Public administration,"INCOME AND BENEFITS (IN 2018 INFLATION-ADJUSTED DOLLARS) Less than $10,000",HEALTH INSURANCE COVERAGE With health insurance coverage,HEALTH INSURANCE COVERAGE With private health insurance,YEAR STRUCTURE BUILT Built 2014 or later,YEAR STRUCTURE BUILT Built 2010 to 2013,HOUSING TENURE Renter-occupied,YEAR HOUSEHOLDER MOVED INTO UNIT Moved in 2015 or later,YEAR HOUSEHOLDER MOVED INTO UNIT Moved in 2010 to 2014,VEHICLES AVAILABLE No vehicles available,VEHICLES AVAILABLE 2 vehicles available,VEHICLES AVAILABLE 3 or more vehicles available,OCCUPANTS PER ROOM 1.01 to 1.50,OCCUPANTS PER ROOM 1.51 or more,MORTGAGE STATUS Owner-occupied units Housing units with a mortgage,65 years and over,MARITAL STATUS Males 15 years and over Never married,MARITAL STATUS Females 15 years and over Never married,EDUCATIONAL ATTAINMENT Less than 9th grade,"EDUCATIONAL ATTAINMENT 9th to 12th grade, no diploma",Bachelor's degree or higher,PLACE OF BIRTH Native Different state,SEX AND AGE 62 years and over,White,Black or African American,American Indian and Alaska Native,Asian,Hispanic or Latino (of any race),Own children of the householder under 6 years,Own children of the householder 6 to 17 years,Mean travel time to work (minutes),Median household income (dollars),Mean household income (dollars),Total housing units,Homeowner vacancy rate,Rental vacancy rate,ROOM Median rooms,VALUE Median (dollars),SELECTED MONTHLY OWNER COSTS (SMOC) Housing units with a mortgage Median (dollars),SELECTED MONTHLY OWNER COSTS (SMOC) Housing units without a mortgage Median (dollars),GROSS RENT Occupied units paying rent Median (dollars),Population in households,YEAR OF ENTRY Population born outside the United States,YEAR OF ENTRY Foreign born,Total households,Total population,Sex ratio (males per 100 females),Median age (years),tract_x,geoid,label_bin,label_three,label_four,USPS,ALAND,AWATER,ALAND_SQMI,AWATER_SQMI,INTPTLAT,INTPTLONG,relation_max_fee,relation_min_fee
1375.04,0.03,0,0.05,0.09,0.02,0.12,0.01,0.07,0.09,0.21,0.19,0.09,0.05,0.02,0,0.99,0.85,0,0,0.03,0.06,0.19,0.01,0.48,0.36,0,0,0.71,0.02,0.31,0.27,0.02,0.01,0.54,0.26,0.34,0.93,0.01,0.01,0.02,0.03,121,248,33,158500,241624,735,1,48.6,8.2,1185500,3668,1154,3500,2073,502,496,694,2073,101.1,50.4,137504,6037137504,0,0,3,CA,3837564,0,1.482,0,34.1480383,-118.5720594,3114,2152
1375.02,0.04,0,0.05,0.05,0.03,0.09,0.03,0.12,0.09,0.23,0.16,0.09,0.05,0.01,0.04,0.96,0.79,0,0,0.37,0.18,0.34,0.09,0.42,0.23,0.04,0.01,0.78,0.09,0.39,0.22,0.01,0.01,0.54,0.32,0.2,0.7,0.12,0.01,0.06,0.11,376,502,32.5,99836,138949,2029,2.6,7,5.5,714400,3359,650,2343,4807,1090,933,1833,4823,97.1,41,137502,6037137502,0,0,3,CA,2090222,0,0.807,0,34.1634518,-118.5976927,3060,1822
1375.01,0.1,0.02,0.03,0.07,0.02,0.09,0.07,0.05,0.13,0.16,0.19,0.11,0.07,0,0.06,0.88,0.77,0.11,0.03,0.62,0.38,0.33,0.04,0.31,0.16,0.01,0.02,0.71,0.09,0.46,0.31,0.03,0.03,0.47,0.2,0.16,0.76,0.08,0,0.06,0.2,307,456,36.3,85089,121685,2061,0,5.9,4.1,994000,4000,1082,2152,4435,1488,1457,1905,4516,96.7,36.5,137501,6037137501,0,0,0,CA,2514410,0,0.971,0,34.1649344,-118.5768036,3500,2068
1374.02,0.04,0.02,0.04,0.02,0.09,0.09,0.01,0.1,0.22,0.16,0.15,0.06,0.05,0,0.05,0.96,0.7,0,0.06,0.28,0.17,0.21,0.08,0.49,0.18,0,0.01,0.67,0.09,0.2,0.2,0.01,0.04,0.55,0.25,0.32,0.91,0.03,0,0.05,0.08,440,492,35.7,100781,129898,2247,0,21.3,6.4,768800,3508,963,1883,4801,1623,1581,2041,4887,90.8,51.5,137402,6037137402,0,0,3,CA,3082254,0,1.19,0,34.1554647,-118.6249524,3250,1822
1374.01,0.09,0,0.05,0.06,0.01,0.12,0,0.09,0.09,0.19,0.25,0.08,0.03,0.02,0.01,0.96,0.83,0,0.01,0.28,0.14,0.3,0.05,0.51,0.19,0.03,0.01,0.83,0.03,0.31,0.23,0.03,0.02,0.56,0.21,0.18,0.8,0.05,0.02,0.09,0.12,335,571,35.9,109821,143187,1755,0,4.1,5.9,736800,3082,696,2154,4385,1063,978,1641,4403,104.2,41.4,137401,6037137401,0,0,3,CA,2362815,14784,0.912,0.006,34.1590075,-118.6102529,3060,1822
1373.02,0.05,0,0.06,0.08,0.02,0.12,0.03,0.06,0.11,0.19,0.22,0.07,0.04,0.01,0.01,0.98,0.86,0,0,0.12,0.14,0.13,0.04,0.48,0.27,0,0.01,0.77,0.01,0.3,0.19,0.01,0.02,0.55,0.23,0.27,0.83,0.01,0,0.11,0.04,197,578,32.3,134971,156577,1599,0,0,6.9,824700,3317,908,2417,4348,1502,1491,1599,4406,109.3,52.1,137302,6037137302,0,0,3,CA,2446884,0,0.945,0,34.177348,-118.6541956,3500,2346
1373.01,0.05,0,0.03,0.08,0.03,0.1,0.01,0.04,0.11,0.2,0.26,0.06,0.08,0.02,0,0.99,0.89,0.03,0,0.07,0.06,0.23,0.01,0.47,0.46,0,0,0.76,0.01,0.31,0.23,0.03,0.03,0.44,0.21,0.21,0.8,0.04,0,0.08,0.11,105,361,34,152188,188398,805,3.4,0,7.1,886200,3826,855,3250,2345,608,569,727,2354,97.6,46.9,137301,6037137301,0,0,3,CA,1601322,8359,0.618,0.003,34.176253,-118.6340417,3244,1822
1372.01,0.09,0.01,0.03,0.04,0.04,0.09,0.02,0.05,0.08,0.25,0.28,0.05,0.06,0.02,0.04,0.98,0.78,0,0,0.57,0.2,0.26,0.11,0.28,0.16,0.03,0.06,0.77,0.07,0.3,0.26,0.05,0.05,0.49,0.16,0.17,0.63,0.05,0,0.11,0.22,713,767,34.5,75988,104333,2333,0,0,4.3,638100,2747,837,1822,5976,2342,2182,2333,6063,86.8,37.7,137201,6037137201,0,0,0,CA,1990842,3350,0.769,0.001,34.1736504,-118.6156242,3250,1426
1371.04,0.08,0,0.03,0.07,0.02,0.04,0.01,0.12,0.07,0.2,0.22,0.15,0.03,0.05,0.04,0.9,0.72,0.01,0,0.21,0.12,0.2,0,0.54,0.21,0,0.01,0.74,0.07,0.38,0.23,0.04,0.02,0.54,0.21,0.24,0.83,0.02,0,0.07,0.17,189,389,46.5,103799,133718,1068,0,11,5.8,642800,2849,883,3060,2889,1066,1020,1017,2889,100.3,47.4,137104,6037137104,0,0,3,CA,2564757,0,0.99,0,34.1737636,-118.5849481,2343,1116
1371.03,0.02,0,0.02,0.06,0.01,0.07,0.05,0.1,0.11,0.28,0.21,0.04,0.05,0.01,0.06,0.96,0.75,0,0.01,0.48,0.24,0.39,0.07,0.42,0.08,0.03,0,0.78,0.05,0.46,0.25,0,0.06,0.54,0.22,0.23,0.75,0.05,0,0.18,0.14,409,296,28.3,76906,107027,2568,0,0,4.2,424100,2418,737,2068,5311,2047,1852,2464,5311,82.9,42.5,137103,6037137103,0,0,0,CA,759715,0,0.293,0,34.1744854,-118.6013397,3060,1780
