,Own children of the householder 6 to 17 years,YEAR OF ENTRY Foreign born,Median age (years),GROSS RENT Occupied units paying rent Median (dollars),Sex ratio (males per 100 females),"Educational services, and health care and social assistance",relation_max_fee,White,ROOM Median rooms,Hispanic or Latino (of any race),Mean household income (dollars),VALUE Median (dollars),Mean travel time to work (minutes),Total population,Rental vacancy rate,relation_min_fee,HOUSING TENURE Renter-occupied,"Arts, entertainment, and recreation, and accommodation and food services",SELECTED MONTHLY OWNER COSTS (SMOC) Housing units without a mortgage Median (dollars),SELECTED MONTHLY OWNER COSTS (SMOC) Housing units with a mortgage Median (dollars),Own children of the householder under 6 years,label,INTPTLONG                                                                                                                             ,INTPTLAT,geoid
1568,175.0,886.0,44.2,1353.0,90.62,0.27,3500.0,0.09,5.7,0.14,99555.0,601600.0,44.9,1504.0,10.5,1296.0,0.35,0.07,1200.0,2686.0,11.0,0.0,-73.7679226,40.7148351,36081048200.0
1569,495.0,2954.0,37.5,1612.0,97.0,0.13,1632.0,0.3,4.2,0.37,70119.0,540700.0,38.0,4399.0,2.2,1266.0,0.63,0.3,866.0,3014.0,343.0,0.0,-73.8926967,40.7417172,36081048300.0
1570,694.0,3247.0,36.2,1296.0,86.96,0.31,1573.0,0.07,5.6,0.11,84770.0,435100.0,50.8,5377.0,4.0,988.0,0.38,0.05,873.0,2469.0,268.0,0.0,-73.7599374,40.7158173,36081048400.0
1571,386.0,3347.0,40.2,1776.0,88.26,0.14,1592.0,0.14,4.0,0.17,80443.0,429800.0,49.0,4620.0,4.944467353951887,1200.0,0.52,0.15,940.0,2125.0,207.0,0.0,-73.8843383,40.7397517,36081048500.0
1572,218.0,1094.0,31.3,1632.0,93.88,0.15,1612.0,0.27,4.8,0.36,81748.0,649000.0,38.2,1712.0,6.0,1337.0,0.37,0.28,733.0,2492.0,138.0,0.0,-73.8921827,40.7373155,36081048900.0
1573,294.0,938.0,38.2,1605.0,88.94,0.24,1632.0,0.6,5.1,0.22,74827.0,596800.0,39.4,1914.0,5.2,1356.0,0.42,0.09,848.0,2525.0,109.0,0.0,-73.8942499,40.7323708,36081049301.0
1574,386.0,946.0,35.7,1434.0,92.01,0.16,1605.0,0.66,4.5,0.37,77275.0,593900.0,45.2,2669.0,2.2,1356.0,0.6,0.11,814.0,2475.0,211.0,0.0,-73.891803,40.727855,36081049302.0
1575,217.0,481.0,39.6,1526.0,81.24,0.26,1605.0,0.81,4.7,0.38,75318.0,629500.0,37.5,1343.0,3.3,1356.0,0.54,0.07,968.0,2929.0,95.0,0.0,-73.8904103,40.7253841,36081049500.0
1576,380.0,1899.0,41.0,1379.0,99.14,0.27,1514.0,0.13,5.7,0.24,80514.0,415900.0,43.1,3254.0,4.1,1092.0,0.31,0.07,732.0,2585.0,182.0,0.0,-73.7531219,40.7169502,36081049600.0
1577,405.0,1236.0,37.6,1529.0,98.75,0.18,1632.0,0.5,4.9,0.22,79411.0,602100.0,39.3,2854.0,4.944467353951887,1356.0,0.47,0.11,775.0,2306.0,151.0,0.0,-73.8903723,40.731751,36081049700.0
1578,674.0,3202.0,40.9,1423.0,101.85,0.19,1776.0,0.23,4.3,0.19,68732.0,650800.0,42.0,5123.0,1.0,1456.0,0.52,0.2,800.0,2284.0,379.0,0.0,-73.8833525,40.7311285,36081049900.0
1579,481.0,1924.0,40.3,1254.0,111.34,0.31,1573.0,0.09,3.4,0.14,53959.0,498700.0,49.9,4362.0,6.2,988.0,0.83,0.08,1050.0,2299.0,331.0,0.0,-73.7636159,40.7119449,36081050000.0
1580,142.0,775.0,36.0,1433.0,99.32,0.23,1537.0,0.48,4.3,0.21,76455.0,642200.0,45.1,1467.0,7.9,1223.0,0.68,0.1,1084.0,2704.0,104.0,0.0,-73.8747522,40.7290799,36081050500.0
1581,540.0,1617.0,39.7,1702.0,78.42,0.23,1738.0,0.6,4.7,0.21,81128.0,575600.0,44.0,3943.0,4.944467353951887,1422.0,0.45,0.1,692.0,2525.0,261.0,0.0,-73.8815871,40.7270209,36081050700.0
1582,230.0,811.0,38.9,1092.0,85.66,0.36,1431.0,0.03,5.7,0.07,94814.0,417700.0,59.7,1955.0,4.944467353951887,1260.0,0.17,0.06,664.0,2408.0,121.0,1.0,-73.7537153,40.7097117,36081051000.0
1583,270.0,859.0,41.3,1455.0,94.0,0.24,1615.0,0.87,5.1,0.16,111278.0,589300.0,39.7,2068.0,4.944467353951887,1263.0,0.32,0.08,770.0,2587.0,183.0,0.0,-73.9001655,40.7273279,36081051100.0
1584,463.0,1198.0,40.3,1332.0,82.81,0.3,1431.0,0.02,6.2,0.11,98891.0,421000.0,52.9,2850.0,4.944467353951887,1092.0,0.21,0.03,797.0,2153.0,194.0,0.0,-73.7501194,40.7104101,36081051200.0
1585,358.0,1155.0,38.9,1494.0,91.78,0.17,1615.0,0.58,4.7,0.22,71732.0,663900.0,43.2,2146.0,1.1,1406.0,0.57,0.1,793.0,3160.0,76.0,0.0,-73.8975137,40.7318897,36081051300.0
1586,268.0,1074.0,43.8,1406.0,96.51,0.23,1615.0,0.86,4.5,0.25,86301.0,514100.0,39.8,2757.0,4.944467353951887,1455.0,0.27,0.08,859.0,1922.0,247.0,0.0,-73.9014977,40.7309757,36081051500.0
1587,145.0,786.0,43.7,1321.0,101.3,0.34,1534.0,0.05,6.1,0.12,72180.0,379900.0,54.9,1854.0,4.944467353951887,1092.0,0.29,0.09,581.0,2057.0,64.0,0.0,-73.7472616,40.7027238,36081051600.0
1588,173.0,790.0,39.9,1487.0,83.94,0.22,1584.0,0.79,4.4,0.43,81534.0,472900.0,38.5,1959.0,2.2,1263.0,0.66,0.07,782.0,2602.0,204.0,0.0,-73.900294,40.7246283,36081051700.0
