tract_id,house_num,shape_area,shape_length,target
17031680900,475,2892446.971133317,128975.61712973726,0
17031681000,743,1500396.481012424,142612.21959597198,0
17031681100,844,1866793.56958761,166569.99206072072,0
17031681200,520,1680440.5624547547,112075.25285216412,0
17031681400,1108,2054898.8238992682,196065.50156118267,0
17031690400,777,2021243.7515807624,153429.7254367398,0
17031690500,195,639509.202525479,41959.81552666599,0
17031690900,1053,1993970.3224160494,195060.56187957083,0
17031691000,1029,2244030.217414301,195859.76963309676,0
17031691100,670,1466118.4793431726,127443.11281419513,0
17031691200,685,3414094.9359818944,162842.3521796636,0
17031691300,1149,2235925.529243661,207793.15484108275,0
17031691400,1448,2690920.5286796284,256722.62707738983,0
17031700200,2902,6380177.614475975,459748.50891327695,0
17031700301,2661,5162049.308115801,411933.1969482165,0
17031700302,2883,5052816.9657305125,476056.00507985125,0
17031700401,3189,5114636.803792737,468331.4861649802,0
17031700402,2117,3880526.717326754,313069.96117897774,0
17031700501,4112,6116344.002321154,613948.3079198843,0
17031700502,1694,3488029.5847643395,273809.6892001567,0
17031710200,1232,2892485.767712826,240849.54565632134,0
17031710300,380,1282610.600737076,82026.04663493208,0
17031710400,2131,3460192.9655319834,345901.31878768397,0
17031710900,770,2021758.5875105667,140822.5496212908,0
17031711100,1166,2238460.319234412,207508.0864616291,0
17031711200,2456,3857440.5211336017,380713.90118185966,0
17031711300,633,1212610.5231168587,111597.127368597,0
17031711500,1409,1918144.4430483212,218683.021754072,0
17031720100,1633,3667517.269170735,299646.7942545874,0
17031720200,1783,3801801.5978907105,321642.16672027705,0
17031720300,1970,3951398.6023025094,348137.1996816768,0
17031720400,1231,1940328.653724033,190042.56799449865,0
17031720500,1163,2072731.7497504884,188480.38881488476,0
17031720600,883,1662523.8941630642,150484.38359485526,0
17031720700,1016,2438272.0502593294,192837.32696098974,0
17031730100,1674,2302318.2072106767,253318.0262511113,0
17031730201,1834,3660064.2799199354,329458.58773560246,0
17031730202,1734,3381034.244030769,275527.808976727,0
17031730300,511,1112842.7459852998,88621.00209913809,0
17031730400,2017,3592164.126892904,326503.17246814596,0
17031730500,2760,3898381.421721883,415705.29074080975,0
17031730600,1886,2785498.898353856,294016.9592804118,0
17031730700,1440,2641747.016543569,229263.91096097103,0
17031740100,2130,3225905.649505909,326118.01726839354,0
17031740200,3342,7031238.87795355,564009.8033330629,0
