,Own children of the householder 6 to 17 years,YEAR OF ENTRY Foreign born,Median age (years),GROSS RENT Occupied units paying rent Median (dollars),Sex ratio (males per 100 females),"Educational services, and health care and social assistance",relation_max_fee,White,ROOM Median rooms,Hispanic or Latino (of any race),Mean household income (dollars),VALUE Median (dollars),Mean travel time to work (minutes),Total population,Rental vacancy rate,relation_min_fee,HOUSING TENURE Renter-occupied,"Arts, entertainment, and recreation, and accommodation and food services",SELECTED MONTHLY OWNER COSTS (SMOC) Housing units without a mortgage Median (dollars),SELECTED MONTHLY OWNER COSTS (SMOC) Housing units with a mortgage Median (dollars),Own children of the householder under 6 years,label,INTPTLONG,INTPTLAT,geoid
0,489.0,1449.0,,1609.0,95.8,0.25,2120.0,0.77,4.5,0.32,69041.0,458700.0,33.8,4314.0,2.1,1198.0,0.52,0.09,411.0,2270.0,230.0,0.0,-118.2929869,34.2594737,6037101110.0
1,351.0,846.0,,2120.0,90.1,0.25,2016.0,0.88,5.4,0.04,118157.0,608400.0,41.5,3239.0,0.0,1198.0,0.18,0.06,613.0,2602.0,42.0,0.0,-118.2901465,34.2677213,6037101122.0
2,804.0,3024.0,,1318.0,124.1,0.24,2120.0,0.79,3.6,0.43,50062.0,374300.0,28.1,6052.0,1.4,1198.0,0.86,0.1,106.0,2133.0,500.0,0.0,-118.2907309,34.2529724,6037101210.0
3,538.0,1686.0,,1198.0,84.7,0.22,2120.0,0.71,4.0,0.38,56903.0,414800.0,29.6,3497.0,0.0,1318.0,0.64,0.06,511.0,2104.0,188.0,0.0,-118.2816328,34.2516083,6037101220.0
4,181.0,764.0,,2111.0,84.5,0.26,2063.0,0.86,5.1,0.27,92459.0,591700.0,27.3,1771.0,0.0,1125.0,0.34,0.04,671.0,2578.0,110.0,0.0,-118.354188,34.2250792,6037102103.0
5,314.0,1784.0,,2063.0,86.6,0.26,2111.0,0.77,5.6,0.16,91305.0,548900.0,30.1,3554.0,0.0,1156.0,0.3,0.13,700.0,2581.0,194.0,0.0,-118.3453981,34.2161873,6037102104.0
6,273.0,765.0,,1455.0,105.4,0.25,2111.0,0.64,4.4,0.68,74509.0,463900.0,25.0,1857.0,0.0,1156.0,0.52,0.14,650.0,2021.0,62.0,0.0,-118.3492653,34.209876,6037102105.0
7,619.0,1367.0,,1125.0,112.3,0.16,2111.0,0.79,5.9,0.27,112644.0,625600.0,31.2,4333.0,0.0,1190.0,0.26,0.09,796.0,2707.0,44.0,0.0,-118.3396019,34.2409052,6037102107.0
8,224.0,790.0,,2016.0,111.5,0.25,2120.0,0.85,5.6,0.25,99208.0,509600.0,36.2,2597.0,0.0,1125.0,0.15,0.06,584.0,2399.0,225.0,0.0,-118.3078874,34.2732407,6037103101.0
9,473.0,2077.0,,1583.0,100.1,0.25,2120.0,0.73,5.2,0.23,87561.0,447500.0,35.7,4456.0,7.7,1125.0,0.21,0.06,558.0,2115.0,160.0,0.0,-118.3073883,34.2633843,6037103102.0
10,450.0,1346.0,,1992.0,106.0,0.2,1538.6825581395349,0.64,6.1,0.68,88614.0,429200.0,28.5,3647.0,0.0,779.0,0.17,0.1,708.0,2160.0,276.0,0.0,-118.3925764,34.2820993,6037104103.0
11,993.0,2927.0,,779.0,89.8,0.21,1992.0,0.53,4.9,0.74,75815.0,329000.0,31.9,6190.0,2.1,1099.0,0.44,0.13,704.0,1866.0,512.0,1.0,-118.4046862,34.276148,6037104105.0
12,889.0,1908.0,,1331.0,96.4,0.21,1992.0,0.58,4.8,0.8,64015.0,366900.0,33.0,5420.0,1.6,779.0,0.57,0.09,670.0,1798.0,440.0,0.0,-118.39857,34.2731497,6037104108.0
13,415.0,1136.0,,1363.0,111.9,0.33,1992.0,0.62,5.2,0.52,101320.0,383800.0,37.2,4189.0,0.0,779.0,0.17,0.05,653.0,2106.0,386.0,0.0,-118.374193,34.2900933,6037104124.0
14,656.0,1978.0,,1625.0,112.1,0.14,2290.0,0.58,5.5,0.89,62655.0,400900.0,32.7,4424.0,0.0,779.0,0.34,0.13,647.0,2126.0,351.0,0.0,-118.4160998,34.2865005,6037104201.0
15,1193.0,2699.0,,1439.0,92.8,0.11,1625.0,0.55,5.6,0.89,62300.0,368700.0,32.6,5541.0,0.0,779.0,0.54,0.08,660.0,2405.0,454.0,0.0,-118.4115543,34.2790581,6037104203.0
16,558.0,1657.0,,1320.0,103.4,0.14,1992.0,0.63,5.3,0.77,74394.0,359000.0,32.8,3562.0,0.0,779.0,0.36,0.14,750.0,2171.0,146.0,0.0,-118.3931176,34.2912875,6037104204.0
17,917.0,2532.0,,2290.0,94.9,0.15,1700.0,0.53,5.8,0.95,97987.0,388800.0,28.6,5313.0,0.0,1096.0,0.28,0.07,472.0,1901.0,570.0,0.0,-118.4292815,34.2763731,6037104310.0
18,780.0,2683.0,,1096.0,102.7,0.2,2290.0,0.62,4.5,0.91,64602.0,372500.0,28.3,5599.0,0.7,1099.0,0.58,0.05,629.0,2171.0,378.0,1.0,-118.4202492,34.2731324,6037104320.0
19,634.0,1599.0,,1700.0,102.9,0.16,2290.0,0.57,4.6,0.97,75045.0,396600.0,28.3,3452.0,0.0,1096.0,0.38,0.15,624.0,1847.0,272.0,0.0,-118.4327217,34.2670388,6037104401.0
20,492.0,1477.0,,1549.0,91.0,0.19,2082.0,0.55,4.9,0.97,65745.0,357800.0,26.7,3279.0,0.0,1190.0,0.32,0.08,644.0,2015.0,244.0,0.0,-118.4344932,34.2587946,6037104403.0
21,595.0,1386.0,,1399.0,125.8,0.14,2290.0,0.54,4.8,0.92,64974.0,396300.0,27.1,3128.0,2.5,1096.0,0.54,0.12,528.0,1814.0,294.0,0.0,-118.4286916,34.2639207,6037104404.0
22,465.0,1602.0,,1416.0,106.0,0.13,1700.0,0.5,4.8,0.98,65008.0,408300.0,28.9,3504.0,0.0,1096.0,0.38,0.13,527.0,2161.0,359.0,1.0,-118.4189927,34.2604355,6037104610.0
23,528.0,1610.0,,1658.0,112.7,0.16,1620.0,0.54,4.9,0.98,75527.0,395700.0,24.7,3684.0,0.0,1099.0,0.42,0.12,463.0,2071.0,314.0,0.0,-118.4224647,34.2579043,6037104620.0
24,1091.0,1727.0,,1099.0,79.3,0.15,1658.0,0.62,4.5,0.96,41358.0,395800.0,29.8,4325.0,0.0,779.0,0.77,0.08,607.726253298153,1990.0,336.0,0.0,-118.415214,34.2684745,6037104701.0
25,514.0,977.0,,1329.0,134.4,0.1,1700.0,0.65,4.0,0.91,54027.0,298000.0,23.9,2311.0,5.6,1099.0,0.64,0.06,503.0,2276.0,252.0,0.0,-118.4005897,34.2552267,6037104703.0
26,892.0,1784.0,,1395.0,97.8,0.18,1700.0,0.5,4.9,0.74,69464.0,223000.0,32.8,4331.0,7.9,779.0,0.38,0.09,636.0,1966.0,330.0,0.0,-118.4088637,34.2625316,6037104704.0
27,950.0,2535.0,,1700.0,107.6,0.19,1658.0,0.66,5.0,0.95,83989.0,364200.0,27.5,5789.0,0.0,1191.0,0.28,0.06,486.0,2278.0,353.0,0.0,-118.4111792,34.2502996,6037104810.0
28,443.0,1288.0,,1557.0,103.9,0.15,2204.0,0.63,4.3,0.91,63138.0,423200.0,26.6,2748.0,0.0,1191.0,0.64,0.08,744.0,1930.0,205.0,1.0,-118.4209447,34.2458703,6037104822.0
29,436.0,913.0,,2028.0,88.0,0.21,2038.0,0.76,6.2,0.75,88487.0,487800.0,28.8,3108.0,0.0,1316.0,0.27,0.06,831.0,2572.0,254.0,0.0,-118.4434033,34.3253415,6037106010.0
30,794.0,2113.0,,1913.0,100.0,0.19,2038.0,0.83,6.2,0.8,88342.0,466500.0,34.0,5807.0,0.0,1316.0,0.18,0.11,640.0,2423.0,326.0,0.0,-118.4294854,34.3232264,6037106020.0
31,541.0,1387.0,,2528.0,90.6,0.3,1913.0,0.62,6.2,0.6,100408.0,454500.0,34.9,4482.0,15.5,1320.0,0.12,0.04,777.0,2359.0,340.0,0.0,-118.407505,34.3213672,6037106111.0
32,1073.0,1657.0,,1885.0,100.4,0.21,2528.0,0.71,6.1,0.71,103760.0,454800.0,32.6,5885.0,15.4,1320.0,0.14,0.08,660.0,2443.0,587.0,0.0,-118.4124422,34.305491,6037106112.0
33,644.0,1389.0,,1787.0,104.6,0.29,2038.0,0.73,6.1,0.74,106138.0,448800.0,32.5,3962.0,0.0,1355.0,0.19,0.06,683.0,2378.0,199.0,0.0,-118.4222071,34.3061546,6037106113.0
34,1204.0,2160.0,,1355.0,100.1,0.2,2038.0,0.74,5.0,0.86,66340.0,339400.0,29.8,6410.0,6.4,1386.0,0.56,0.08,600.0,1858.0,660.0,0.0,-118.4268073,34.3023558,6037106114.0
35,490.0,1271.0,,2038.0,105.7,0.18,1784.0,0.82,5.3,0.9,71616.0,421000.0,28.0,3431.0,16.7,1316.0,0.15,0.14,740.0,2137.0,245.0,0.0,-118.4412741,34.3060186,6037106403.0
36,650.0,1357.0,,1316.0,98.6,0.12,2038.0,0.73,5.0,0.71,65672.0,349500.0,28.9,4813.0,0.0,1424.0,0.61,0.07,588.0,2164.0,616.0,0.0,-118.4482858,34.3146862,6037106405.0
37,1003.0,1886.0,,1718.0,84.7,0.23,2028.0,0.74,5.9,0.69,92391.0,381400.0,34.2,5860.0,0.0,1316.0,0.26,0.08,760.0,2460.0,391.0,0.0,-118.4589744,34.322861,6037106406.0
38,663.0,1030.0,,1548.0,92.8,0.26,2038.0,0.77,4.5,0.74,54918.0,241500.0,43.1,3272.0,3.0,1316.0,0.76,0.09,621.0,1771.0,277.0,0.0,-118.4365572,34.3105742,6037106407.0
39,784.0,1673.0,,1424.0,101.4,0.22,2038.0,0.74,4.4,0.91,61479.0,316000.0,27.8,3817.0,3.0,1316.0,0.86,0.12,607.726253298153,1736.0,384.0,0.0,-118.4400767,34.313263,6037106408.0
40,800.0,1506.0,,1740.0,141.5,0.23,2957.0,0.65,5.8,0.7,93420.0,498300.0,36.9,5347.0,5.7,1316.0,0.35,0.1,1071.0,3023.0,317.0,0.0,-118.4796123,34.3263984,6037106510.0
41,880.0,2318.0,,1774.0,101.1,0.17,1784.0,0.84,5.9,0.87,77777.0,395600.0,30.6,5879.0,3.7,1161.0,0.37,0.04,890.0,2210.0,564.0,0.0,-118.4613523,34.3088574,6037106520.0
42,492.0,1283.0,,3375.0,112.7,0.24,3500.0,0.67,7.1,0.16,137403.0,673400.0,32.7,3222.0,0.0,2283.0,0.14,0.05,883.0,3072.0,177.0,0.0,-118.5243083,34.3121073,6037106603.0
43,987.0,1905.0,,1345.0,102.6,0.13,2957.0,0.84,5.3,0.92,72742.0,501500.0,27.5,5143.0,0.0,1161.0,0.49,0.1,756.0,2371.0,495.0,0.0,-118.4745764,34.3033292,6037106604.0
44,273.0,814.0,,3047.0,79.7,0.23,3500.0,0.72,7.0,0.11,156660.0,667800.0,37.7,2352.0,0.0,2179.0,0.09,0.06,811.0,3051.0,152.0,0.0,-118.5084331,34.2984691,6037106641.0
45,481.0,943.0,,3500.0,94.2,0.25,3047.0,0.61,6.1,0.27,145415.0,604100.0,37.6,3016.0,0.0,1757.0,0.05,0.05,615.0,2630.0,63.0,0.0,-118.5070136,34.2863224,6037106642.0
46,590.0,1480.0,,2283.0,85.0,0.23,3500.0,0.65,7.4,0.13,192785.0,893700.0,36.5,4599.0,0.0,1757.0,0.14,0.08,1100.0,4000.0,222.0,0.0,-118.5220384,34.2894663,6037106643.0
47,387.0,1125.0,,2957.0,92.3,0.22,3500.0,0.79,6.9,0.16,139591.0,676800.0,37.2,3491.0,6.3,1345.0,0.11,0.08,1019.0,3106.0,228.0,0.0,-118.4941725,34.2905628,6037106645.0
48,359.0,1220.0,,2250.0,91.4,0.27,3500.0,0.56,6.3,0.34,118686.0,551900.0,31.9,3439.0,0.0,1520.0,0.1,0.05,660.0,2592.0,242.0,0.0,-118.4939447,34.2797379,6037106646.0
49,881.0,2376.0,,1161.0,111.9,0.15,2038.0,0.76,4.7,0.96,74537.0,403300.0,27.4,4569.0,2.0,1129.0,0.52,0.06,731.0,2231.0,347.0,0.0,-118.4558345,34.2930983,6037106648.0
50,398.0,1024.0,,1554.0,90.4,0.3,1784.0,0.6,6.0,0.65,97544.0,480300.0,31.0,2599.0,0.0,1129.0,0.23,0.1,720.0,2646.0,201.0,0.0,-118.460655,34.2892496,6037106649.0
51,543.0,1281.0,,1717.0,97.8,0.18,2038.0,0.69,5.5,0.96,68057.0,393200.0,32.0,3093.0,0.0,1161.0,0.26,0.07,457.0,2031.0,179.0,0.0,-118.4467204,34.3020803,6037107010.0
52,1116.0,2237.0,,1784.0,94.5,0.18,2038.0,0.69,5.8,0.86,97985.0,386200.0,39.4,5442.0,6.5,1129.0,0.3,0.1,536.0,2145.0,410.0,0.0,-118.4504794,34.2975505,6037107020.0
53,254.0,1062.0,,3354.0,106.1,0.21,3290.0,0.66,6.8,0.17,158136.0,696100.0,33.7,2417.0,0.0,1538.6825581395349,0.18,0.06,848.0,3111.0,104.0,0.0,-118.5416524,34.2793058,6037108101.0
54,501.0,1750.0,,2534.0,90.0,0.27,3354.0,0.51,6.7,0.08,115642.0,666100.0,38.0,3677.0,0.0,2643.0,0.13,0.11,883.0,3174.0,219.0,0.0,-118.5550665,34.2804584,6037108102.0
55,289.0,1323.0,,2941.0,97.6,0.29,3354.0,0.63,7.4,0.12,179376.0,863700.0,35.5,3153.0,0.0,1538.6825581395349,0.11,0.07,1083.0,3493.0,225.0,0.0,-118.5400017,34.2864236,6037108103.0
56,276.0,670.0,,3290.0,100.6,0.28,3354.0,0.58,7.0,0.06,152372.0,673800.0,43.3,1922.0,0.0,1538.6825581395349,0.12,0.02,772.0,2851.0,48.0,0.0,-118.5460083,34.2943135,6037108104.0
57,869.0,2464.0,,3198.0,107.7,0.28,3354.0,0.4,6.3,0.06,150661.0,687900.0,38.2,5501.0,0.0,2534.0,0.24,0.08,985.0,3044.0,336.0,0.0,-118.564234,34.2868634,6037108201.0
58,570.0,1422.0,,2746.0,115.8,0.24,2082.0,0.49,5.7,0.61,99625.0,467200.0,29.8,4938.0,11.4,1190.0,0.17,0.07,666.0,2301.0,457.0,0.0,-118.4495333,34.2593157,6037109601.0
59,626.0,2222.0,,1417.0,92.4,0.21,2746.0,0.46,5.1,0.68,70672.0,452200.0,31.2,4476.0,5.8,1160.0,0.4,0.04,455.0,2389.0,265.0,0.0,-118.4654157,34.2536518,6037109603.0
60,454.0,914.0,,1216.0,106.6,0.27,2746.0,0.48,5.3,0.54,88464.0,456000.0,27.3,3088.0,8.1,1160.0,0.21,0.06,732.0,2536.0,237.0,0.0,-118.4653518,34.2615445,6037109604.0
61,327.0,1185.0,,2179.0,93.1,0.18,3500.0,0.69,6.3,0.31,113101.0,575800.0,32.6,3485.0,13.1,1520.0,0.11,0.06,628.0,2601.0,276.0,0.0,-118.5101489,34.2748338,6037111201.0
62,817.0,1872.0,,1757.0,116.9,0.26,3500.0,0.57,5.2,0.28,91830.0,560300.0,29.9,5329.0,14.1,1520.0,0.31,0.07,738.0,2533.0,284.0,0.0,-118.5148271,34.2684432,6037111202.0
63,871.0,1871.0,,3161.0,106.9,0.26,3354.0,0.63,7.3,0.15,171731.0,749600.0,33.6,6153.0,0.0,1538.6825581395349,0.04,0.07,1017.0,3344.0,205.0,0.0,-118.5471995,34.262647,6037111204.0
64,737.0,1511.0,,2227.0,108.1,0.32,3161.0,0.46,5.4,0.17,109874.0,491700.0,34.1,4064.0,0.0,1520.0,0.47,0.09,832.0,2519.0,167.0,0.0,-118.5351305,34.2543903,6037111205.0
65,696.0,1093.0,,1538.6825581395349,103.2,0.3,3354.0,0.63,6.7,0.29,155877.0,647700.0,36.7,4382.0,0.0,1520.0,0.1,0.06,745.0,3072.0,134.0,0.0,-118.5343557,34.2690645,6037111206.0
66,1142.0,2857.0,,1520.0,97.3,0.26,2227.0,0.51,4.3,0.35,72229.0,562200.0,32.8,7151.0,3.6,1538.6825581395349,0.66,0.07,661.0,2589.0,538.0,0.0,-118.5157706,34.261129,6037111301.0
67,715.0,1703.0,,1687.0,101.7,0.25,2406.0,0.6,5.5,0.21,92511.0,605900.0,37.9,5325.0,5.0,1520.0,0.45,0.19,761.0,2735.0,196.0,0.0,-118.5128425,34.2539511,6037111302.0
68,450.0,1158.0,,2917.0,85.1,0.23,2643.0,0.76,6.5,0.24,111153.0,625200.0,34.1,3699.0,0.0,877.0,0.24,0.08,896.0,2598.0,163.0,0.0,-118.5852975,34.2654115,6037113101.0
69,249.0,684.0,,2643.0,119.5,0.19,3198.0,0.78,8.0,0.12,202650.0,865700.0,34.0,2928.0,0.0,2091.0,0.06,0.09,1280.0,3703.0,103.0,0.0,-118.56677,34.2663853,6037113102.0
70,241.0,943.0,,2191.0,78.8,0.17,2917.0,0.82,6.5,0.11,128385.0,476600.0,34.2,3929.0,2.1,1626.0,0.17,0.05,1029.0,2608.0,450.0,0.0,-118.6227776,34.2675047,6037113211.0
71,463.0,1165.0,,2097.0,88.0,0.28,2917.0,0.62,5.4,0.28,103364.0,553800.0,33.5,3272.0,0.0,877.0,0.37,0.08,792.0,2590.0,100.0,0.0,-118.6024264,34.2606831,6037113212.0
72,681.0,1771.0,,1738.0,98.9,0.31,3073.0,0.45,5.5,0.28,103746.0,520600.0,34.0,5059.0,0.0,1232.0,0.39,0.06,717.0,2799.0,199.0,0.0,-118.607847,34.2515,6037113213.0
73,432.0,497.0,,2438.0,119.4,0.32,3500.0,0.65,6.3,0.11,117087.0,655000.0,32.9,2424.0,0.0,1867.0,0.2,0.1,839.0,3047.0,98.0,0.0,-118.6502378,34.2266028,6037113231.0
74,523.0,1424.0,,3073.0,88.2,0.24,2521.0,0.71,6.4,0.17,163559.0,630200.0,33.2,4358.0,0.0,1232.0,0.15,0.08,839.0,2957.0,242.0,0.0,-118.6125452,34.225826,6037113232.0
75,971.0,3080.0,,1232.0,97.5,0.24,3073.0,0.41,3.8,0.61,60335.0,322000.0,28.5,7624.0,1.6,1287.0,0.75,0.14,439.0,2257.0,543.0,0.0,-118.6012202,34.2269621,6037113233.0
76,779.0,2238.0,,1313.0,98.6,0.2,1628.0,0.47,4.3,0.48,84584.0,236600.0,32.9,4818.0,11.1,1232.0,0.5,0.13,783.0,2429.0,415.0,0.0,-118.5939793,34.2257746,6037113234.0
77,283.0,236.0,,2107.0,103.6,0.19,3500.0,0.62,5.3,0.22,118267.0,518000.0,36.4,1834.0,0.0,1867.0,0.3,0.09,485.0,2811.0,145.0,0.0,-118.6516805,34.2382508,6037113235.0
78,509.0,915.0,,1871.0,101.4,0.29,3073.0,0.62,5.8,0.25,119496.0,705300.0,36.3,4145.0,4.8,1232.0,0.38,0.03,817.0,4000.0,228.0,0.0,-118.6126947,34.2451986,6037113237.0
79,340.0,983.0,,2318.0,112.6,0.18,2091.0,0.69,5.9,0.19,110269.0,839100.0,31.9,2960.0,16.1,877.0,0.47,0.14,962.0,3655.0,248.0,0.0,-118.5583429,34.2440427,6037113301.0
80,556.0,1374.0,,877.0,103.5,0.22,2318.0,0.64,5.8,0.31,95939.0,529300.0,29.1,4307.0,0.0,1564.0,0.11,0.06,613.0,2786.0,209.0,0.0,-118.5775956,34.2436235,6037113303.0
81,867.0,2221.0,,1626.0,108.8,0.27,2917.0,0.53,3.9,0.32,77700.0,348300.0,28.8,6420.0,2.1,877.0,0.76,0.11,748.0,2246.0,214.0,0.0,-118.5918392,34.2533539,6037113321.0
82,428.0,1588.0,,2091.0,106.1,0.29,2917.0,0.64,6.6,0.3,112544.0,625600.0,33.3,4284.0,0.0,877.0,0.16,0.09,678.0,2815.0,209.0,0.0,-118.5721382,34.2536788,6037113322.0
83,776.0,2550.0,,1565.0,99.9,0.25,2318.0,0.42,5.5,0.39,96618.0,495400.0,30.1,6284.0,0.0,1247.0,0.33,0.06,564.0,2825.0,358.0,0.0,-118.5626938,34.2272273,6037113401.0
84,1080.0,2859.0,,1628.0,99.1,0.2,1564.0,0.32,4.0,0.57,72425.0,477600.0,29.0,6810.0,3.8,877.0,0.79,0.1,605.0,2283.0,508.0,0.0,-118.5830621,34.2335792,6037113421.0
85,671.0,2465.0,,1564.0,106.8,0.24,1628.0,0.57,5.0,0.42,82604.0,481000.0,31.8,6385.0,13.7,1247.0,0.45,0.11,729.0,2304.0,484.0,0.0,-118.5807188,34.222799,6037113422.0
86,706.0,1360.0,,2406.0,80.2,0.26,2922.0,0.61,7.6,0.25,165147.0,848800.0,29.6,5060.0,0.0,1291.0,0.07,0.03,1063.0,3628.0,226.0,0.0,-118.5112305,34.2394391,6037115101.0
87,0.0,504.0,,1674.0,69.5,0.38,2406.0,0.45,3.8,0.36,51153.0,569234.468339307,18.0,3393.0,28.6,1481.0,1.0,0.24,607.726253298153,2403.218731117825,0.0,0.0,-118.5274503,34.2438279,6037115103.0
88,389.0,1344.0,,1578.0,106.5,0.3,2406.0,0.43,3.4,0.29,75190.0,501700.0,28.3,4752.0,10.4,1256.0,0.76,0.18,761.0,2870.0,161.0,0.0,-118.522646,34.2374909,6037115104.0
89,424.0,2453.0,,1570.0,131.1,0.29,2227.0,0.63,3.9,0.27,75418.0,592900.0,24.7,6909.0,6.2,1387.0,0.72,0.06,650.0,2457.0,417.0,0.0,-118.5382749,34.2441108,6037115201.0
90,542.0,1144.0,,1481.0,95.2,0.22,1788.0,0.51,4.7,0.39,86741.0,515900.0,30.5,5328.0,2.1,1256.0,0.57,0.1,716.0,2645.0,263.0,0.0,-118.5376549,34.2332349,6037115202.0
91,586.0,1662.0,,1788.0,122.3,0.26,2318.0,0.6,5.3,0.2,110704.0,577500.0,30.6,4600.0,4.0,1387.0,0.42,0.08,456.0,2975.0,346.0,0.0,-118.548089,34.2422846,6037115301.0
92,697.0,2008.0,,1396.0,109.0,0.21,1788.0,0.53,4.6,0.69,67460.0,529300.0,29.5,4132.0,1.4,1256.0,0.67,0.14,530.0,2825.0,305.0,0.0,-118.5503049,34.2259651,6037115302.0
93,1054.0,2682.0,,1291.0,99.0,0.24,2406.0,0.6,4.3,0.5,85296.0,705800.0,30.7,6219.0,6.0,1256.0,0.64,0.09,958.0,2995.0,524.0,0.0,-118.515127,34.2248079,6037115401.0
94,678.0,1745.0,,1256.0,113.4,0.26,1578.0,0.46,4.4,0.56,69022.0,542400.0,34.4,3722.0,0.0,1291.0,0.64,0.07,817.0,3020.0,251.0,0.0,-118.5317299,34.2247342,6037115403.0
95,386.0,1138.0,,1387.0,103.3,0.27,1788.0,0.48,5.6,0.5,78734.0,544900.0,26.2,2926.0,2.6,1256.0,0.46,0.05,589.0,2436.0,178.0,0.0,-118.5416703,34.2255624,6037115404.0
96,795.0,2710.0,,1398.0,104.8,0.24,1711.0,0.2,5.1,0.46,94394.0,411200.0,31.2,5115.0,3.1,1160.0,0.31,0.1,635.0,2226.0,305.0,0.0,-118.4621302,34.2391373,6037117101.0
97,377.0,1168.0,,1655.0,104.7,0.25,1711.0,0.57,5.0,0.64,79187.0,448600.0,32.6,2839.0,0.0,1160.0,0.34,0.13,913.0,2157.0,213.0,0.0,-118.4598237,34.2481946,6037117102.0
98,957.0,2025.0,,1160.0,86.4,0.2,1655.0,0.45,4.2,0.7,69521.0,515400.0,28.1,4785.0,5.8,1209.0,0.7,0.12,673.0,2787.0,476.0,0.0,-118.4700957,34.2426809,6037117201.0
99,332.0,1210.0,,2922.0,75.2,0.37,2406.0,0.56,6.2,0.33,106745.0,537100.0,36.6,4005.0,0.0,1160.0,0.16,0.06,664.0,2707.0,407.0,0.0,-118.4896512,34.2421587,6037117301.0
100,815.0,1744.0,,1750.0,87.9,0.26,2922.0,0.61,6.0,0.25,118561.0,566800.0,34.0,5335.0,0.0,1291.0,0.23,0.1,582.0,2464.0,398.0,0.0,-118.4987424,34.238143,6037117302.0
101,469.0,1016.0,,1901.0,93.8,0.24,2922.0,0.5,6.0,0.44,94757.0,488100.0,35.1,3578.0,0.0,1128.0,0.14,0.04,686.0,2651.0,226.0,0.0,-118.4912814,34.2281097,6037117303.0
102,609.0,1796.0,,1935.0,85.2,0.21,1901.0,0.57,5.9,0.44,93985.0,519800.0,31.4,4729.0,4.8,1095.0,0.32,0.07,778.0,2542.0,206.0,0.0,-118.479077,34.2284788,6037117404.0
103,734.0,1937.0,,1247.0,126.0,0.07,1344.0,0.34,3.9,0.93,45612.0,192000.0,26.9,3723.0,3.7,1128.0,0.93,0.13,607.726253298153,1542.0,434.0,0.0,-118.4702311,34.2337312,6037117405.0
104,966.0,2062.0,,1209.0,103.5,0.14,1935.0,0.18,3.6,0.96,36593.0,569234.468339307,32.6,4064.0,1.6,1128.0,0.99,0.14,607.726253298153,2403.218731117825,544.0,0.0,-118.4703117,34.2301059,6037117407.0
105,622.0,1400.0,,1128.0,104.2,0.21,1935.0,0.31,3.5,0.77,49915.0,372400.0,30.5,3333.0,1.1,1095.0,0.82,0.18,735.0,1958.0,507.0,0.0,-118.4703709,34.2248464,6037117408.0
106,1058.0,1832.0,,1344.0,99.8,0.16,1711.0,0.26,4.0,0.84,49972.0,351300.0,36.5,4340.0,3.3,1136.0,0.85,0.1,607.726253298153,2425.0,572.0,0.0,-118.4621485,34.233678,6037117510.0
107,721.0,1862.0,,1210.0,100.6,0.19,1344.0,0.25,3.7,0.84,46246.0,325000.0,30.9,4133.0,1.1,1136.0,0.83,0.16,603.0,1848.0,464.0,0.0,-118.4621861,34.2300853,6037117520.0
108,1221.0,3508.0,,1319.0,100.2,0.2,1450.0,0.31,3.9,0.79,63764.0,300600.0,37.7,6864.0,0.0,1128.0,0.79,0.16,736.0,1926.0,728.0,0.0,-118.4643776,34.2264373,6037117530.0
109,745.0,1959.0,,2204.0,100.0,0.19,1700.0,0.52,5.4,0.73,90920.0,422000.0,36.3,4329.0,0.0,1191.0,0.22,0.13,668.0,2141.0,263.0,0.0,-118.4203143,34.2351095,6037119001.0
110,1293.0,3686.0,,1620.0,100.4,0.2,2204.0,0.63,5.2,0.85,92560.0,426400.0,30.9,8052.0,0.0,1190.0,0.3,0.1,653.0,2246.0,428.0,0.0,-118.4275349,34.2469249,6037119002.0
111,619.0,1575.0,,2082.0,96.1,0.2,1620.0,0.68,5.4,0.87,91396.0,423400.0,30.0,4289.0,0.0,1190.0,0.25,0.11,593.0,2071.0,427.0,0.0,-118.440639,34.2462338,6037119201.0
112,567.0,2289.0,,1190.0,112.2,0.27,2746.0,0.42,5.1,0.88,72456.0,385300.0,30.0,4723.0,0.0,1399.0,0.26,0.08,528.0,2040.0,430.0,0.0,-118.4398322,34.2571321,6037119202.0
113,636.0,1890.0,,1527.0,106.3,0.13,2082.0,0.51,4.5,0.67,59975.0,285700.0,33.5,4085.0,2.4,1110.0,0.55,0.11,650.0,1721.0,194.0,0.0,-118.4516702,34.2450202,6037119310.0
114,973.0,2420.0,,1711.0,93.5,0.15,1398.0,0.27,4.3,0.71,67932.0,341400.0,34.1,4761.0,0.0,1110.0,0.73,0.13,607.726253298153,1982.0,315.0,1.0,-118.4547256,34.2369427,6037119320.0
115,909.0,1958.0,,1244.0,101.7,0.09,1711.0,0.44,3.3,0.95,43392.0,569234.468339307,33.4,4032.0,2.9,1110.0,0.99,0.09,607.726253298153,2403.218731117825,514.0,0.0,-118.4519009,34.233609,6037119340.0
116,405.0,1672.0,,1256.0,90.9,0.19,1711.0,0.41,4.3,0.58,63784.0,365600.0,35.2,2877.0,4.5,1110.0,0.66,0.1,710.0,2123.0,123.0,1.0,-118.4458757,34.2371667,6037119341.0
117,543.0,1550.0,,1553.0,107.0,0.17,2082.0,0.46,4.7,0.78,61015.0,263500.0,33.9,3092.0,1.8,1110.0,0.58,0.11,538.0,1944.0,303.0,1.0,-118.4472671,34.2407688,6037119342.0
