,Own children of the householder 6 to 17 years,YEAR OF ENTRY Foreign born,Median age (years),GROSS RENT Occupied units paying rent Median (dollars),Sex ratio (males per 100 females),"Educational services, and health care and social assistance",relation_max_fee,White,ROOM Median rooms,Hispanic or Latino (of any race),Mean household income (dollars),VALUE Median (dollars),Mean travel time to work (minutes),Total population,Rental vacancy rate,relation_min_fee,HOUSING TENURE Renter-occupied,"Arts, entertainment, and recreation, and accommodation and food services",SELECTED MONTHLY OWNER COSTS (SMOC) Housing units without a mortgage Median (dollars),SELECTED MONTHLY OWNER COSTS (SMOC) Housing units with a mortgage Median (dollars),Own children of the householder under 6 years,label,INTPTLONG,INTPTLAT,geoid
1618,1933.0,836.0,,1562.0,80.1,0.3,1658.0,0.67,6.7,0.42,63702.0,251200.0,37.4,9046.0,7.9,769.0,0.46,0.03,516.0,1583.0,736.0,0.0,-118.1556624,34.7113059,6037900803.0
1619,703.0,480.0,,1048.0,91.1,0.21,1562.0,0.53,5.1,0.57,45368.0,146200.0,28.9,3480.0,1.7,769.0,0.54,0.09,374.0,1289.0,295.0,1.0,-118.1407,34.7127333,6037900804.0
1620,602.0,614.0,,1166.0,102.6,0.17,1658.0,0.66,6.2,0.46,66419.0,228800.0,33.9,4814.0,18.9,769.0,0.38,0.14,453.0,1448.0,320.0,0.0,-118.1590805,34.6953331,6037900805.0
1621,671.0,340.0,,769.0,66.2,0.27,1562.0,0.47,3.7,0.31,30485.0,183300.0,30.7,4522.0,1.5,1010.0,0.9,0.07,335.0,1079.0,426.0,1.0,-118.1419762,34.69644,6037900806.0
1622,2264.0,1856.0,,2084.0,105.8,0.28,1658.0,0.59,7.5,0.35,108188.0,306300.0,35.7,13277.0,4.9,1206.0,0.22,0.08,639.0,1970.0,1303.0,0.0,-118.2080279,34.6862401,6037901004.0
1623,282.0,211.0,,1244.0,106.1,0.21,1527.0,0.83,6.2,0.34,116386.0,315100.0,25.8,2098.0,9.3,991.0,0.24,0.07,581.0,2083.0,155.0,0.0,-118.1832421,34.6530422,6037901007.0
1624,438.0,328.0,,1658.0,111.0,0.2,1562.0,0.66,6.8,0.35,82853.0,224400.0,28.9,2733.0,4.1,769.0,0.52,0.11,485.0,1685.0,166.0,0.0,-118.1748108,34.6966423,6037901008.0
1625,807.0,596.0,,1206.0,92.3,0.28,1658.0,0.63,6.7,0.28,101729.0,295100.0,30.7,5295.0,0.0,1044.0,0.33,0.07,636.0,1736.0,280.0,0.0,-118.1746568,34.6821498,6037901009.0
1626,1167.0,524.0,,1255.0,92.2,0.3,2084.0,0.66,6.3,0.31,75990.0,279700.0,35.1,5853.0,2.7,1206.0,0.45,0.06,600.0,1757.0,616.0,0.0,-118.1924401,34.6674861,6037901010.0
1627,763.0,637.0,,1256.0,101.7,0.28,1658.0,0.64,5.3,0.28,80289.0,255100.0,28.1,5322.0,3.0,991.0,0.48,0.1,564.0,1622.0,362.0,0.0,-118.1722433,34.6708476,6037901011.0
1628,1139.0,627.0,,1277.0,88.0,0.19,2084.0,0.71,6.6,0.29,70756.0,279300.0,33.1,5482.0,3.7,1083.0,0.34,0.05,680.0,1826.0,370.0,0.0,-118.2254095,34.663883,6037901101.0
1629,760.0,476.0,,1233.0,101.5,0.31,2084.0,0.72,6.7,0.29,83635.0,317900.0,30.4,5390.0,9.1,1083.0,0.31,0.09,542.0,1866.0,372.0,0.0,-118.2101059,34.6604334,6037901102.0
1630,2394.0,1216.0,,963.0,97.3,0.29,2150.0,0.64,7.0,0.24,85920.0,336700.0,34.1,11698.0,3.5,1083.0,0.34,0.09,657.0,2049.0,795.0,0.0,-118.2760035,34.6796913,6037901205.0
1631,274.0,157.0,,1402.0,89.9,0.12,2950.0,0.76,5.9,0.31,70573.0,259400.0,40.8,1840.0,0.0,1012.0,0.21,0.18,574.0,1578.0,76.0,0.0,-118.5708081,34.7464478,6037901209.0
1632,223.0,111.0,,1284.0,101.0,0.18,2150.0,0.82,5.7,0.29,78449.0,268300.0,42.1,1733.0,0.0,963.0,0.23,0.06,624.0,1621.0,135.0,0.0,-118.3864277,34.6789981,6037901210.0
