,Label (Grouping),Unemployment Rate,"Agriculture, forestry, fishing and hunting, and mining",Construction,Manufacturing,Wholesale trade,Retail trade,"Transportation and warehousing, and utilities",Information,"Finance and insurance, and real estate and rental and leasing","Professional, scientific, and management, and administrative and waste management services","Educational services, and health care and social assistance","Arts, entertainment, and recreation, and accommodation and food services","Other services, except public administration",Public administration,"INCOME AND BENEFITS (IN 2018 INFLATION-ADJUSTED DOLLARS) Less than $10,000",HEALTH INSURANCE COVERAGE With health insurance coverage,HEALTH INSURANCE COVERAGE With private health insurance,YEAR STRUCTURE BUILT Built 2014 or later,YEAR STRUCTURE BUILT Built 2010 to 2013,HOUSING TENURE Renter-occupied,YEAR HOUSEHOLDER MOVED INTO UNIT Moved in 2015 or later,YEAR HOUSEHOLDER MOVED INTO UNIT Moved in 2010 to 2014,VEHICLES AVAILABLE No vehicles available,VEHICLES AVAILABLE 2 vehicles available,VEHICLES AVAILABLE 3 or more vehicles available,OCCUPANTS PER ROOM 1.01 to 1.50,OCCUPANTS PER ROOM 1.51 or more,MORTGAGE STATUS Owner-occupied units Housing units with a mortgage,65 years and over,MARITAL STATUS Males 15 years and over Never married,MARITAL STATUS Females 15 years and over Never married,EDUCATIONAL ATTAINMENT Less than 9th grade,"EDUCATIONAL ATTAINMENT 9th to 12th grade, no diploma",Bachelor's degree or higher,PLACE OF BIRTH Native Different state,SEX AND AGE 62 years and over,White,Black or African American,American Indian and Alaska Native,Asian,Hispanic or Latino (of any race),Own children of the householder under 6 years,Own children of the householder 6 to 17 years,Mean travel time to work (minutes),Median household income (dollars),Mean household income (dollars),Total housing units,Homeowner vacancy rate,Rental vacancy rate,ROOM Median rooms,VALUE Median (dollars),SELECTED MONTHLY OWNER COSTS (SMOC) Housing units with a mortgage Median (dollars),SELECTED MONTHLY OWNER COSTS (SMOC) Housing units without a mortgage Median (dollars),GROSS RENT Occupied units paying rent Median (dollars),Population in households,YEAR OF ENTRY Population born outside the United States,YEAR OF ENTRY Foreign born,Total households,Total population,Sex ratio (males per 100 females),Median age (years),tract_x,GEOID,typology_x,typ_cat_x,label_x,Unnamed: 0,tract_y,typology_y,typ_cat_y,label_y,USPS,ALAND,AWATER,ALAND_SQMI,AWATER_SQMI,INTPTLAT,INTPTLONG                                                                                                                             
1360,5732.02,0.08,0.01,0.05,0.09,0.03,0.13,0.10,0.03,0.03,0.16,0.16,0.11,0.08,0.03,0.05,0.87,0.49,0.00,0.05,0.66,0.18,0.31,0.11,0.31,0.18,0.15,0.09,0.80,0.13,0.58,0.45,0.30,0.14,0.12,0.08,0.12,0.48,0.14,0.03,0.19,0.61,591.0,934.0,28.1,46923.0,54905.0,1757.0,0.0,1.2,4.3,365400.00,2017.0,297.0,1189.0,6202.0,2375.0,2280.0,1708.0,6220.0,104.0,31.4,573202.0,6037573202.0,1.0,['LISD'],0.0,1337.0,573202.0,1.0,['LISD'],0.0,CA,649038,0,0.251,0.0,33.7934864,-118.1850191
1361,5734.01,0.12,0.01,0.03,0.15,0.03,0.08,0.13,0.02,0.06,0.12,0.28,0.05,0.02,0.03,0.05,0.95,0.72,0.00,0.00,0.67,0.15,0.39,0.09,0.42,0.10,0.02,0.02,0.69,0.00,0.51,0.48,0.11,0.11,0.25,0.11,0.15,0.44,0.16,0.03,0.23,0.35,134.0,193.0,30.2,73750.0,71996.0,625.0,0.0,3.3,4.3,595900.00,2576.0,542.0,1190.0,1461.0,445.0,384.0,611.0,1466.0,84.2,37.3,573401.0,6037573401.0,7.0,['ARE'],0.0,2619.0,573401.0,7.0,['ARE'],0.0,CA,1039559,4445,0.401,0.002,33.8128912,-118.1796451
1362,5734.02,0.07,0.00,0.03,0.13,0.01,0.05,0.06,0.02,0.05,0.14,0.24,0.12,0.11,0.04,0.06,0.84,0.54,0.01,0.01,0.66,0.15,0.39,0.06,0.38,0.19,0.06,0.02,0.72,0.04,0.48,0.47,0.13,0.06,0.32,0.11,0.13,0.57,0.08,0.00,0.24,0.41,506.0,878.0,30.0,68083.0,74982.0,2663.0,0.0,0.0,4.1,398300.00,1863.0,438.0,1329.0,6601.0,2006.0,1778.0,2573.0,6653.0,86.9,34.9,573402.0,6037573402.0,6.0,['SMMI'],0.0,2737.0,573402.0,6.0,['SMMI'],0.0,CA,2961722,0,1.144,0.0,33.8016982,-118.1691428
1363,5734.03,0.05,0.00,0.06,0.09,0.09,0.09,0.07,0.02,0.05,0.19,0.24,0.03,0.05,0.04,0.04,0.97,0.83,0.00,0.06,0.25,0.13,0.32,0.00,0.52,0.14,0.02,0.03,0.82,0.02,0.30,0.38,0.04,0.02,0.62,0.25,0.18,0.48,0.17,0.00,0.25,0.18,269.0,349.0,37.0,101179.0,128965.0,1488.0,2.2,0.0,5.6,579700.00,2793.0,872.0,2245.0,3436.0,781.0,752.0,1423.0,3436.0,87.5,42.0,573403.0,6037573403.0,9.0,['SAE'],0.0,2382.0,573403.0,9.0,['SAE'],0.0,CA,1691754,0,0.653,0.0,33.7986078,-118.1589591
1364,5736.01,0.04,0.01,0.03,0.10,0.01,0.09,0.07,0.04,0.12,0.13,0.28,0.05,0.02,0.04,0.03,0.98,0.88,0.00,0.01,0.16,0.10,0.17,0.03,0.52,0.25,0.00,0.01,0.79,0.04,0.32,0.24,0.04,0.02,0.40,0.23,0.18,0.74,0.10,0.00,0.06,0.27,376.0,869.0,30.7,120259.0,135881.0,2197.0,0.0,0.0,6.0,598900.00,2659.0,391.0,2432.0,6020.0,771.0,680.0,2197.0,6046.0,100.3,43.6,573601.0,6037573601.0,9.0,['SAE'],0.0,3510.0,573601.0,9.0,['SAE'],0.0,CA,3707250,1760,1.431,0.001,33.8262896,-118.1316155
1365,5739.02,0.01,0.00,0.02,0.14,0.00,0.11,0.04,0.02,0.07,0.14,0.29,0.11,0.04,0.03,0.02,0.98,0.88,0.00,0.00,0.16,0.12,0.14,0.01,0.42,0.25,0.01,0.01,0.69,0.01,0.27,0.32,0.01,0.01,0.63,0.19,0.27,0.71,0.07,0.01,0.12,0.19,79.0,315.0,32.9,126250.0,147976.0,864.0,1.0,0.0,6.8,766700.00,2887.0,746.0,1517.0,1979.0,300.0,271.0,816.0,1979.0,83.4,49.9,573902.0,6037573902.0,9.0,['SAE'],0.0,1338.0,573902.0,9.0,['SAE'],0.0,CA,686217,8639,0.265,0.003,33.8135353,-118.0775765
1366,5742.01,0.04,0.00,0.07,0.17,0.03,0.04,0.05,0.05,0.06,0.08,0.27,0.13,0.02,0.04,0.01,0.98,0.87,0.00,0.00,0.14,0.08,0.17,0.04,0.47,0.32,0.02,0.00,0.76,0.02,0.26,0.21,0.03,0.04,0.40,0.15,0.18,0.76,0.04,0.00,0.13,0.27,296.0,490.0,28.3,101411.0,117510.0,1112.0,0.0,0.0,6.0,602900.00,2595.0,413.0,2019.0,3073.0,591.0,510.0,1094.0,3087.0,106.9,43.1,574201.0,6037574201.0,9.0,['SAE'],0.0,1633.0,574201.0,9.0,['SAE'],0.0,CA,1279087,15561,0.494,0.006,33.803924,-118.1276823
1367,5742.02,0.04,0.01,0.05,0.05,0.01,0.11,0.06,0.00,0.07,0.16,0.20,0.12,0.15,0.04,0.05,0.98,0.71,0.01,0.00,0.57,0.17,0.35,0.04,0.41,0.21,0.02,0.01,0.74,0.06,0.52,0.34,0.08,0.06,0.28,0.16,0.25,0.76,0.05,0.00,0.05,0.43,113.0,251.0,24.6,72269.0,78181.0,751.0,5.5,0.0,4.5,566900.00,2611.0,298.0,1615.0,2022.0,421.0,367.0,733.0,2330.0,115.1,41.8,574202.0,6037574202.0,6.0,['SMMI'],0.0,2680.0,574202.0,6.0,['SMMI'],0.0,CA,1336503,3008,0.516,0.001,33.8019004,-118.1433453
1368,5746.02,0.00,0.00,0.08,0.05,0.03,0.13,0.01,0.04,0.06,0.10,0.32,0.12,0.03,0.01,0.00,0.97,0.75,0.00,0.00,0.20,0.09,0.19,0.06,0.44,0.17,0.00,0.00,0.67,0.08,0.20,0.29,0.09,0.01,0.53,0.38,0.49,0.75,0.01,0.00,0.14,0.16,33.0,113.0,26.0,84762.0,120041.0,568.0,0.0,13.0,6.5,717300.00,3208.0,788.0,2313.0,1217.0,241.0,236.0,546.0,1217.0,83.6,61.3,574602.0,6037574602.0,6.0,['SMMI'],0.0,2453.0,574602.0,6.0,['SMMI'],0.0,CA,568336,16243,0.219,0.006,33.7757438,-118.1050845
1369,5749.01,0.06,0.00,0.07,0.08,0.04,0.07,0.05,0.01,0.07,0.12,0.36,0.05,0.02,0.06,0.02,0.93,0.82,0.00,0.00,0.19,0.08,0.22,0.01,0.45,0.25,0.01,0.00,0.76,0.09,0.38,0.30,0.00,0.02,0.59,0.16,0.17,0.78,0.01,0.01,0.09,0.18,159.0,614.0,30.1,110769.0,119122.0,1414.0,0.0,0.0,5.9,613500.00,2671.0,429.0,1923.0,3711.0,466.0,392.0,1380.0,3711.0,114.5,42.4,574901.0,6037574901.0,9.0,['SAE'],0.0,1775.0,574901.0,9.0,['SAE'],0.0,CA,1341384,0,0.518,0.0,33.7921434,-118.1251759
