,Label (Grouping),Unemployment Rate,"Agriculture, forestry, fishing and hunting, and mining",Construction,Manufacturing,Wholesale trade,Retail trade,"Transportation and warehousing, and utilities",Information,"Finance and insurance, and real estate and rental and leasing","Professional, scientific, and management, and administrative and waste management services","Educational services, and health care and social assistance","Arts, entertainment, and recreation, and accommodation and food services","Other services, except public administration",Public administration,"INCOME AND BENEFITS (IN 2018 INFLATION-ADJUSTED DOLLARS) Less than $10,000",HEALTH INSURANCE COVERAGE With health insurance coverage,HEALTH INSURANCE COVERAGE With private health insurance,YEAR STRUCTURE BUILT Built 2014 or later,YEAR STRUCTURE BUILT Built 2010 to 2013,HOUSING TENURE Renter-occupied,YEAR HOUSEHOLDER MOVED INTO UNIT Moved in 2015 or later,YEAR HOUSEHOLDER MOVED INTO UNIT Moved in 2010 to 2014,VEHICLES AVAILABLE No vehicles available,VEHICLES AVAILABLE 2 vehicles available,VEHICLES AVAILABLE 3 or more vehicles available,OCCUPANTS PER ROOM 1.01 to 1.50,OCCUPANTS PER ROOM 1.51 or more,MORTGAGE STATUS Owner-occupied units Housing units with a mortgage,65 years and over,MARITAL STATUS Males 15 years and over Never married,MARITAL STATUS Females 15 years and over Never married,EDUCATIONAL ATTAINMENT Less than 9th grade,"EDUCATIONAL ATTAINMENT 9th to 12th grade, no diploma",Bachelor's degree or higher,PLACE OF BIRTH Native Different state,SEX AND AGE 62 years and over,White,Black or African American,American Indian and Alaska Native,Asian,Hispanic or Latino (of any race),Own children of the householder under 6 years,Own children of the householder 6 to 17 years,Mean travel time to work (minutes),Median household income (dollars),Mean household income (dollars),Total housing units,Homeowner vacancy rate,Rental vacancy rate,ROOM Median rooms,VALUE Median (dollars),SELECTED MONTHLY OWNER COSTS (SMOC) Housing units with a mortgage Median (dollars),SELECTED MONTHLY OWNER COSTS (SMOC) Housing units without a mortgage Median (dollars),GROSS RENT Occupied units paying rent Median (dollars),Population in households,YEAR OF ENTRY Population born outside the United States,YEAR OF ENTRY Foreign born,Total households,Total population,Sex ratio (males per 100 females),Median age (years),tract_x,GEOID,typology_x,typ_cat_x,label_x,Unnamed: 0,tract_y,typology_y,typ_cat_y,label_y,USPS,ALAND,AWATER,ALAND_SQMI,AWATER_SQMI,INTPTLAT,INTPTLONG                                                                                                                             
0,1011.1,0.08,0.02,0.10,0.07,0.04,0.03,0.04,0.05,0.09,0.10,0.25,0.09,0.07,0.07,0.07,0.87,0.52,0.00,0.01,0.52,0.11,0.24,0.08,0.31,0.23,0.03,0.02,0.84,0.20,0.48,0.29,0.07,0.11,0.23,0.12,0.21,0.77,0.01,0.00,0.08,0.32,230.0,489.0,33.8,53077.0,69041.0,1743.0,0.0,2.1,4.5,458700.00,2270.0,411.0,1609.0,4219.0,1533.0,1449.0,1596.0,4314.0,95.8,40.6,101110.0,6037101110.0,1.0,['LISD'],0.0,730.0,101110.0,1.0,['LISD'],0.0,CA,1142402,0,0.441,0.0,34.2594737,-118.2929869
1,1011.22,0.05,0.03,0.13,0.08,0.02,0.11,0.05,0.06,0.08,0.09,0.25,0.06,0.03,0.04,0.04,0.93,0.78,0.00,0.00,0.18,0.11,0.22,0.01,0.44,0.28,0.04,0.01,0.78,0.08,0.31,0.26,0.05,0.01,0.31,0.17,0.24,0.88,0.02,0.00,0.06,0.04,42.0,351.0,41.5,88953.0,118157.0,1391.0,3.3,0.0,5.4,608400.00,2602.0,613.0,2120.0,3234.0,1068.0,846.0,1256.0,3239.0,90.1,52.3,101122.0,6037101122.0,9.0,['SAE'],0.0,2755.0,101122.0,9.0,['SAE'],0.0,CA,2644045,0,1.021,0.0,34.2677213,-118.2901465
2,1012.1,0.10,0.02,0.07,0.04,0.03,0.16,0.06,0.02,0.06,0.12,0.24,0.10,0.08,0.03,0.12,0.89,0.35,0.00,0.00,0.86,0.15,0.41,0.12,0.30,0.09,0.08,0.04,0.88,0.24,0.49,0.27,0.13,0.06,0.20,0.05,0.13,0.79,0.03,0.00,0.04,0.43,500.0,804.0,28.1,32119.0,50062.0,2402.0,0.0,1.4,3.6,374300.00,2133.0,106.0,1318.0,5987.0,3107.0,3024.0,2321.0,6052.0,124.1,36.6,101210.0,6037101210.0,1.0,['LISD'],0.0,632.0,101210.0,1.0,['LISD'],0.0,CA,650690,0,0.251,0.0,34.2529724,-118.2907309
3,1012.2,0.08,0.01,0.11,0.06,0.01,0.15,0.06,0.05,0.03,0.15,0.22,0.06,0.07,0.03,0.05,0.90,0.45,0.00,0.01,0.64,0.15,0.30,0.09,0.32,0.17,0.08,0.04,0.81,0.08,0.38,0.33,0.11,0.10,0.20,0.07,0.20,0.71,0.02,0.00,0.09,0.38,188.0,538.0,29.6,41728.0,56903.0,1328.0,0.0,0.0,4.0,414800.00,2104.0,511.0,1198.0,3497.0,1725.0,1686.0,1294.0,3497.0,84.7,39.7,101220.0,6037101220.0,1.0,['LISD'],0.0,2077.0,101220.0,1.0,['LISD'],0.0,CA,698886,0,0.27,0.0,34.2516083,-118.2816328
4,1021.03,0.09,0.00,0.09,0.03,0.00,0.24,0.03,0.06,0.11,0.07,0.26,0.04,0.05,0.03,0.03,0.90,0.71,0.02,0.05,0.34,0.19,0.25,0.01,0.38,0.26,0.00,0.04,0.81,0.04,0.28,0.19,0.03,0.04,0.39,0.16,0.21,0.86,0.00,0.00,0.06,0.27,110.0,181.0,27.3,76333.0,92459.0,726.0,0.0,0.0,5.1,591700.00,2578.0,671.0,2111.0,1771.0,807.0,764.0,696.0,1771.0,84.5,45.8,102103.0,6037102103.0,6.0,['SMMI'],0.0,2756.0,102103.0,6.0,['SMMI'],0.0,CA,1186484,0,0.458,0.0,34.2250792,-118.354188
5,1021.04,0.10,0.03,0.04,0.04,0.04,0.06,0.05,0.04,0.03,0.15,0.26,0.13,0.13,0.00,0.07,0.94,0.61,0.00,0.00,0.30,0.13,0.35,0.07,0.40,0.21,0.02,0.00,0.72,0.25,0.28,0.23,0.06,0.03,0.37,0.20,0.25,0.77,0.03,0.00,0.13,0.16,194.0,314.0,30.1,70754.0,91305.0,1345.0,0.0,0.0,5.6,548900.00,2581.0,700.0,2063.0,3328.0,1798.0,1784.0,1270.0,3554.0,86.6,41.1,102104.0,6037102104.0,6.0,['SMMI'],0.0,2757.0,102104.0,6.0,['SMMI'],0.0,CA,1658545,0,0.64,0.0,34.2161873,-118.3453981
6,1021.05,0.09,0.00,0.06,0.15,0.01,0.06,0.03,0.05,0.06,0.08,0.25,0.14,0.11,0.04,0.02,0.90,0.60,0.00,0.00,0.52,0.13,0.28,0.01,0.38,0.25,0.09,0.01,0.82,0.06,0.45,0.31,0.13,0.08,0.20,0.11,0.12,0.64,0.02,0.01,0.06,0.68,62.0,273.0,25.0,52132.0,74509.0,589.0,0.0,0.0,4.4,463900.00,2021.0,650.0,1455.0,1857.0,781.0,765.0,563.0,1857.0,105.4,40.7,102105.0,6037102105.0,1.0,['LISD'],0.0,2758.0,102105.0,1.0,['LISD'],0.0,CA,492761,0,0.19,0.0,34.209876,-118.3492653
7,1021.07,0.06,0.01,0.07,0.11,0.02,0.09,0.04,0.07,0.10,0.16,0.16,0.09,0.05,0.05,0.02,0.99,0.69,0.02,0.00,0.26,0.15,0.20,0.04,0.44,0.36,0.01,0.02,0.75,0.03,0.45,0.27,0.04,0.05,0.34,0.13,0.19,0.79,0.03,0.00,0.09,0.27,44.0,619.0,31.2,106037.0,112644.0,1352.0,4.0,0.0,5.9,625600.00,2707.0,796.0,1125.0,4106.0,1412.0,1367.0,1305.0,4333.0,112.3,44.8,102107.0,6037102107.0,6.0,['SMMI'],0.0,2759.0,102107.0,6.0,['SMMI'],0.0,CA,12908567,13753,4.984,0.005,34.2409052,-118.3396019
8,1031.01,0.07,0.00,0.04,0.10,0.02,0.13,0.10,0.05,0.05,0.13,0.25,0.06,0.04,0.03,0.03,0.96,0.75,0.00,0.02,0.15,0.11,0.15,0.01,0.43,0.34,0.03,0.00,0.72,0.09,0.29,0.20,0.06,0.09,0.32,0.14,0.24,0.85,0.01,0.01,0.07,0.25,225.0,224.0,36.2,89211.0,99208.0,976.0,0.0,0.0,5.6,509600.00,2399.0,584.0,2016.0,2582.0,866.0,790.0,916.0,2597.0,111.5,46.5,103101.0,6037103101.0,7.0,['ARE'],0.0,1786.0,103101.0,7.0,['ARE'],0.0,CA,2029809,0,0.784,0.0,34.2732407,-118.3078874
9,1031.02,0.07,0.00,0.05,0.08,0.04,0.10,0.09,0.02,0.09,0.11,0.25,0.06,0.06,0.04,0.02,0.90,0.64,0.01,0.00,0.21,0.11,0.20,0.04,0.40,0.29,0.02,0.02,0.79,0.13,0.35,0.22,0.08,0.07,0.29,0.11,0.22,0.73,0.00,0.00,0.17,0.23,160.0,473.0,35.7,74631.0,87561.0,1700.0,0.0,7.7,5.2,447500.00,2115.0,558.0,1583.0,4456.0,2114.0,2077.0,1568.0,4456.0,100.1,44.1,103102.0,6037103102.0,6.0,['SMMI'],0.0,851.0,103102.0,6.0,['SMMI'],0.0,CA,1241029,0,0.479,0.0,34.2633843,-118.3073883
10,1041.03,0.02,0.01,0.09,0.13,0.02,0.13,0.07,0.03,0.03,0.06,0.20,0.10,0.07,0.06,0.01,0.93,0.67,0.00,0.00,0.17,0.09,0.20,0.02,0.39,0.43,0.08,0.03,0.78,0.09,0.39,0.34,0.16,0.11,0.17,0.12,0.16,0.64,0.14,0.01,0.07,0.68,276.0,450.0,28.5,86989.0,88614.0,877.0,0.0,0.0,6.1,429200.00,2160.0,708.0,1992.0,3530.0,1460.0,1346.0,845.0,3647.0,106.0,37.0,104103.0,6037104103.0,6.0,['SMMI'],0.0,732.0,104103.0,6.0,['SMMI'],0.0,CA,949109,0,0.366,0.0,34.2820993,-118.3925764
11,1041.05,0.10,0.00,0.09,0.12,0.01,0.12,0.03,0.02,0.01,0.14,0.21,0.13,0.08,0.04,0.05,0.85,0.40,0.04,0.06,0.44,0.09,0.33,0.09,0.43,0.18,0.09,0.03,0.78,0.12,0.51,0.41,0.22,0.17,0.20,0.06,0.13,0.53,0.05,0.01,0.10,0.74,512.0,993.0,31.9,52616.0,75815.0,1689.0,0.0,2.1,4.9,329000.00,1866.0,704.0,779.0,6178.0,2984.0,2927.0,1673.0,6190.0,89.8,34.1,104105.0,6037104105.0,4.0,['EOG'],1.0,2723.0,104105.0,4.0,['EOG'],1.0,CA,584710,0,0.226,0.0,34.276148,-118.4046862
12,1041.08,0.08,0.02,0.08,0.12,0.02,0.08,0.08,0.03,0.03,0.10,0.21,0.09,0.09,0.05,0.06,0.92,0.55,0.00,0.03,0.57,0.11,0.36,0.14,0.31,0.26,0.10,0.07,0.74,0.11,0.46,0.41,0.21,0.16,0.14,0.07,0.12,0.58,0.10,0.00,0.03,0.80,440.0,889.0,33.0,50259.0,64015.0,1452.0,0.0,1.6,4.8,366900.00,1798.0,670.0,1331.0,5420.0,1976.0,1908.0,1421.0,5420.0,96.4,33.3,104108.0,6037104108.0,1.0,['LISD'],0.0,2952.0,104108.0,1.0,['LISD'],0.0,CA,1096645,0,0.423,0.0,34.2731497,-118.39857
13,1041.24,0.05,0.02,0.07,0.07,0.01,0.11,0.03,0.08,0.12,0.06,0.33,0.05,0.03,0.03,0.02,0.89,0.62,0.01,0.04,0.17,0.05,0.31,0.02,0.42,0.24,0.04,0.00,0.83,0.02,0.39,0.39,0.10,0.09,0.34,0.16,0.16,0.62,0.09,0.01,0.08,0.52,386.0,415.0,37.2,84250.0,101320.0,1335.0,0.0,0.0,5.2,383800.00,2106.0,653.0,1363.0,3939.0,1169.0,1136.0,1260.0,4189.0,111.9,38.3,104124.0,6037104124.0,7.0,['ARE'],0.0,2954.0,104124.0,7.0,['ARE'],0.0,CA,4479383,980,1.729,0.0,34.2900933,-118.374193
14,1042.01,0.06,0.02,0.11,0.13,0.03,0.10,0.03,0.03,0.04,0.14,0.14,0.13,0.09,0.03,0.06,0.83,0.43,0.00,0.00,0.34,0.10,0.17,0.03,0.21,0.54,0.15,0.08,0.85,0.21,0.47,0.42,0.28,0.18,0.04,0.04,0.13,0.58,0.10,0.01,0.00,0.89,351.0,656.0,32.7,51563.0,62655.0,919.0,0.0,0.0,5.5,400900.00,2126.0,647.0,1625.0,4424.0,2042.0,1978.0,919.0,4424.0,112.1,33.4,104201.0,6037104201.0,1.0,['LISD'],0.0,1787.0,104201.0,1.0,['LISD'],0.0,CA,1090103,0,0.421,0.0,34.2865005,-118.4160998
15,1042.03,0.09,0.01,0.13,0.13,0.04,0.15,0.06,0.00,0.04,0.16,0.11,0.08,0.06,0.02,0.05,0.84,0.35,0.01,0.02,0.54,0.07,0.35,0.12,0.32,0.42,0.12,0.09,0.75,0.30,0.42,0.46,0.30,0.17,0.06,0.04,0.09,0.55,0.08,0.01,0.01,0.89,454.0,1193.0,32.6,46406.0,62300.0,1161.0,0.0,0.0,5.6,368700.00,2405.0,660.0,1439.0,5541.0,2748.0,2699.0,1145.0,5541.0,92.8,32.9,104203.0,6037104203.0,1.0,['LISD'],0.0,2955.0,104203.0,1.0,['LISD'],0.0,CA,707947,0,0.273,0.0,34.2790581,-118.4115543
16,1042.04,0.08,0.01,0.12,0.15,0.02,0.12,0.07,0.03,0.03,0.07,0.14,0.14,0.09,0.01,0.03,0.88,0.43,0.00,0.02,0.36,0.10,0.31,0.06,0.33,0.41,0.18,0.03,0.73,0.15,0.50,0.44,0.21,0.22,0.09,0.08,0.13,0.63,0.05,0.00,0.06,0.77,146.0,558.0,32.8,63333.0,74394.0,771.0,1.8,0.0,5.3,359000.00,2171.0,750.0,1320.0,3151.0,1690.0,1657.0,730.0,3562.0,103.4,36.4,104204.0,6037104204.0,6.0,['SMMI'],0.0,2956.0,104204.0,6.0,['SMMI'],0.0,CA,2664512,3735,1.029,0.001,34.2912875,-118.3931176
17,1043.1,0.05,0.02,0.13,0.20,0.03,0.11,0.04,0.00,0.03,0.15,0.15,0.07,0.07,0.01,0.02,0.81,0.35,0.00,0.00,0.28,0.02,0.23,0.06,0.17,0.64,0.20,0.12,0.67,0.16,0.44,0.47,0.32,0.17,0.03,0.03,0.12,0.53,0.02,0.00,0.00,0.95,570.0,917.0,28.6,69904.0,97987.0,897.0,2.8,0.0,5.8,388800.00,1901.0,472.0,2290.0,5313.0,2647.0,2532.0,879.0,5313.0,94.9,30.4,104310.0,6037104310.0,6.0,['SMMI'],0.0,1331.0,104310.0,6.0,['SMMI'],0.0,CA,1508622,0,0.582,0.0,34.2763731,-118.4292815
18,1043.2,0.13,0.01,0.12,0.20,0.03,0.08,0.09,0.01,0.03,0.11,0.20,0.05,0.08,0.01,0.06,0.84,0.45,0.00,0.00,0.58,0.08,0.33,0.13,0.28,0.33,0.19,0.06,0.60,0.26,0.47,0.47,0.30,0.13,0.11,0.03,0.13,0.62,0.04,0.00,0.01,0.91,378.0,780.0,28.3,52895.0,64602.0,1346.0,0.0,0.7,4.5,372500.00,2171.0,629.0,1096.0,5578.0,2752.0,2683.0,1326.0,5599.0,102.7,31.0,104320.0,6037104320.0,4.0,['EOG'],1.0,1788.0,104320.0,4.0,['EOG'],1.0,CA,1212169,0,0.468,0.0,34.2731324,-118.4202492
19,1044.01,0.08,0.01,0.16,0.09,0.02,0.10,0.04,0.02,0.04,0.13,0.16,0.15,0.06,0.02,0.01,0.82,0.43,0.00,0.00,0.38,0.04,0.25,0.09,0.31,0.43,0.19,0.16,0.70,0.12,0.42,0.40,0.36,0.12,0.05,0.02,0.13,0.57,0.00,0.00,0.01,0.97,272.0,634.0,28.3,69965.0,75045.0,713.0,0.0,0.0,4.6,396600.00,1847.0,624.0,1700.0,3452.0,1703.0,1599.0,689.0,3452.0,102.9,31.3,104401.0,6037104401.0,6.0,['SMMI'],0.0,1471.0,104401.0,6.0,['SMMI'],0.0,CA,681117,0,0.263,0.0,34.2670388,-118.4327217
20,1044.03,0.09,0.00,0.12,0.12,0.00,0.15,0.11,0.03,0.01,0.13,0.19,0.08,0.04,0.02,0.01,0.86,0.51,0.00,0.00,0.32,0.04,0.23,0.09,0.26,0.46,0.22,0.08,0.69,0.19,0.44,0.40,0.29,0.10,0.06,0.00,0.17,0.55,0.00,0.01,0.03,0.97,244.0,492.0,26.7,55398.0,65745.0,714.0,0.0,0.0,4.9,357800.00,2015.0,644.0,1549.0,3279.0,1543.0,1477.0,665.0,3279.0,91.0,34.5,104403.0,6037104403.0,6.0,['SMMI'],0.0,2953.0,104403.0,6.0,['SMMI'],0.0,CA,693083,0,0.268,0.0,34.2587946,-118.4344932
21,1044.04,0.06,0.02,0.14,0.12,0.04,0.08,0.05,0.01,0.07,0.15,0.14,0.12,0.06,0.01,0.04,0.83,0.31,0.00,0.03,0.54,0.13,0.34,0.05,0.31,0.42,0.23,0.06,0.83,0.28,0.54,0.43,0.39,0.13,0.06,0.03,0.11,0.54,0.04,0.00,0.02,0.92,294.0,595.0,27.1,55341.0,64974.0,694.0,0.0,2.5,4.8,396300.00,1814.0,528.0,1399.0,3128.0,1403.0,1386.0,658.0,3128.0,125.8,29.4,104404.0,6037104404.0,6.0,['SMMI'],0.0,2957.0,104404.0,6.0,['SMMI'],0.0,CA,539620,0,0.208,0.0,34.2639207,-118.4286916
22,1046.1,0.05,0.01,0.14,0.12,0.02,0.15,0.04,0.01,0.05,0.08,0.13,0.13,0.11,0.02,0.04,0.83,0.44,0.01,0.00,0.38,0.03,0.27,0.02,0.32,0.43,0.22,0.09,0.82,0.19,0.60,0.44,0.36,0.16,0.04,0.02,0.12,0.50,0.00,0.00,0.00,0.98,359.0,465.0,28.9,60320.0,65008.0,756.0,0.0,0.0,4.8,408300.00,2161.0,527.0,1416.0,3504.0,1602.0,1602.0,729.0,3504.0,106.0,32.8,104610.0,6037104610.0,5.0,['AdvG'],1.0,2797.0,104610.0,5.0,['AdvG'],1.0,CA,592138,0,0.229,0.0,34.2604355,-118.4189927
23,1046.2,0.06,0.01,0.14,0.14,0.01,0.09,0.04,0.03,0.03,0.08,0.16,0.12,0.09,0.06,0.05,0.87,0.43,0.00,0.00,0.42,0.09,0.28,0.02,0.35,0.45,0.26,0.11,0.68,0.06,0.51,0.40,0.36,0.12,0.08,0.01,0.13,0.54,0.01,0.00,0.00,0.98,314.0,528.0,24.7,62014.0,75527.0,728.0,0.0,0.0,4.9,395700.00,2071.0,463.0,1658.0,3684.0,1622.0,1610.0,711.0,3684.0,112.7,30.8,104620.0,6037104620.0,8.0,['BE'],0.0,1789.0,104620.0,8.0,['BE'],0.0,CA,531171,0,0.205,0.0,34.2579043,-118.4224647
24,1047.01,0.12,0.01,0.16,0.14,0.00,0.16,0.06,0.00,0.03,0.12,0.15,0.08,0.07,0.03,0.13,0.89,0.20,0.00,0.02,0.77,0.10,0.24,0.12,0.31,0.18,0.21,0.10,0.77,0.19,0.49,0.53,0.44,0.19,0.03,0.03,0.08,0.62,0.04,0.00,0.00,0.96,336.0,1091.0,29.8,32036.0,41358.0,962.0,0.0,0.0,4.5,395800.00,1990.0,,1099.0,4317.0,1739.0,1727.0,949.0,4325.0,79.3,26.1,104701.0,6037104701.0,1.0,['LISD'],0.0,1790.0,104701.0,1.0,['LISD'],0.0,CA,550502,0,0.213,0.0,34.2684745,-118.415214
25,1047.03,0.07,0.02,0.14,0.19,0.02,0.15,0.05,0.00,0.03,0.15,0.10,0.06,0.06,0.05,0.07,0.86,0.20,0.02,0.10,0.64,0.20,0.30,0.03,0.32,0.31,0.29,0.08,0.50,0.16,0.35,0.30,0.33,0.20,0.07,0.04,0.09,0.65,0.06,0.03,0.00,0.91,252.0,514.0,23.9,39181.0,54027.0,653.0,0.0,5.6,4.0,298000.00,2276.0,503.0,1329.0,2311.0,1042.0,977.0,603.0,2311.0,134.4,28.6,104703.0,6037104703.0,1.0,['LISD'],0.0,2958.0,104703.0,1.0,['LISD'],0.0,CA,1168606,0,0.451,0.0,34.2552267,-118.4005897
26,1047.04,0.05,0.01,0.12,0.20,0.01,0.06,0.05,0.02,0.07,0.10,0.18,0.09,0.08,0.02,0.02,0.88,0.44,0.01,0.01,0.38,0.08,0.34,0.01,0.49,0.29,0.11,0.02,0.50,0.05,0.52,0.51,0.14,0.14,0.14,0.08,0.10,0.50,0.14,0.00,0.08,0.74,330.0,892.0,32.8,48581.0,69464.0,1221.0,0.0,7.9,4.9,223000.00,1966.0,636.0,1395.0,4331.0,1826.0,1784.0,1183.0,4331.0,97.8,32.5,104704.0,6037104704.0,1.0,['LISD'],0.0,2959.0,104704.0,1.0,['LISD'],0.0,CA,1662660,0,0.642,0.0,34.2625316,-118.4088637
27,1048.1,0.05,0.01,0.14,0.09,0.01,0.14,0.08,0.00,0.02,0.18,0.19,0.06,0.05,0.03,0.00,0.82,0.39,0.00,0.00,0.28,0.11,0.27,0.03,0.24,0.57,0.21,0.06,0.68,0.13,0.45,0.36,0.36,0.15,0.05,0.01,0.13,0.66,0.00,0.01,0.01,0.95,353.0,950.0,27.5,74145.0,83989.0,1095.0,0.0,0.0,5.0,364200.00,2278.0,486.0,1700.0,5789.0,2764.0,2535.0,1076.0,5789.0,107.6,36.4,104810.0,6037104810.0,8.0,['BE'],0.0,1791.0,104810.0,8.0,['BE'],0.0,CA,1123361,0,0.434,0.0,34.2502996,-118.4111792
28,1048.22,0.05,0.01,0.14,0.21,0.02,0.10,0.05,0.03,0.05,0.09,0.15,0.08,0.06,0.01,0.04,0.82,0.35,0.00,0.00,0.64,0.15,0.28,0.10,0.32,0.26,0.21,0.12,0.81,0.37,0.47,0.41,0.37,0.17,0.06,0.03,0.09,0.63,0.01,0.02,0.05,0.91,205.0,443.0,26.6,55500.0,63138.0,637.0,5.5,0.0,4.3,423200.00,1930.0,744.0,1557.0,2748.0,1288.0,1288.0,610.0,2748.0,103.9,34.0,104822.0,6037104822.0,5.0,['AdvG'],1.0,2961.0,104822.0,5.0,['AdvG'],1.0,CA,604352,0,0.233,0.0,34.2458703,-118.4209447
29,1060.1,0.05,0.02,0.15,0.04,0.04,0.11,0.07,0.03,0.07,0.08,0.21,0.06,0.08,0.04,0.02,0.89,0.66,0.00,0.01,0.27,0.12,0.24,0.03,0.37,0.40,0.05,0.01,0.78,0.14,0.36,0.39,0.10,0.10,0.22,0.09,0.18,0.76,0.03,0.01,0.04,0.75,254.0,436.0,28.8,71806.0,88487.0,983.0,0.0,0.0,6.2,487800.00,2572.0,831.0,2028.0,3108.0,956.0,913.0,945.0,3108.0,88.0,40.1,106010.0,6037106010.0,6.0,['SMMI'],0.0,633.0,106010.0,6.0,['SMMI'],0.0,CA,2517816,0,0.972,0.0,34.3253415,-118.4434033
30,1060.2,0.06,0.02,0.14,0.11,0.02,0.12,0.06,0.03,0.06,0.06,0.19,0.11,0.05,0.04,0.03,0.84,0.57,0.01,0.00,0.18,0.04,0.22,0.02,0.29,0.60,0.08,0.01,0.75,0.14,0.45,0.35,0.17,0.11,0.19,0.06,0.16,0.83,0.01,0.00,0.01,0.80,326.0,794.0,34.0,75038.0,88342.0,1498.0,0.0,0.0,6.2,466500.00,2423.0,640.0,1913.0,5795.0,2172.0,2113.0,1475.0,5807.0,100.0,39.5,106020.0,6037106020.0,6.0,['SMMI'],0.0,634.0,106020.0,6.0,['SMMI'],0.0,CA,2010765,7144,0.776,0.003,34.3232264,-118.4294854
31,1061.11,0.05,0.01,0.08,0.10,0.01,0.11,0.05,0.04,0.10,0.06,0.30,0.04,0.06,0.04,0.01,0.92,0.69,0.00,0.00,0.12,0.07,0.32,0.03,0.42,0.43,0.03,0.01,0.69,0.12,0.34,0.36,0.08,0.08,0.29,0.15,0.19,0.62,0.05,0.03,0.09,0.60,340.0,541.0,34.9,93198.0,100408.0,1417.0,0.0,15.5,6.2,454500.00,2359.0,777.0,2528.0,4471.0,1407.0,1387.0,1326.0,4482.0,90.6,38.7,106111.0,6037106111.0,6.0,['SMMI'],0.0,635.0,106111.0,6.0,['SMMI'],0.0,CA,3813566,12394,1.472,0.005,34.3213672,-118.407505
32,1061.12,0.04,0.00,0.08,0.09,0.01,0.10,0.06,0.03,0.08,0.11,0.21,0.08,0.05,0.10,0.01,0.94,0.77,0.00,0.00,0.14,0.07,0.27,0.02,0.27,0.54,0.04,0.02,0.84,0.07,0.38,0.40,0.13,0.08,0.24,0.08,0.16,0.71,0.02,0.05,0.07,0.71,587.0,1073.0,32.6,90875.0,103760.0,1531.0,0.0,15.4,6.1,454800.00,2443.0,660.0,1885.0,5718.0,1680.0,1657.0,1472.0,5885.0,100.4,34.1,106112.0,6037106112.0,9.0,['SAE'],0.0,1792.0,106112.0,9.0,['SAE'],0.0,CA,3222752,0,1.244,0.0,34.305491,-118.4124422
33,1061.13,0.04,0.02,0.15,0.05,0.02,0.07,0.06,0.03,0.07,0.09,0.29,0.06,0.04,0.07,0.02,0.89,0.59,0.03,0.10,0.19,0.04,0.32,0.01,0.40,0.41,0.08,0.02,0.74,0.02,0.39,0.31,0.15,0.14,0.22,0.07,0.19,0.73,0.05,0.00,0.09,0.74,199.0,644.0,32.5,85156.0,106138.0,1055.0,1.8,0.0,6.1,448800.00,2378.0,683.0,1787.0,3842.0,1451.0,1389.0,972.0,3962.0,104.6,40.1,106113.0,6037106113.0,6.0,['SMMI'],0.0,1793.0,106113.0,6.0,['SMMI'],0.0,CA,1443466,0,0.557,0.0,34.3061546,-118.4222071
34,1061.14,0.07,0.01,0.10,0.13,0.01,0.11,0.06,0.03,0.05,0.15,0.20,0.08,0.06,0.02,0.02,0.89,0.45,0.01,0.00,0.56,0.12,0.41,0.05,0.45,0.22,0.14,0.05,0.81,0.10,0.52,0.45,0.19,0.15,0.15,0.07,0.09,0.74,0.05,0.01,0.04,0.86,660.0,1204.0,29.8,54363.0,66340.0,1653.0,0.0,6.4,5.0,339400.00,1858.0,600.0,1355.0,6404.0,2188.0,2160.0,1592.0,6410.0,100.1,29.1,106114.0,6037106114.0,1.0,['LISD'],0.0,636.0,106114.0,1.0,['LISD'],0.0,CA,1011788,3298,0.391,0.001,34.3023558,-118.4268073
35,1064.03,0.05,0.03,0.09,0.14,0.03,0.17,0.07,0.01,0.01,0.08,0.18,0.14,0.03,0.03,0.03,0.88,0.49,0.00,0.00,0.15,0.06,0.20,0.03,0.39,0.48,0.11,0.01,0.79,0.05,0.39,0.41,0.27,0.18,0.08,0.07,0.13,0.82,0.01,0.01,0.00,0.90,245.0,490.0,28.0,62015.0,71616.0,901.0,0.0,16.7,5.3,421000.00,2137.0,740.0,2038.0,3420.0,1340.0,1271.0,809.0,3431.0,105.7,34.3,106403.0,6037106403.0,6.0,['SMMI'],0.0,1332.0,106403.0,6.0,['SMMI'],0.0,CA,1105659,0,0.427,0.0,34.3060186,-118.4412741
36,1064.05,0.07,0.00,0.13,0.09,0.05,0.12,0.15,0.02,0.07,0.13,0.12,0.07,0.06,0.00,0.08,0.92,0.48,0.01,0.00,0.61,0.13,0.30,0.03,0.45,0.26,0.04,0.04,0.64,0.51,0.52,0.41,0.22,0.16,0.07,0.09,0.11,0.73,0.06,0.00,0.02,0.71,616.0,650.0,28.9,57807.0,65672.0,1225.0,0.0,0.0,5.0,349500.00,2164.0,588.0,1316.0,4793.0,1426.0,1357.0,1225.0,4813.0,98.6,34.8,106405.0,6037106405.0,6.0,['SMMI'],0.0,2962.0,106405.0,6.0,['SMMI'],0.0,CA,1171699,0,0.452,0.0,34.3146862,-118.4482858
