,EDUCATIONAL ATTAINMENT Less than 9th grade,HEALTH INSURANCE COVERAGE With private health insurance,Construction,White,"Educational services, and health care and social assistance",Retail trade,MORTGAGE STATUS Owner-occupied units Housing units with a mortgage,Median age (years),Mean travel time to work (minutes),Sex ratio (males per 100 females),GROSS RENT Occupied units paying rent Median (dollars),YEAR OF ENTRY Foreign born,relation_min_fee,Total population,Own children of the householder under 6 years,SELECTED MONTHLY OWNER COSTS (SMOC) Housing units with a mortgage Median (dollars),Mean household income (dollars),VALUE Median (dollars),SELECTED MONTHLY OWNER COSTS (SMOC) Housing units without a mortgage Median (dollars),relation_max_fee,Total housing units,Own children of the householder 6 to 17 years,Rental vacancy rate,"Professional, scientific, and management, and administrative and waste management services","Arts, entertainment, and recreation, and accommodation and food services",ROOM Median rooms,YEAR HOUSEHOLDER MOVED INTO UNIT Moved in 2010 to 2014,Black or African American,"EDUCATIONAL ATTAINMENT 9th to 12th grade, no diploma",VEHICLES AVAILABLE No vehicles available,Hispanic or Latino (of any race),HOUSING TENURE Renter-occupied,PLACE OF BIRTH Native Different state,VEHICLES AVAILABLE 3 or more vehicles available,geoid,label
0,0.11,0.5668824940047962,0.0572485962225625,0.12,0.2769769673704416,0.1009221902017294,0.6239601990049735,32.1,41.23394143062887,1374.07,1391.8300338000963,1216.0,1094.0,7503.0,302.47256977863333,2637.827457264957,82813.30739673392,582861.2010443864,835.5364006988934,1679.0,1645.193083573487,516.2725961538462,4.944467353951887,0.1218260451705915,0.1072845450168516,4.305475504322766,0.295782901056677,0.63,0.48,0.4873439000960621,0.3,0.6364073006724306,0.06,0.0507865168539326,36005000100.0,0.0
1,0.11,0.6,0.03,0.44,0.3,0.13,0.75,38.6,44.0,89.77,1237.0,1681.0,911.0,5251.0,291.0,2739.0,80621.0,394800.0,758.0,1471.0,1486.0,718.0,1.3,0.08,0.05,5.0,0.29,0.25,0.12,0.11,0.75,0.46,0.03,0.06,36005000200.0,0.0
2,0.06,0.69,0.04,0.43,0.31,0.06,0.86,39.4,48.4,90.81,1390.0,1346.0,408.0,5980.0,373.0,2478.0,82182.0,353500.0,692.0,1471.0,2130.0,883.0,12.3,0.12,0.08,5.0,0.2,0.34,0.1,0.28,0.65,0.26,0.05,0.04,36005000400.0,0.0
3,0.15,0.53,0.02,0.43,0.41,0.11,0.78,36.9,35.8,71.75,945.0,2191.0,408.0,6056.0,498.0,2380.0,39721.0,376400.0,698.0,1275.0,2049.0,1100.0,1.7,0.07,0.06,4.1,0.28,0.36,0.15,0.51,0.67,0.85,0.08,0.0507865168539326,36005001600.0,1.0
4,0.08,0.36,0.06,0.17,0.29,0.08,0.49,32.5,43.8,92.4,1134.0,573.0,447.0,2682.0,213.0,1547.0,49066.0,374400.0,745.0,1025.0,1011.0,304.0,1.0,0.11,0.12,3.6,0.63,0.37,0.17,0.65,0.54,0.91,0.11,0.01,36005001900.0,1.0
5,0.17,0.35,0.05,0.33,0.43,0.07,0.76,32.5,44.2,64.64,610.0,2176.0,480.0,9131.0,734.0,2683.0,30926.0,378500.0,742.0,1095.0,3190.0,1660.0,2.7,0.04,0.11,4.1,0.24,0.45,0.21,0.69,0.61,0.83,0.07,0.0507865168539326,36005002000.0,1.0
6,0.24,0.27,0.03,0.18,0.29,0.12,0.6239601990049735,27.8,41.5,77.48,417.0,743.0,474.0,4824.0,452.0,2637.827457264957,25308.0,582861.2010443864,835.5364006988934,1094.0,2011.0,894.0,2.6,0.13,0.16,3.6,0.23,0.41,0.21,0.84,0.63,0.99,0.06,0.01,36005002300.0,1.0
7,0.26,0.25,0.06,0.16,0.26,0.12,0.76,30.4,39.3,86.75,692.0,1880.0,447.0,5651.0,602.0,2320.0,34078.0,475000.0,835.5364006988934,1067.0,2053.0,1151.0,3.8,0.07,0.22,4.0,0.3,0.21,0.19,0.65,0.78,0.96,0.05,0.01,36005002500.0,0.0
8,0.14,0.25,0.04,0.13,0.26,0.17,0.6239601990049735,25.2,43.9,83.32,447.0,728.0,474.0,3034.0,360.0,2637.827457264957,24951.0,582861.2010443864,835.5364006988934,1067.0,1092.0,783.0,4.944467353951887,0.1,0.13,4.1,0.2,0.35,0.24,0.81,0.68,1.0,0.03,0.0507865168539326,36005002701.0,1.0
9,0.24,0.26,0.02,0.15,0.21,0.19,1.0,27.3,48.2,94.76,963.0,1146.0,626.0,4684.0,223.0,1441.0,28822.0,437100.0,835.5364006988934,1134.0,1476.0,1037.0,4.944467353951887,0.05,0.18,4.3,0.29,0.36,0.24,0.88,0.69,0.95,0.06,0.0507865168539326,36005002702.0,1.0
10,0.1,0.63,0.0572485962225625,0.11,0.43,0.09,0.73,42.7,43.9,85.06,937.0,1033.0,387.0,5350.0,223.0,1484.0,56253.0,254700.0,835.5364006988934,1291.0,2435.0,659.0,4.944467353951887,0.08,0.04,3.8,0.15,0.65,0.08,0.35,0.38,0.83,0.15,0.02,36005002800.0,0.0
11,0.21,0.41,0.04,0.16,0.28,0.08,0.61,33.8,42.8,112.68,1025.0,696.0,626.0,1744.0,143.0,927.0,50095.0,58100.0,277.0,1011.0,559.0,331.0,4.944467353951887,0.17,0.13,3.5,0.26,0.36,0.14,0.57,0.67,0.77,0.02,0.0507865168539326,36005003100.0,1.0
12,0.22,0.2,0.07,0.12,0.36,0.14,0.87,26.6,42.9,79.89,626.0,1037.0,880.0,3855.0,242.0,2139.0,30995.0,406300.0,835.5364006988934,1134.0,1267.0,1002.0,4.7,0.06,0.13,4.1,0.24,0.35,0.25,0.81,0.63,0.89,0.03,0.0507865168539326,36005003300.0,1.0
13,0.2,0.33,0.09,0.09,0.29,0.07,0.54,30.3,44.1,88.82,880.0,1259.0,626.0,3935.0,431.0,2205.0,36927.0,420000.0,1008.0,1025.0,1410.0,816.0,3.5,0.15,0.14,3.9,0.26,0.3,0.23,0.63,0.74,0.93,0.04,0.0507865168539326,36005003500.0,1.0
14,0.11,0.6,0.04,0.41,0.54,0.05,0.59,31.5,41.8,85.97,911.0,176.0,408.0,1246.0,97.0,2364.0,57733.0,350000.0,827.0,1275.0,433.0,200.0,6.0,0.02,0.08,4.7,0.17,0.41,0.12,0.54,0.59,0.74,0.1021207729468604,0.04,36005003800.0,1.0
15,0.32,0.28,0.09,0.18,0.15,0.12,0.74,29.5,41.2,116.31,1067.0,2593.0,447.0,6487.0,827.0,1983.0,45872.0,245000.0,835.5364006988934,984.0,2251.0,837.0,5.6,0.06,0.31,4.0,0.4,0.15,0.15,0.77,0.81,0.95,0.01,0.0507865168539326,36005003900.0,0.0
16,0.17,0.61,0.06,0.25,0.26,0.15,0.42,40.2,41.6,91.39,1057.0,492.0,815.0,1489.0,85.0,2450.0,59509.0,409500.0,795.0,1270.0,547.0,218.0,3.8,0.11,0.02,4.9,0.24,0.11,0.13,0.29,0.57,0.5,0.03,0.03,36005004001.0,0.0
17,0.22,0.27,0.05,0.16,0.27,0.2,0.81,24.2,39.7,104.14,538.0,1432.0,447.0,6208.0,509.0,2500.0,28600.0,342900.0,835.5364006988934,1067.0,2186.0,1267.0,4.944467353951887,0.07,0.18,4.0,0.19,0.27,0.26,0.81,0.8,0.92,0.05,0.01,36005004100.0,1.0
18,0.08,0.43,0.06,0.27,0.47,0.09,0.34,34.8,46.0,84.36,815.0,1257.0,808.0,7848.0,688.0,1324.0,33930.0,582861.2010443864,265.0,1386.0,2792.0,1205.0,1.7,0.08,0.1072845450168516,4.2,0.1,0.53,0.16,0.57,0.47,0.9,0.07,0.02,36005004200.0,1.0
19,0.27,0.28,0.12,0.11,0.25,0.1,0.88,30.3,39.2,107.05,786.0,1601.0,538.0,6021.0,554.0,2262.0,33550.0,439900.0,835.5364006988934,1067.0,2151.0,1170.0,4.0,0.09,0.18,3.9,0.42,0.32,0.15,0.76,0.71,0.9,0.06,0.0507865168539326,36005004300.0,1.0
20,0.19,0.35,0.0572485962225625,0.13,0.39,0.2,0.84,32.1,43.7,77.59,480.0,860.0,808.0,4827.0,336.0,2625.0,29794.0,362500.0,835.5364006988934,1288.0,1696.0,852.0,1.3,0.09,0.07,4.2,0.2,0.39,0.22,0.66,0.62,0.93,0.07,0.01,36005004400.0,1.0
21,0.12,0.46,0.01,0.45,0.28,0.06,0.25,33.6,37.0,92.97,808.0,440.0,480.0,1976.0,224.0,4000.0,49529.0,135200.0,835.5364006988934,1288.0,722.0,370.0,4.944467353951887,0.17,0.07,3.8,0.21,0.4,0.19,0.55,0.6,0.75,0.05,0.02,36005004600.0,0.0
22,0.23,0.36,0.12,0.15,0.23,0.2,0.6,30.1,44.6,97.46,1095.0,1989.0,480.0,4504.0,532.0,1909.0,40701.0,582861.2010443864,835.5364006988934,1288.0,1445.0,659.0,4.6,0.06,0.12,3.5,0.24,0.25,0.2,0.64,0.76,0.93,0.02,0.01,36005004800.0,0.0
23,0.23,0.48,0.09,0.1,0.27,0.12,0.61,30.8,47.4,94.04,1291.0,1748.0,660.0,5181.0,375.0,3484.0,43519.0,381800.0,756.0,1204.0,1666.0,918.0,1.1,0.1,0.19,3.9,0.33,0.34,0.2,0.63,0.65,0.86,0.05,0.02,36005005001.0,0.0
24,0.31,0.34,0.17,0.16,0.2,0.18,0.45,30.0,46.3,98.22,1168.0,3103.0,660.0,5687.0,627.0,3295.0,37409.0,554900.0,1066.0,1291.0,2038.0,922.0,3.3,0.09,0.11,3.4,0.32,0.25,0.14,0.74,0.7,0.97,0.02,0.01,36005005002.0,0.0
25,0.2,0.31,0.01,0.1,0.35,0.13,0.6239601990049735,26.4,41.6,62.26,522.0,1365.0,417.0,5676.0,595.0,2637.827457264957,28321.0,582861.2010443864,835.5364006988934,1503.0,2069.0,1205.0,1.2,0.11,0.14,4.1,0.21,0.3,0.16,0.83,0.74,1.0,0.04,0.0507865168539326,36005005100.0,0.0
26,0.17,0.41,0.09,0.18,0.22,0.17,0.27,31.1,42.0,83.57,660.0,876.0,703.0,2368.0,296.0,2637.827457264957,47233.0,265000.0,835.5364006988934,1291.0,832.0,367.0,4.944467353951887,0.13,0.1,3.4,0.31,0.27,0.15,0.71,0.73,0.96,0.06,0.0507865168539326,36005005200.0,1.0
27,0.13,0.2,0.05,0.12,0.42,0.09,0.6239601990049735,27.5,51.4,64.86,946.0,783.0,822.0,3866.0,394.0,2637.827457264957,23484.0,582861.2010443864,835.5364006988934,1202.0,1712.0,868.0,8.9,0.06,0.1,4.0,0.29,0.51,0.24,0.88,0.48,1.0,0.07,0.0507865168539326,36005005300.0,1.0
28,0.27,0.31,0.13,0.18,0.22,0.13,0.66,32.0,40.3,97.74,1204.0,2839.0,660.0,6292.0,447.0,3000.0,44579.0,424800.0,589.0,1291.0,1967.0,1129.0,0.9,0.03,0.17,4.4,0.33,0.26,0.22,0.7,0.75,0.84,0.03,0.01,36005005400.0,0.0
29,0.23,0.43,0.09,0.15,0.26,0.16,0.47,39.3,41.2,73.69,1056.0,973.0,660.0,2614.0,301.0,2182.0,34407.0,424000.0,835.5364006988934,1204.0,1022.0,332.0,4.0,0.13,0.04,3.7,0.35,0.28,0.19,0.59,0.64,0.86,0.05,0.01,36005005600.0,0.0
30,0.17,0.4,0.04,0.17,0.25,0.12,0.37,38.3,39.2,87.7,1256.0,1263.0,696.0,2746.0,114.0,1771.0,49663.0,206800.0,835.5364006988934,1178.0,1125.0,432.0,4.944467353951887,0.13,0.13,3.7,0.28,0.26,0.09,0.65,0.74,0.8,0.09,0.03,36005005902.0,1.0
31,0.15,0.48,0.03,0.13,0.43,0.11,0.12,31.0,39.8,86.34,1118.0,555.0,561.0,1269.0,69.0,2637.827457264957,48273.0,370800.0,636.0,1204.0,402.0,208.0,4.7,0.07,0.09,3.6,0.29,0.2,0.2,0.43,0.76,0.95,0.05,0.02,36005006000.0,0.0
32,0.06,0.7,0.0572485962225625,0.06,0.31,0.04,0.18,50.9,36.6,75.79,1011.0,586.0,696.0,3878.0,138.0,2637.827457264957,48072.0,23100.0,835.5364006988934,1256.0,2349.0,231.0,9.2,0.1,0.16,3.8,0.1,0.77,0.08,0.68,0.21,0.44,0.14,0.01,36005006100.0,0.0
33,0.3,0.35,0.12,0.12,0.23,0.09,0.6239601990049735,29.3,43.2,100.43,703.0,2162.0,660.0,7386.0,480.0,2637.827457264957,33594.0,582861.2010443864,835.5364006988934,1204.0,2531.0,1474.0,3.3,0.12,0.1,4.0,0.25,0.39,0.27,0.74,0.68,0.97,0.04,0.0507865168539326,36005006200.0,0.0
34,0.17,0.39,0.04,0.2,0.24,0.11,0.45,35.7,42.8,112.74,1162.0,1794.0,874.0,4291.0,300.0,1082.0,42131.0,222800.0,525.0,1311.0,2012.0,584.0,4.2,0.1,0.09,3.5,0.23,0.28,0.11,0.74,0.67,0.92,0.08,0.0507865168539326,36005006300.0,0.0
35,0.07,0.39,0.19,0.22,0.28,0.1,0.6,38.0,50.3,106.45,1203.0,1065.0,480.0,3266.0,254.0,4000.0,35262.0,541300.0,900.0,1288.0,1442.0,652.0,1.6,0.06,0.06,3.9,0.38,0.36,0.2,0.57,0.53,0.85,0.06,0.02,36005006400.0,0.0
36,0.13,0.24,0.06,0.09,0.29,0.14,0.22,30.0,38.6,104.71,984.0,1704.0,538.0,5609.0,476.0,2637.827457264957,31130.0,582861.2010443864,835.5364006988934,1256.0,1996.0,902.0,2.0,0.05,0.25,3.8,0.27,0.32,0.16,0.84,0.67,0.98,0.02,0.0507865168539326,36005006500.0,1.0
37,0.33,0.19,0.05,0.05,0.23,0.13,0.33,27.2,45.4,82.44,696.0,2528.0,786.0,7597.0,781.0,2637.827457264957,51894.0,349200.0,590.0,1256.0,2416.0,1474.0,1.3,0.02,0.21,4.1,0.26,0.32,0.23,0.85,0.65,0.95,0.04,0.0507865168539326,36005006700.0,1.0
38,0.15,0.5,0.11,0.08,0.33,0.13,0.64,31.8,44.0,143.86,1228.0,1549.0,480.0,3358.0,337.0,2950.0,54102.0,404400.0,1101.0,1288.0,1074.0,559.0,4.944467353951887,0.09,0.17,4.4,0.33,0.42,0.09,0.47,0.47,0.75,0.03,0.0507865168539326,36005006800.0,0.0
39,0.19,0.29,0.04,0.1,0.31,0.12,0.89,27.5,37.7,88.64,873.0,2688.0,696.0,8672.0,932.0,4000.0,44204.0,574100.0,835.5364006988934,1256.0,2741.0,1855.0,1.9,0.06,0.09,4.1,0.25,0.41,0.15,0.69,0.56,0.94,0.05,0.0507865168539326,36005006900.0,1.0
40,0.15,0.39,0.1,0.23,0.24,0.16,0.7,32.3,46.7,86.82,1288.0,1969.0,480.0,4889.0,461.0,2379.0,49123.0,421500.0,1091.0,1228.0,1455.0,821.0,1.6,0.11,0.13,4.5,0.35,0.23,0.26,0.5,0.63,0.79,0.02,0.02,36005007000.0,0.0
41,0.12,0.47,0.04,0.13,0.34,0.08,0.91,31.4,46.5,73.3,1011.0,604.0,793.0,2544.0,174.0,1228.0,50114.0,223400.0,629.0,1074.0,999.0,399.0,4.7,0.07,0.09,4.1,0.47,0.37,0.13,0.57,0.64,0.62,0.08,0.02,36005007100.0,1.0
42,0.14,0.5,0.05,0.17,0.19,0.23,0.59,32.1,43.5,101.12,1142.0,2614.0,815.0,5563.0,712.0,2236.0,47147.0,333300.0,1060.0,1270.0,1760.0,813.0,4.944467353951887,0.08,0.21,3.7,0.31,0.2,0.14,0.51,0.45,0.76,0.02,0.05,36005007200.0,0.0
43,0.24,0.25,0.06,0.08,0.34,0.07,0.6239601990049735,29.0,48.0,111.17,964.0,1324.0,626.0,4046.0,433.0,2637.827457264957,27657.0,582861.2010443864,835.5364006988934,1025.0,1415.0,783.0,5.5,0.07,0.31,3.8,0.37,0.42,0.22,0.77,0.58,0.99,0.05,0.0507865168539326,36005007300.0,1.0
44,0.12,0.56,0.0572485962225625,0.38,0.37,0.05,0.35,36.3,50.8,76.57,1275.0,685.0,408.0,3701.0,218.0,2230.0,53188.0,362600.0,753.0,1471.0,1445.0,566.0,2.1,0.17,0.06,4.3,0.19,0.32,0.12,0.35,0.66,0.62,0.09,0.02,36005007400.0,0.0
45,0.15,0.39,0.05,0.08,0.32,0.12,0.66,28.4,41.5,63.81,793.0,858.0,880.0,6043.0,584.0,1393.0,36432.0,308000.0,469.0,1074.0,2387.0,1228.0,5.5,0.06,0.19,4.1,0.42,0.47,0.14,0.7,0.56,0.88,0.08,0.0507865168539326,36005007500.0,1.0
46,0.22,0.4,0.11,0.24,0.24,0.14,0.77,32.5,42.0,79.68,1226.0,2064.0,480.0,5013.0,345.0,2805.0,42820.0,518800.0,907.0,1288.0,1700.0,653.0,4.944467353951887,0.04,0.19,4.2,0.37,0.28,0.14,0.57,0.65,0.8,0.02,0.02,36005007600.0,0.0
47,0.17,0.4,0.11,0.15,0.3,0.09,0.88,31.2,42.0,75.26,1221.0,790.0,675.0,2040.0,167.0,1813.0,43634.0,353300.0,835.5364006988934,1027.0,638.0,349.0,4.944467353951887,0.05,0.16,4.3,0.34,0.26,0.18,0.59,0.72,0.76,0.05,0.02,36005007700.0,0.0
48,0.22,0.38,0.06,0.28,0.17,0.16,0.55,30.0,42.4,86.39,1308.0,2618.0,408.0,6535.0,712.0,2734.0,48754.0,411900.0,736.0,1497.0,2196.0,960.0,2.9,0.09,0.18,4.2,0.36,0.19,0.12,0.47,0.72,0.81,0.02,0.01,36005007800.0,0.0
49,0.2,0.24,0.01,0.09,0.26,0.12,1.0,28.0,42.0,87.74,703.0,2056.0,675.0,6693.0,790.0,2637.827457264957,34928.0,582861.2010443864,835.5364006988934,1221.0,2433.0,1204.0,2.3,0.1,0.26,4.0,0.25,0.29,0.21,0.82,0.74,0.98,0.06,0.0507865168539326,36005007900.0,1.0
50,0.24,0.27,0.05,0.09,0.21,0.12,0.86,30.8,42.6,97.22,889.0,2597.0,675.0,6887.0,841.0,2258.0,39897.0,405600.0,800.0,1221.0,2198.0,1244.0,2.0,0.09,0.16,4.0,0.24,0.2,0.21,0.7,0.81,0.9,0.04,0.0507865168539326,36005008300.0,1.0
51,0.1,0.7,0.03,0.31,0.36,0.1,0.79,32.9,44.6,92.54,1471.0,621.0,408.0,2528.0,162.0,2347.0,78747.0,442500.0,974.0,1390.0,757.0,436.0,6.2,0.09,0.08,5.3,0.24,0.38,0.08,0.24,0.63,0.36,0.05,0.07,36005008400.0,1.0
52,0.19,0.27,0.05,0.07,0.25,0.16,0.87,32.3,38.3,109.0,1003.0,2280.0,675.0,6406.0,280.0,1263.0,35818.0,251100.0,835.5364006988934,1221.0,2017.0,1075.0,4.2,0.04,0.22,3.9,0.3,0.23,0.22,0.69,0.79,0.92,0.04,0.02,36005008500.0,1.0
53,0.17,0.42,0.09,0.39,0.22,0.16,0.67,34.8,49.7,75.75,408.0,965.0,911.0,3849.0,162.0,2305.0,37869.0,391000.0,450.0,1471.0,1465.0,691.0,4.944467353951887,0.05,0.14,4.4,0.22,0.3,0.23,0.7,0.7,0.88,0.04,0.01,36005008600.0,0.0
54,0.23,0.33,0.03,0.14,0.27,0.13,0.74,32.0,47.9,90.34,1027.0,2571.0,675.0,6420.0,435.0,2792.0,37565.0,335700.0,835.5364006988934,1221.0,2054.0,1085.0,1.5,0.1,0.15,4.2,0.37,0.24,0.16,0.74,0.77,0.98,0.03,0.0507865168539326,36005008700.0,1.0
55,0.23,0.28,0.07,0.16,0.31,0.05,0.28,27.6,46.3,82.18,929.0,981.0,387.0,3323.0,297.0,2637.827457264957,34230.0,56600.0,719.0,1013.0,1272.0,685.0,1.3,0.15,0.19,3.7,0.25,0.29,0.18,0.81,0.79,0.94,0.06,0.0507865168539326,36005008900.0,0.0
56,0.13,0.51,0.07,0.42,0.39,0.17,0.72,29.2,47.8,88.59,438.0,670.0,408.0,3636.0,144.0,1911.0,53379.0,409400.0,721.0,1681.0,1219.0,733.0,1.3,0.09,0.07,4.5,0.21,0.32,0.18,0.64,0.69,0.74,0.04,0.02,36005009000.0,0.0
57,0.13,0.47,0.06,0.18,0.27,0.08,0.72,34.5,52.4,87.01,1276.0,2089.0,1116.0,5975.0,581.0,2332.0,60563.0,465400.0,920.0,1497.0,1892.0,750.0,1.0,0.1,0.16,3.9,0.29,0.18,0.1,0.61,0.61,0.78,0.02,0.01,36005009200.0,0.0
58,0.2,0.24,0.08,0.12,0.27,0.1,0.66,31.0,45.6,140.47,1157.0,2743.0,703.0,6601.0,464.0,1495.0,37456.0,372000.0,835.5364006988934,1391.8300338000963,1991.0,1146.0,0.8,0.16,0.06,3.9,0.4,0.31,0.18,0.58,0.7,0.92,0.04,0.01,36005009300.0,1.0
59,0.16,0.48,0.03,0.18,0.31,0.08,0.77,36.7,39.8,92.8,1526.0,827.0,1116.0,2597.0,202.0,2908.0,56346.0,400600.0,739.0,1594.0,812.0,370.0,3.8,0.1,0.15,4.2,0.36,0.23,0.13,0.47,0.54,0.67,0.03,0.05,36005009600.0,0.0
60,0.11,0.58,0.04,0.41,0.32,0.13,0.82,39.9,46.7,80.35,1386.0,1333.0,408.0,5306.0,369.0,2159.0,70410.0,413100.0,805.0,1471.0,1810.0,623.0,3.4,0.11,0.08,4.7,0.26,0.29,0.07,0.33,0.71,0.58,0.03,0.07,36005009800.0,0.0
61,0.24,0.27,0.1,0.13,0.28,0.12,0.82,28.5,44.0,90.59,998.0,1638.0,387.0,4656.0,470.0,3293.0,38579.0,395000.0,835.5364006988934,1013.0,1546.0,885.0,1.4,0.06,0.1,4.0,0.36,0.36,0.18,0.71,0.69,0.93,0.03,0.02,36005011502.0,1.0
62,0.16,0.36,0.01,0.14,0.3,0.12,0.6239601990049735,26.9,37.0,83.29,1094.0,307.0,610.0,1536.0,129.0,2637.827457264957,40708.0,10000.0,715.0,1391.8300338000963,626.0,333.0,4.944467353951887,0.1,0.12,3.4,0.34,0.35,0.16,0.71,0.69,0.97,0.1,0.0507865168539326,36005011700.0,1.0
63,0.04,0.84,0.06,0.8,0.36,0.06,0.59,35.6,36.9,149.27,1752.0,568.0,1273.0,5267.0,312.0,2462.0,91626.0,408500.0,730.0,1692.0,1599.0,333.0,4.944467353951887,0.14,0.11,5.2,0.22,0.02,0.07,0.1,0.23,0.27,0.11,0.06,36005011800.0,0.0
64,0.29,0.24,0.04,0.11,0.27,0.11,0.73,30.7,44.8,89.08,941.0,1773.0,387.0,5179.0,527.0,2250.0,29983.0,582861.2010443864,835.5364006988934,1013.0,2071.0,882.0,4.944467353951887,0.05,0.2,3.8,0.3,0.36,0.14,0.82,0.67,0.95,0.07,0.0507865168539326,36005011900.0,1.0
65,0.21,0.25,0.1,0.14,0.28,0.1,0.68,27.5,45.6,92.44,1013.0,1085.0,495.0,2875.0,264.0,2158.0,34162.0,407500.0,785.0,1089.0,1029.0,463.0,3.4,0.06,0.15,4.2,0.3,0.3,0.15,0.63,0.69,0.82,0.04,0.02,36005012101.0,1.0
66,0.25,0.14,0.08,0.12,0.31,0.13,0.6239601990049735,24.3,45.4,68.37,495.0,307.0,387.0,1682.0,102.0,2637.827457264957,24069.0,582861.2010443864,835.5364006988934,1089.0,534.0,325.0,4.944467353951887,0.06,0.12,4.2,0.17,0.19,0.16,0.76,0.87,1.0,0.03,0.0507865168539326,36005012102.0,1.0
67,0.16,0.38,0.06,0.08,0.34,0.11,0.75,30.0,44.2,83.72,663.0,1076.0,495.0,3893.0,382.0,2484.0,45225.0,432700.0,1037.0,1097.0,1651.0,615.0,2.2,0.07,0.13,3.9,0.3,0.33,0.16,0.65,0.68,0.91,0.07,0.01,36005012300.0,1.0
68,0.23,0.38,0.06,0.12,0.32,0.09,0.73,31.0,37.2,106.96,1089.0,1441.0,495.0,4311.0,524.0,2272.0,43573.0,431600.0,895.0,1097.0,1485.0,629.0,1.1,0.1,0.05,4.0,0.37,0.3,0.13,0.55,0.67,0.84,0.04,0.0507865168539326,36005012500.0,0.0
69,0.18,0.27,0.03,0.2,0.35,0.1,0.45,34.7,45.0,71.25,733.0,491.0,387.0,1954.0,122.0,2130.0,29990.0,339100.0,459.0,1089.0,829.0,377.0,4.944467353951887,0.05,0.19,3.9,0.25,0.23,0.14,0.84,0.77,0.85,0.03,0.0507865168539326,36005012701.0,1.0
70,0.2,0.22,0.03,0.11,0.25,0.16,0.09,28.6,43.9,85.4,942.0,1157.0,675.0,4240.0,420.0,2637.827457264957,26345.0,543300.0,835.5364006988934,1221.0,1529.0,833.0,4.944467353951887,0.1,0.2,3.7,0.31,0.42,0.24,0.81,0.58,0.96,0.11,0.0507865168539326,36005012901.0,1.0
71,0.1,0.74,0.1,0.65,0.39,0.1,0.65,39.8,43.6,84.33,1429.0,221.0,567.0,1447.0,82.0,2641.0,93994.0,437900.0,911.0,1752.0,483.0,153.0,4.944467353951887,0.06,0.03,5.0,0.32,0.08,0.12,0.11,0.53,0.44,0.04,0.12,36005013000.0,0.0
72,0.13,0.34,0.05,0.07,0.35,0.15,0.94,27.6,44.3,100.08,901.0,1517.0,675.0,5008.0,642.0,2391.0,39118.0,397100.0,835.5364006988934,1221.0,1821.0,1062.0,4.944467353951887,0.07,0.07,3.9,0.31,0.35,0.19,0.62,0.7,0.88,0.03,0.0507865168539326,36005013100.0,1.0
73,0.08,0.77,0.03,0.52,0.37,0.08,0.77,41.1,42.0,100.45,1309.0,830.0,567.0,7160.0,421.0,2815.0,114928.0,451900.0,814.0,1728.0,2547.0,895.0,4.944467353951887,0.11,0.13,5.0,0.27,0.16,0.07,0.1,0.49,0.34,0.05,0.06,36005013200.0,0.0
74,0.22,0.39,0.02,0.09,0.41,0.07,0.58,32.6,40.4,80.33,675.0,1494.0,702.0,6095.0,511.0,2554.0,35648.0,582861.2010443864,665.0,1221.0,2379.0,694.0,4.944467353951887,0.1,0.08,4.1,0.19,0.39,0.19,0.82,0.6,0.94,0.1,0.0507865168539326,36005013300.0,1.0
75,0.13,0.27,0.06,0.11,0.27,0.05,0.86,32.8,41.1,94.7,702.0,1415.0,675.0,3855.0,269.0,1898.0,43555.0,313700.0,835.5364006988934,1221.0,1462.0,703.0,3.9,0.07,0.12,4.0,0.27,0.38,0.2,0.7,0.63,0.91,0.04,0.01,36005013500.0,1.0
76,0.07,0.64,0.1,0.71,0.23,0.1,0.6,42.4,32.7,96.21,1273.0,414.0,567.0,2794.0,204.0,1648.0,83618.0,279700.0,490.0,1752.0,1337.0,272.0,10.8,0.05,0.13,4.6,0.08,0.04,0.11,0.16,0.28,0.33,0.02,0.09,36005013800.0,0.0
77,0.12,0.4,0.01,0.14,0.34,0.16,0.81,31.4,43.0,81.17,1074.0,1925.0,541.0,5781.0,596.0,1912.0,52932.0,251500.0,835.5364006988934,1011.0,2193.0,1055.0,3.3,0.11,0.08,3.7,0.57,0.37,0.14,0.73,0.62,0.95,0.05,0.0507865168539326,36005014100.0,1.0
78,0.22,0.3,0.04,0.13,0.48,0.06,0.65,33.9,39.9,101.67,541.0,467.0,436.0,1085.0,82.0,2637.827457264957,23331.0,322500.0,835.5364006988934,1178.0,483.0,168.0,1.8,0.08,0.12,1.9,0.48,0.51,0.2,0.81,0.38,0.94,0.07,0.0507865168539326,36005014300.0,1.0
79,0.11,0.39,0.06,0.23,0.29,0.13,0.62,27.8,61.4,63.97,567.0,1120.0,1233.0,6198.0,611.0,2897.0,44017.0,472000.0,895.0,1608.0,2269.0,1240.0,1.0,0.07,0.18,4.1,0.27,0.43,0.13,0.68,0.62,0.86,0.05,0.02,36005014400.0,1.0
80,0.19,0.24,0.02,0.06,0.28,0.09,0.33,26.5,53.7,89.89,902.0,1591.0,436.0,8112.0,817.0,2637.827457264957,32066.0,582861.2010443864,728.0,1178.0,2348.0,1919.0,1.8,0.07,0.18,3.6,0.35,0.4,0.2,0.76,0.61,0.97,0.05,0.0507865168539326,36005014500.0,1.0
