,EDUCATIONAL ATTAINMENT Less than 9th grade,HEALTH INSURANCE COVERAGE With private health insurance,Construction,White,"Educational services, and health care and social assistance",Retail trade,MORTGAGE STATUS Owner-occupied units Housing units with a mortgage,Median age (years),Mean travel time to work (minutes),Sex ratio (males per 100 females),GROSS RENT Occupied units paying rent Median (dollars),YEAR OF ENTRY Foreign born,relation_min_fee,Total population,Own children of the householder under 6 years,SELECTED MONTHLY OWNER COSTS (SMOC) Housing units with a mortgage Median (dollars),Mean household income (dollars),VALUE Median (dollars),SELECTED MONTHLY OWNER COSTS (SMOC) Housing units without a mortgage Median (dollars),relation_max_fee,Total housing units,Own children of the householder 6 to 17 years,Rental vacancy rate,"Professional, scientific, and management, and administrative and waste management services","Arts, entertainment, and recreation, and accommodation and food services",ROOM Median rooms,YEAR HOUSEHOLDER MOVED INTO UNIT Moved in 2010 to 2014,Black or African American,"EDUCATIONAL ATTAINMENT 9th to 12th grade, no diploma",VEHICLES AVAILABLE No vehicles available,Hispanic or Latino (of any race),HOUSING TENURE Renter-occupied,PLACE OF BIRTH Native Different state,VEHICLES AVAILABLE 3 or more vehicles available,geoid,label
1586,0.03,0.7,0.04,0.4330876685934471,0.36,0.1,0.83,37.9,48.0,77.77,1406.0,2345.0,1146.0,6476.0,418.0,2446.0,83077.0,405000.0,708.0,1412.0,1993.0,903.0,4.944467353951887,0.04,0.06,5.9,0.18,0.93,0.06,0.21,0.04,0.3,0.09,0.17,36081037600.0,1.0
1587,0.35,0.23,0.14,0.34,0.11,0.13,0.81,30.8,41.6,98.53,1460.0,2224.0,1305.0,3792.0,401.0,3691.0,62776.0,620000.0,481.0,1545.0,933.0,701.0,4.944467353951887,0.04,0.3,4.4,0.31,0.09,0.2,0.54,0.9,0.75,0.01,0.04,36081037700.0,0.0
1588,0.34,0.28,0.16,0.32,0.12,0.12,0.88,27.3,44.9,124.39,1648.0,4510.0,1392.0,7232.0,976.0,3569.0,61162.0,740600.0,809.0,1648.0,1489.0,882.0,2.7,0.05,0.26,4.3,0.34,0.06,0.09,0.6,0.9,0.78,0.01,0.01,36081037900.0,0.0
1589,0.27,0.31,0.16,0.44,0.14,0.11,0.58,31.0,46.5,112.41,1513.0,4347.0,1392.0,7583.0,674.0,2575.0,66568.0,382900.0,835.5364006988934,1648.0,2003.0,1182.0,4.944467353951887,0.05,0.23,4.3,0.3,0.16,0.11,0.52,0.82,0.65,0.05,0.02,36081038100.0,0.0
1590,0.09,0.58,0.03,0.02,0.4,0.07,0.67,38.8,48.6,83.76,1363.0,972.0,1317.0,2387.0,180.0,2599.0,75493.0,360900.0,815.0,1534.0,756.0,419.0,4.944467353951887,0.11,0.09,5.8,0.26,0.88,0.06,0.2,0.08,0.4,0.04,0.05,36081038400.0,0.0
1591,0.04,0.64,0.06,0.03,0.34,0.11,0.73,40.1,46.5,90.43,1412.0,1153.0,1208.0,2986.0,192.0,2502.0,69920.0,394000.0,713.0,1549.0,998.0,391.0,6.8,0.11,0.07,5.7,0.14,0.87,0.07,0.2,0.08,0.39,0.1,0.08,36081039400.0,0.0
1592,0.05,0.71,0.06,0.03,0.37,0.05,0.74,38.3,44.2,95.56,1286.0,662.0,1140.0,1762.0,130.0,2496.0,101819.0,411700.0,832.0,1549.0,538.0,202.0,4.944467353951887,0.06,0.08,6.5,0.2,0.92,0.06,0.13,0.05,0.22,0.06,0.23,36081039800.0,0.0
1593,0.3,0.34,0.15,0.5,0.14,0.06,0.73,29.1,44.8,109.07,1424.0,2340.0,1392.0,4173.0,514.0,3190.0,62628.0,505200.0,800.0,1648.0,1020.0,674.0,2.3,0.07,0.26,4.1,0.35,0.08,0.11,0.57,0.82,0.76,0.1021207729468604,0.02,36081039900.0,0.0
1594,0.04,0.73,0.07,0.01,0.28,0.1,0.8,42.7,40.7,88.81,1271.0,469.0,1140.0,1299.0,36.0,2510.0,81285.0,399000.0,625.0,1549.0,453.0,205.0,10.1,0.04,0.08,6.2,0.17,0.94,0.02,0.18,0.06,0.23,0.08,0.2,36081040000.0,0.0
1595,0.35,0.19,0.14,0.4,0.1,0.09,0.95,28.4,37.9,112.25,1612.0,4455.0,1376.0,7085.0,832.0,2404.0,63010.0,364300.0,835.5364006988934,1648.0,1767.0,1056.0,3.7,0.08,0.23,4.1,0.33,0.02,0.14,0.67,0.86,0.88,0.01,0.02,36081040100.0,0.0
1596,0.03,0.68,0.01,0.4330876685934471,0.44,0.05,0.84,40.5,53.9,69.46,1089.0,545.0,1140.0,1681.0,147.0,2381.0,99075.0,429400.0,835.5364006988934,1440.0,466.0,197.0,11.5,0.06,0.06,6.0,0.08,0.95,0.07,0.05,0.03,0.23,0.1,0.11,36081040200.0,1.0
1597,0.36,0.31,0.16,0.38,0.11,0.09,0.65,29.3,44.2,122.61,1603.0,4374.0,1376.0,7208.0,719.0,2466.0,61004.0,461500.0,860.0,1648.0,1733.0,1329.0,4.944467353951887,0.09,0.26,4.0,0.43,0.04,0.1,0.57,0.86,0.82,0.01,0.0507865168539326,36081040300.0,0.0
