tract_id,house_num,shape_area,shape_length,target
06037408134,690,2211665.5761544798,151661.3766013455,0
06037408135,895,3043843.2243086565,203541.45713550062,0
06037408136,1114,3393637.83684638,241308.78575025866,0
06037408137,586,2764441.8198258234,156781.0923468658,0
06037408138,1112,2850622.99498248,220997.7761542326,0
06037408139,785,2625444.0544822738,174665.8545152999,0
06037408140,778,3090408.276319963,183259.27172106024,0
06037408141,1033,3415658.264920681,232320.35394387564,0
06037408211,1923,49965743.32656018,989122.0258325665,0
06037408212,1552,15488573.031215783,488204.58864209894,0
06037408301,1217,4151605.289130049,268241.87038845406,0
06037408302,1154,4486244.344689353,268229.81493820855,0
06037408303,1051,3818531.4890695647,258115.23575356015,0
06037408401,1075,3270024.0907525662,235124.37946023632,0
06037408501,706,2339961.903384061,160825.4965605121,0
06037408503,2088,7873149.766018565,513758.48420386645,0
06037408504,1144,4354695.614752686,280507.82360186934,0
06037408505,941,4200338.10563766,244692.38078692363,0
06037408623,724,2801149.990992426,172746.56224120723,0
06037408624,1029,3548396.567995206,230786.81945154472,0
06037408625,1323,5612010.825794314,338797.276284557,0
06037408626,1099,4830417.8098282255,275294.91907115834,0
06037408627,967,3429400.9026144035,226513.8227295426,0
06037408628,1297,5104516.091117419,309887.3949997071,0
06037408629,806,3416119.019881447,208160.58276069094,0
06037408630,584,1915606.8618772319,128444.62147728367,0
06037408631,1421,4121020.0638412554,306916.4545754455,0
06037408704,765,2978001.1325570513,185093.8522301636,0
06037408705,1550,6497011.048130244,383185.53327013284,0
06037408706,525,1958178.8642288153,126684.26989455632,0
06037408722,1378,4283885.135470926,309161.11757499876,0
06037408723,804,2583280.925252026,181788.97519482241,0
06037408724,343,2379593.025250765,117052.04401568368,0
06037430002,1741,6802628.573532131,403307.7177342134,0
06037430003,2935,306127252.2687346,2820838.425256626,0
06037430101,1047,6858086.782738113,293673.95451263274,0
06037430102,1135,3884031.8009752305,241431.70580307592,0
06037430302,2166,5479967.094110564,432939.29928601615,0
06037430501,1651,4903052.704398927,359206.98365448636,0
06037430502,2344,8134060.358620443,544748.1924335695,0
06037430701,1822,7170692.524288321,457100.60574516025,0
06037430721,929,11234323.873148117,364520.52123930375,0
06037430723,356,2659667.0131505546,134655.5089199299,0
06037430724,350,3405709.2976973234,145097.5651945348,0
06037430801,1223,6361369.189733401,348248.97427717573,0
06037430802,1550,6010100.759146608,384737.49236202636,0
06037430803,1941,6946823.981966379,472523.07725096616,0
06037431002,1050,5041791.414521502,257662.85283533414,0
06037431501,1110,3668936.9818620663,250718.29031980506,0
06037431502,1442,4400097.173634642,298378.16330816306,0
06037432101,1304,3554172.5635568975,269306.81475259917,0
06037432102,1930,6664366.21027683,439298.8781157606,0
06037432402,1173,6788588.107995668,296274.70837990515,0
06037432601,1377,3868290.4515622575,285853.322524696,0
06037432801,402,3331718.5292181293,122655.54758262678,0
06037432902,935,4717160.195455034,223680.42288941343,0
06037433101,643,5669166.5529170595,209940.3208383289,0
06037433102,687,1840894.3971654652,140786.07426056365,0
06037433302,293,2048579.7323225597,88159.22312825665,0
06037433304,524,2956448.0199030126,133821.70560074988,0
06037433305,556,1613298.5982646067,120408.44302108762,0
06037433403,577,1727637.063408094,122934.49482100601,0
06037433503,581,4221942.937391823,178486.43710742917,0
06037433504,668,3805375.520401933,190700.73452036147,0
06037433601,1227,3216144.9881539373,249494.6610505805,0
06037433602,613,3627749.402204086,166967.99390305416,0
06037433801,1022,8654377.86440393,329179.19759755785,0
06037433802,817,3596234.3052472183,199577.26330477046,0
06037433901,659,2265690.5888139643,142163.19887160434,0
06037434004,595,1662016.8406559697,121654.91132908114,0
06037460301,1707,4917255.819462711,356838.04356035765,0
06037460302,1380,3100274.7264812966,254836.27901416842,0
06037460501,2087,9865019.736215321,582248.8539855587,0
06037460502,1695,6716856.7286318485,425145.69257323234,0
06037461501,1059,2355887.4390238263,194164.69029663442,0
06037461502,1036,3304370.060923448,217945.09699239559,0
06037461901,550,2783318.412461949,139399.1112737545,0
06037461902,156,4640567.326777259,109582.76709013166,0
06037462002,437,1406667.4294465643,97465.52113899999,0
06037462201,394,1923281.9317782158,103313.15730942186,0
06037462202,160,2745437.541783182,84752.54946674524,0
06037462301,613,1973977.6833345438,139826.16743181748,0
06037463101,841,2529567.428857859,178896.11402099289,0
06037463102,1310,5951725.2581558265,342844.8107802714,0
06037463601,419,6486643.816574295,210576.56011283575,0
06037463602,343,6777877.097818746,193855.90228589476,0
06037480002,1236,3858455.974116596,276310.3654230522,0
06037480011,1056,4042352.3408795637,244546.43792483327,0
06037480101,1266,3538178.868661847,266987.06784859905,0
06037480102,1190,3686576.33031465,261081.07311670095,0
06037480201,1568,4076096.8746461673,318634.8877615615,0
06037480202,1092,3094832.883032703,228851.31230913493,0
06037480304,341,1944508.7210654665,105187.77900078971,0
06037480702,1331,4466662.536497256,307707.9577432776,0
06037480703,969,2964547.0323216384,205283.98414629995,0
06037480704,956,3445605.701175129,223082.74517586944,0
06037480802,1125,8520072.425219841,320457.90214002517,0
06037480803,1124,3458396.0396547713,225662.08994908584,0
06037480804,749,2553619.262947131,174182.3827750978,0
06037480902,525,1851849.152246913,124691.52877164865,0
06037481001,814,3608584.0370236966,196176.74778103785,0
06037481002,754,3813942.319705551,193809.96706862916,0
06037481103,1326,4213487.931273315,288254.3719723688,0
06037481201,907,3652260.6985772345,212561.82190154126,0
06037481402,1705,6182911.582387781,396705.3409374134,0
06037481606,909,3061147.373452316,210440.24157254517,0
06037481711,403,2148801.2518236255,120383.85553150892,0
06037481901,1850,4732779.310026202,365813.2921722579,0
06037481902,744,2113652.647991959,152985.23496681033,0
06037482001,997,5986272.676988922,287701.8779603921,0
06037482002,1788,7786664.31092648,460161.97438137094,0
06037482101,986,3343498.8778765383,224674.55779186223,0
06037482102,961,3125306.412605483,213078.9935943592,0
06037482201,741,2712115.3807186224,172501.84529172955,0
06037482202,826,2521099.0418788902,184225.27843922845,0
06037482301,854,2254165.8601057716,173712.12899466298,0
06037482304,535,1464050.0893091324,109927.19861978164,0
06037482401,708,2035983.9844893604,148834.47969142257,0
06037482402,1483,6960081.865718804,370418.4612358281,0
06037482521,1307,3341347.091553228,259433.00267044664,0
06037482522,711,3152006.369693136,182782.57451348103,0
06037482701,1150,3847542.2177001117,241562.48484845704,0
06037500201,2556,9127774.68180551,613933.3583731906,0
06037500202,1773,9580657.644283995,531350.1724666336,0
06037500402,863,5117191.354784727,214615.7647832114,0
06037500403,1128,4226895.4079531,251430.5098747502,0
06037500404,1267,3049871.2591297165,244115.2811645555,0
06037501002,1564,3819150.087518708,297754.5134513494,0
06037501501,741,2533224.7960975016,172992.44421383925,0
06037501503,900,2577389.0449988237,191713.4767576147,0
06037501504,478,3057340.5374546195,142321.57594713237,0
06037501803,464,2096266.2842048304,122550.45563292611,0
06037501804,410,1929319.0780795321,101326.76223654268,0
06037502003,636,1546285.5947352354,118339.05826003011,0
06037502004,937,6317221.431850923,232889.77738838765,0
06037502005,1072,2976184.032395557,218522.4425097474,0
06037502301,1323,4183104.18274279,280358.63772012934,0
06037502302,448,3880673.9102435564,148418.57666551147,0
06037502401,1069,3092399.5398887326,214540.93071728258,0
06037502402,954,2304349.4445086727,182082.0309708006,0
06037502601,1861,5161671.498669867,379644.96924709884,0
06037502602,967,4001781.8307522847,233860.93306525506,0
06037502801,1625,5397915.437548107,348387.7190722299,0
06037502802,858,28571501.85834008,549886.3077264244,0
06037502901,1360,3863611.492161111,279565.5945639288,0
06037502902,1297,21658675.35899793,565671.694346628,0
06037503103,1075,2644352.405121059,205195.8163209695,0
