GEOID,label,label_three,label_four,TRACTCE10,NAME10,NAMELSAD10,INTPTLAT,INTPTLONG,long+,long-,lat+,lat-,"Agriculture, forestry, fishing and hunting, and mining",Construction,Manufacturing,Wholesale trade,Retail trade,"Transportation and warehousing, and utilities",Information,"Finance and insurance, and real estate and rental and leasing","Professional, scientific, and management, and administrative and waste management services","Educational services, and health care and social assistance","Arts, entertainment, and recreation, and accommodation and food services","Other services, except public administration",Public administration,"INCOME AND BENEFITS (IN 2017 INFLATION-ADJUSTED DOLLARS) Less than $10,000",HEALTH INSURANCE COVERAGE With health insurance coverage,HEALTH INSURANCE COVERAGE With private health insurance,YEAR STRUCTURE BUILT Built 2014 or later,YEAR STRUCTURE BUILT Built 2010 to 2013,HOUSING TENURE Renter-occupied,YEAR HOUSEHOLDER MOVED INTO UNIT Moved in 2015 or later,YEAR HOUSEHOLDER MOVED INTO UNIT Moved in 2010 to 2014,VEHICLES AVAILABLE No vehicles available,VEHICLES AVAILABLE 2 vehicles available,VEHICLES AVAILABLE 3 or more vehicles available,OCCUPANTS PER ROOM 1.01 to 1.50,OCCUPANTS PER ROOM 1.51 or more,MORTGAGE STATUS Owner-occupied units Housing units with a mortgage,65 years and over,MARITAL STATUS Males 15 years and over Never married,MARITAL STATUS Females 15 years and over Never married,EDUCATIONAL ATTAINMENT Less than 9th grade,"EDUCATIONAL ATTAINMENT 9th to 12th grade, no diploma",Percent bachelor's degree or higher,PLACE OF BIRTH Native Different state,SEX AND AGE 62 years and over,White,Black or African American,American Indian and Alaska Native,Asian,Hispanic or Latino (of any race),Own children of the householder under 6 years,Own children of the householder 6 to 17 years,Mean travel time to work (minutes),Median household income (dollars),Mean household income (dollars),Total housing units,Homeowner vacancy rate,Rental vacancy rate,ROOM Median rooms,VALUE Median (dollars),SELECTED MONTHLY OWNER COSTS (SMOC) Housing units with a mortgage Median (dollars),SELECTED MONTHLY OWNER COSTS (SMOC) Housing units without a mortgage Median (dollars),GROSS RENT Occupied units paying rent Median (dollars),Population in households,YEAR OF ENTRY Population born outside the United States,YEAR OF ENTRY Foreign born,Total households,Total population,Sex ratio (males per 100 females),Median age (years),relation_max_fee,relation_min_fee
17031010100,1,1,1,10100,101,Census Tract 101,42.02,-87.67,-87.67,-87.67,42.02,42.02,0,0.02,0.02,0.01,0.12,0.08,0.04,0.11,0.11,0.26,0.12,0.07,0.04,0.2,0.89,0.62,0,0,0.84,0.12,0.48,0.54,0.14,0.01,0.02,0,0.87,0.05,0.62,0.53,0.01,0.08,0.36,0.2,0.08,0.45,0.46,0,0.01,0.09,398,495,35.9,33750,50719,2626,3.2,10.3,3.7,250000,1954,650,865,4301,767,733,2248,4444,91.2,33.7,1003,943
17031010201,0,0,0,10201,102.01,Census Tract 102.01,42.02,-87.68,-87.68,-87.68,42.02,42.01,0,0.02,0.07,0.02,0.11,0.13,0.03,0.09,0.11,0.25,0.09,0.05,0.04,0.15,0.84,0.43,0,0,0.71,0.17,0.41,0.28,0.2,0.02,0.08,0.01,0.76,0.06,0.48,0.39,0.11,0.1,0.3,0.19,0.09,0.51,0.39,0.01,0.02,0.23,644,934,39.2,40841,57921,2994,0,5.3,4,150500,1613,714,989,7007,2710,2663,2670,7197,108,34.8,1076,865
17031010202,0,1,1,10202,102.02,Census Tract 102.02,42.02,-87.67,-87.67,-87.68,42.02,42.01,0,0.03,0.08,0.03,0.13,0.03,0.02,0.06,0.11,0.24,0.16,0.09,0.01,0.12,0.75,0.43,0,0,0.73,0.16,0.39,0.42,0.15,0.02,0.05,0.08,0.63,0.11,0.53,0.47,0.12,0.1,0.32,0.17,0.2,0.5,0.3,0,0.08,0.29,210,185,31.5,36563,46507,1216,5.8,7,3.5,168300,1201,813,943,2173,1022,963,976,2487,96.1,36.7,1003,865
17031010300,0,1,1,10300,103,Census Tract 103,42.02,-87.67,-87.66,-87.67,42.02,42.01,0,0.02,0.05,0.01,0.07,0.04,0,0.04,0.2,0.28,0.2,0.05,0.04,0.12,0.86,0.6,0,0,0.69,0.18,0.41,0.38,0.18,0.02,0.06,0.02,0.73,0.1,0.54,0.37,0.05,0.1,0.35,0.21,0.22,0.6,0.29,0,0.06,0.19,395,372,40.2,36870,66444,3395,0,5.5,3.5,174400,1533,597,948,5420,1608,1566,2982,6413,93.2,42.1,990,865
17031010400,0,0,0,10400,104,Census Tract 104,42.01,-87.66,-87.66,-87.66,42.01,42,0.01,0.01,0.02,0,0.14,0.03,0.03,0.05,0.11,0.33,0.2,0.09,0,0.13,0.94,0.81,0,0,0.82,0.23,0.39,0.38,0.12,0.01,0.01,0.04,0.55,0.09,0.7,0.69,0.01,0.01,0.64,0.33,0.1,0.7,0.22,0,0.06,0.07,306,348,33.6,39634,53991,2218,0,11.5,3.7,226200,1765,651,979,3868,613,585,1870,5411,82.5,23.8,990,706
17031010501,1,1,1,10501,105.01,Census Tract 105.01,42.01,-87.66,-87.66,-87.67,42.01,42.01,0,0,0.04,0,0.08,0.1,0.02,0.05,0.13,0.33,0.14,0.05,0.05,0.14,0.85,0.66,0.01,0,0.88,0.16,0.52,0.5,0.1,0.01,0,0,0.95,0.11,0.64,0.58,0.02,0.04,0.55,0.24,0.14,0.54,0.33,0,0.05,0.1,268,196,37,31985,43210,2606,0,9.5,3.5,184200,1519,0,945,4060,1085,1021,2348,4081,91.5,37.1,990,706
17031010502,1,2,2,10502,105.02,Census Tract 105.02,42,-87.66,-87.66,-87.67,42.01,42,0,0.01,0.03,0.01,0.08,0.07,0.02,0.04,0.14,0.29,0.2,0.1,0.01,0.09,0.85,0.69,0,0,0.82,0.21,0.49,0.48,0.08,0.05,0.02,0,0.6,0.05,0.59,0.64,0.01,0.05,0.52,0.28,0.09,0.61,0.25,0,0.09,0.06,64,140,36.1,33721,45594,1749,0,5.8,3.4,217800,1695,731,957,2599,733,675,1505,2631,110.8,31.6,1052,706
17031010503,0,0,0,10503,105.03,Census Tract 105.03,42,-87.66,-87.66,-87.67,42,42,0,0,0.07,0.01,0.11,0.03,0.02,0.11,0.09,0.19,0.26,0.1,0.01,0.34,0.94,0.63,0,0.03,0.81,0.14,0.49,0.55,0.07,0.05,0.03,0.04,0.44,0.31,0.62,0.58,0.11,0.1,0.38,0.35,0.32,0.73,0.07,0,0.14,0.14,101,41,36.8,19671,46195,1315,0,17.7,3,358500,2420,468,706,2020,570,554,1049,2047,93.5,30.9,1052,943
17031010600,0,0,0,10600,106,Census Tract 106,42.01,-87.67,-87.66,-87.67,42.01,42,0.01,0.01,0.04,0.01,0.11,0.04,0.05,0.08,0.15,0.34,0.08,0.1,0.01,0.11,0.8,0.66,0,0,0.79,0.16,0.47,0.39,0.13,0.01,0.02,0.04,0.73,0.07,0.62,0.57,0.05,0.03,0.47,0.29,0.07,0.62,0.22,0,0.02,0.23,336,588,39.2,40576,61445,3272,0,8.6,4.1,221700,1750,880,990,6331,1662,1591,2993,6515,107.7,32.5,979,706
17031010701,0,2,2,10701,107.01,Census Tract 107.01,42.01,-87.68,-87.68,-87.68,42.01,42.01,0,0.02,0.05,0,0.13,0.05,0.04,0.05,0.1,0.21,0.25,0.09,0.02,0.07,0.89,0.58,0,0,0.51,0.13,0.3,0.19,0.26,0.05,0.05,0.01,0.71,0.04,0.44,0.31,0.15,0.04,0.43,0.17,0.12,0.6,0.18,0,0.12,0.36,405,525,34.2,60798,71225,1697,0.9,4.9,4.7,198100,1595,807,1003,3833,1455,1352,1530,3833,91.1,36.1,1076,943
17031010702,1,2,2,10702,107.02,Census Tract 107.02,42.01,-87.67,-87.67,-87.68,42.01,42.01,0,0.01,0.06,0.04,0.12,0.04,0.03,0.09,0.07,0.26,0.22,0.05,0.01,0.07,0.8,0.48,0,0,0.77,0.19,0.45,0.34,0.14,0.02,0.08,0.07,0.85,0.03,0.56,0.52,0.15,0.06,0.44,0.18,0.03,0.58,0.23,0,0.07,0.39,378,1038,37,39604,50639,2250,1.5,5.2,4.1,156300,1486,632,972,5255,2176,2158,2049,5333,93.4,31.9,1003,943
17031020100,0,0,0,20100,201,Census Tract 201,42.02,-87.69,-87.68,-87.69,42.02,42.01,0,0.02,0.08,0.01,0.09,0.08,0.01,0.09,0.17,0.24,0.17,0.02,0.03,0.12,0.82,0.5,0,0,0.54,0.11,0.44,0.15,0.22,0.08,0.03,0.04,0.71,0.11,0.43,0.37,0.09,0.12,0.32,0.09,0.15,0.34,0.25,0,0.24,0.23,383,577,31.1,49318,70597,1708,0,19.4,4.1,139400,1352,576,1052,4157,1759,1686,1434,4208,86,36.1,1085,943
17031020200,0,0,0,20200,202,Census Tract 202,42.02,-87.7,-87.7,-87.7,42.02,42.01,0,0.03,0.04,0.03,0.06,0.13,0,0.08,0.12,0.32,0.11,0.06,0.02,0.09,0.89,0.66,0,0,0.25,0.06,0.26,0.03,0.39,0.12,0.04,0.01,0.76,0.03,0.25,0.3,0.04,0.09,0.47,0.11,0.17,0.64,0.14,0,0.14,0.17,902,1288,32.3,87835,98878,2246,2.4,7.8,6,337300,2119,730,987,6778,2286,2142,2152,6905,92.3,35.2,1133,761
17031020301,0,0,0,20301,203.01,Census Tract 203.01,42.01,-87.71,-87.7,-87.71,42.01,42,0,0.03,0.06,0.03,0.1,0.04,0.03,0.09,0.14,0.34,0.04,0.1,0.01,0.11,0.95,0.69,0,0,0.27,0.06,0.36,0.2,0.31,0.06,0.05,0,0.58,0.28,0.27,0.19,0.03,0.05,0.57,0.1,0.28,0.8,0.04,0,0.13,0.08,577,992,31.3,53254,84314,2225,0.5,11.2,4.7,182900,1666,810,761,5290,1938,1799,1987,5295,98.1,39.7,1143,987
17031020302,0,0,0,20302,203.02,Census Tract 203.02,42.01,-87.69,-87.69,-87.7,42.01,42.01,0.01,0.03,0.06,0.01,0.13,0.06,0.05,0.08,0.12,0.33,0.08,0.02,0.03,0.06,0.89,0.73,0,0,0.44,0.08,0.36,0.2,0.3,0.05,0.03,0.01,0.74,0.1,0.41,0.35,0.03,0.05,0.56,0.18,0.17,0.7,0.13,0.01,0.11,0.15,415,813,33.5,69861,96046,1895,8.9,6.3,5.2,323000,1942,687,1085,4636,1433,1399,1710,5023,95.2,37.9,1133,761
17031020400,0,0,0,20400,204,Census Tract 204,42.01,-87.69,-87.68,-87.69,42.01,42.01,0,0.03,0.05,0.06,0.07,0.09,0.02,0.06,0.09,0.31,0.11,0.07,0.03,0.05,0.88,0.54,0,0.01,0.49,0.13,0.31,0.14,0.34,0.02,0.02,0.01,0.66,0.12,0.39,0.35,0.07,0.05,0.47,0.14,0.17,0.54,0.23,0,0.16,0.18,288,802,35,59705,79531,1844,0,9.1,5,242100,1813,583,1076,4531,1649,1554,1743,4551,87.5,37.6,1133,982
17031020500,0,0,0,20500,205,Census Tract 205,42,-87.68,-87.68,-87.69,42,42,0,0.05,0.1,0.04,0.1,0.19,0.04,0.01,0.08,0.13,0.22,0.04,0.01,0.13,0.76,0.34,0.01,0,0.74,0.15,0.47,0.22,0.2,0.08,0.07,0,0.58,0.12,0.47,0.29,0.18,0.11,0.33,0.12,0.16,0.42,0.15,0,0.29,0.3,704,684,32.7,40090,49917,2479,0,11.4,4.3,120100,1463,424,982,6295,3364,3342,2144,6545,105.1,32.3,1153,940
17031020601,0,0,0,20601,206.01,Census Tract 206.01,42,-87.7,-87.7,-87.71,42,42,0,0.01,0.09,0,0.24,0.06,0.01,0.07,0.09,0.25,0.1,0.07,0.01,0.13,0.9,0.49,0.01,0,0.58,0.15,0.3,0.17,0.21,0.06,0.1,0.04,0.69,0.13,0.4,0.31,0.09,0.05,0.4,0.16,0.18,0.6,0.1,0.03,0.23,0.06,593,1059,28.1,39282,70241,2216,0,7.9,5,302700,1904,641,1054,6098,3383,3130,1987,6130,91.7,37.4,1373,761
17031020602,1,2,2,20602,206.02,Census Tract 206.02,42,-87.69,-87.69,-87.7,42,42,0,0.03,0.05,0.03,0.11,0.06,0.02,0.08,0.1,0.26,0.16,0.1,0,0.09,0.76,0.35,0,0,0.6,0.1,0.29,0.17,0.34,0.07,0.09,0,0.53,0.06,0.44,0.29,0.07,0.08,0.44,0.11,0.17,0.53,0.1,0,0.25,0.2,519,748,33.2,50048,66621,1531,3.5,6.4,5.4,329000,2264,789,1133,4619,2080,2044,1388,4637,120.7,32.2,1153,982
17031020701,0,2,2,20701,207.01,Census Tract 207.01,41.99,-87.7,-87.7,-87.71,41.99,41.98,0,0.09,0.07,0.03,0.13,0.07,0.07,0.04,0.05,0.27,0.09,0.07,0.04,0.03,0.95,0.72,0,0.01,0.42,0.07,0.35,0.06,0.38,0.1,0.01,0.02,0.69,0.09,0.28,0.22,0.07,0.02,0.48,0.1,0.21,0.74,0.05,0,0.16,0.13,147,266,33.3,76635,99441,749,8.4,11.1,5.4,364200,2337,783,1373,1729,621,546,615,1729,86.7,40.4,1186,1054
17031020702,0,0,0,20702,207.02,Census Tract 207.02,41.99,-87.7,-87.7,-87.71,42,41.99,0,0.07,0.06,0.06,0.1,0.12,0.01,0.02,0.11,0.24,0.1,0.11,0.01,0.06,0.86,0.44,0,0,0.65,0.1,0.4,0.1,0.18,0.17,0.05,0.06,0.64,0.07,0.37,0.28,0.1,0.13,0.29,0.11,0.13,0.57,0.09,0,0.19,0.22,668,1336,28.2,44990,56773,2575,0,7.6,5.1,228600,1679,533,1143,7655,4010,3784,2321,7843,99.1,32,1373,761
17031020801,0,0,0,20801,208.01,Census Tract 208.01,41.99,-87.69,-87.69,-87.7,41.99,41.98,0.01,0.03,0.09,0.02,0.13,0.08,0.02,0.13,0.07,0.22,0.11,0.08,0.02,0.04,0.87,0.54,0,0,0.62,0.13,0.37,0.07,0.27,0.14,0.06,0,0.53,0.06,0.46,0.35,0.2,0.07,0.32,0.11,0.17,0.7,0.02,0,0.23,0.27,249,764,36.6,50230,69665,2318,0,9,5,345200,1650,895,1072,5206,2346,2234,1999,5211,108.1,37.4,1373,1054
17031020802,0,0,0,20802,208.02,Census Tract 208.02,41.99,-87.69,-87.69,-87.7,42,41.99,0,0,0.06,0.05,0.12,0.11,0.01,0.11,0.05,0.2,0.23,0.05,0.01,0.04,0.75,0.36,0,0,0.61,0.08,0.41,0.11,0.22,0.12,0.1,0.03,0.77,0.01,0.48,0.34,0.16,0.05,0.33,0.07,0.11,0.36,0.08,0.02,0.46,0.13,547,1115,31.2,47207,70638,2471,3.6,8.3,5.2,268300,1714,801,1069,7832,4478,4442,2222,7857,115.1,34.4,1373,1054
17031020901,1,2,2,20901,209.01,Census Tract 209.01,42,-87.69,-87.68,-87.69,42,41.99,0,0.05,0.07,0.01,0.12,0.13,0.01,0.04,0.1,0.27,0.14,0.08,0,0.08,0.84,0.46,0,0,0.72,0.13,0.46,0.21,0.23,0.07,0.05,0.04,0.64,0.01,0.52,0.47,0.07,0.08,0.4,0.09,0.1,0.45,0.21,0,0.22,0.31,592,924,37.3,42942,54293,2214,0,14.2,4.7,188500,1712,521,1153,5787,2656,2582,1903,5807,96.5,31.4,1160,940
17031020902,0,1,1,20902,209.02,Census Tract 209.02,41.99,-87.68,-87.68,-87.68,42,41.99,0,0.03,0.1,0.02,0.13,0.06,0,0.06,0.09,0.29,0.16,0.05,0.02,0.1,0.81,0.46,0,0,0.44,0.07,0.33,0.29,0.18,0.05,0.05,0.03,0.51,0.18,0.45,0.42,0.14,0.06,0.32,0.09,0.19,0.61,0.11,0,0.22,0.17,301,522,35.7,36660,48780,1714,0.9,9.5,4.4,92800,1267,458,940,3945,2290,2167,1589,4474,82.8,36.6,1160,858
17031030101,1,0,0,30101,301.01,Census Tract 301.01,41.99,-87.66,-87.65,-87.66,41.99,41.99,0,0.03,0.07,0,0.12,0.04,0.01,0.1,0.16,0.24,0.15,0.07,0.02,0.08,0.8,0.55,0,0,0.66,0.21,0.29,0.37,0.15,0,0.01,0.05,0.63,0.14,0.55,0.42,0.03,0.03,0.55,0.21,0.21,0.69,0.21,0.01,0.05,0.23,103,194,35.3,43167,58457,2528,3.3,16.2,3.6,220300,1753,1111,892,3530,1222,1212,2124,3549,112.3,44.5,992,791
17031030102,1,2,2,30102,301.02,Census Tract 301.02,41.99,-87.66,-87.65,-87.66,42,41.99,0,0,0.05,0.02,0.09,0.07,0.03,0.12,0.13,0.25,0.17,0.07,0,0.09,0.84,0.74,0,0,0.61,0.19,0.44,0.52,0.06,0,0.03,0.04,0.73,0.11,0.59,0.52,0.02,0.03,0.5,0.28,0.23,0.61,0.18,0.01,0.1,0.11,53,50,35.3,43750,58035,2141,1,5.6,3.5,172100,1529,1102,901,2698,1028,985,1813,2766,99.6,40.5,992,791
17031030103,1,0,0,30103,301.03,Census Tract 301.03,42,-87.66,-87.65,-87.66,42,41.99,0,0,0.05,0,0.13,0.04,0.03,0.03,0.14,0.38,0.13,0.05,0.02,0.14,0.9,0.81,0,0.02,0.75,0.22,0.47,0.43,0.08,0,0.03,0,0.66,0.06,0.69,0.75,0.01,0.03,0.69,0.43,0.07,0.57,0.18,0,0.19,0.13,51,25,33,49233,62904,1190,0,15.5,3.3,157900,1555,612,975,1559,688,661,949,2217,77.8,28.4,1052,706
17031030104,1,0,0,30104,301.04,Census Tract 301.04,42,-87.66,-87.65,-87.66,42,41.99,0.01,0.01,0.02,0.01,0.12,0.05,0.03,0.07,0.12,0.37,0.14,0.05,0.02,0.12,0.85,0.76,0,0,0.61,0.15,0.44,0.52,0.09,0.02,0,0.02,0.57,0.08,0.79,0.78,0.06,0.02,0.53,0.35,0.12,0.64,0.1,0,0.18,0.14,4,63,31.4,38871,50398,1149,0,15,3.2,118700,1554,843,943,1684,1016,926,1016,3375,78.9,21.5,979,706
17031030200,0,0,0,30200,302,Census Tract 302,41.99,-87.67,-87.66,-87.67,42,41.99,0,0.02,0.03,0.02,0.08,0.04,0.04,0.11,0.17,0.26,0.11,0.09,0.05,0.09,0.95,0.82,0,0,0.51,0.1,0.37,0.23,0.17,0.04,0.01,0,0.76,0.07,0.53,0.45,0.03,0.05,0.61,0.37,0.19,0.82,0.06,0,0.05,0.11,239,324,39.1,64089,91870,2753,2.9,13.3,5.1,299000,2250,860,1052,5043,539,442,2461,5103,100.4,43.4,1375,706
17031030300,0,0,0,30300,303,Census Tract 303,41.99,-87.67,-87.67,-87.68,42,41.99,0,0.01,0.06,0.02,0.16,0.06,0.03,0.06,0.12,0.19,0.15,0.12,0.02,0.12,0.82,0.46,0,0,0.69,0.15,0.4,0.28,0.23,0.03,0.06,0.01,0.71,0.13,0.46,0.45,0.13,0.05,0.34,0.19,0.13,0.71,0.06,0.01,0.16,0.39,152,504,35.8,37868,55910,1529,0,3.7,4.3,280000,1688,570,923,3315,1372,1353,1459,3315,99.8,37.1,1375,706
17031030400,1,2,2,30400,304,Census Tract 304,41.99,-87.67,-87.67,-87.68,41.99,41.98,0,0.02,0.13,0.02,0.07,0.02,0.04,0.08,0.17,0.23,0.13,0.08,0.01,0.15,0.86,0.6,0,0.01,0.58,0.09,0.37,0.22,0.2,0.04,0.01,0.01,0.83,0.1,0.52,0.44,0.04,0.06,0.55,0.23,0.17,0.74,0.11,0.01,0.07,0.3,179,214,38.6,45850,70200,1405,2.6,5.6,4.4,310800,1938,690,858,2708,819,778,1313,2708,101.5,37.3,1375,923
17031030500,0,0,0,30500,305,Census Tract 305,41.99,-87.66,-87.66,-87.67,41.99,41.98,0,0.03,0.1,0.01,0.09,0.02,0.03,0.04,0.19,0.24,0.16,0.05,0.05,0.02,0.95,0.77,0,0,0.53,0.13,0.42,0.24,0.19,0.04,0.01,0.01,0.79,0.06,0.55,0.46,0.05,0.05,0.57,0.36,0.13,0.82,0.04,0,0.07,0.25,282,544,38,79587,103819,3235,3.7,9.4,5,325700,2333,769,1375,6443,1466,1327,2864,6570,102.5,37.3,1313,791
17031030601,1,2,2,30601,306.01,Census Tract 306.01,41.99,-87.65,-87.65,-87.66,41.99,41.99,0.02,0.02,0.04,0.02,0.04,0.07,0.04,0.11,0.18,0.18,0.19,0.08,0.02,0.08,0.84,0.53,0,0.01,0.7,0.21,0.41,0.45,0.11,0.01,0.01,0.13,0.64,0.16,0.48,0.44,0.08,0.07,0.48,0.23,0.22,0.7,0.18,0,0.1,0.19,288,300,39.4,39015,53155,2175,5.2,6.2,3.2,170700,1778,844,949,3870,1408,1371,2014,4066,119.3,40,992,791
17031030603,0,1,1,30603,306.03,Census Tract 306.03,41.99,-87.66,-87.65,-87.66,41.99,41.98,0,0.01,0.03,0.01,0.12,0.1,0.01,0.06,0.17,0.26,0.17,0.03,0.04,0.16,0.78,0.51,0,0,0.94,0.16,0.61,0.56,0.1,0,0.01,0.07,0.83,0.06,0.59,0.55,0.03,0.04,0.48,0.27,0.1,0.48,0.34,0.03,0.12,0.14,47,189,36.7,29088,48106,1496,0,6.7,2.6,252600,1727,0,791,2023,815,815,1329,2023,102.1,34.1,1098,793
17031030604,1,2,2,30604,306.04,Census Tract 306.04,41.99,-87.65,-87.65,-87.66,41.99,41.98,0,0.02,0.04,0.05,0.09,0.03,0.02,0.11,0.18,0.29,0.14,0.01,0.03,0.12,0.9,0.69,0,0,0.75,0.22,0.42,0.52,0.07,0.01,0.02,0.05,0.65,0.22,0.54,0.4,0.01,0.04,0.53,0.27,0.23,0.47,0.23,0,0.26,0.06,250,78,38.5,30486,48934,2405,7,10,3.2,164300,1654,605,992,3220,1323,1306,2008,3225,119.7,41.1,1098,791
17031030701,0,0,0,30701,307.01,Census Tract 307.01,41.98,-87.66,-87.65,-87.66,41.99,41.98,0,0,0.11,0.04,0.11,0.07,0.03,0.03,0.14,0.21,0.21,0.06,0,0.11,0.83,0.61,0,0,0.81,0.19,0.57,0.48,0.09,0.01,0.02,0.03,0.82,0.05,0.69,0.55,0.1,0.05,0.41,0.3,0.16,0.56,0.24,0.01,0.16,0.1,84,60,38.9,36467,45139,968,0,5.2,2.4,153300,1212,0,831,1405,471,470,898,1597,129.5,37.6,1313,791
17031030702,0,2,2,30702,307.02,Census Tract 307.02,41.98,-87.65,-87.65,-87.66,41.98,41.98,0,0,0.04,0.03,0.17,0.09,0.05,0.05,0.17,0.29,0,0.09,0.04,0.08,0.93,0.74,0,0,0.42,0.13,0.21,0.34,0.17,0.03,0.01,0.02,0.65,0.07,0.4,0.35,0,0.03,0.73,0.14,0.23,0.65,0.11,0,0.23,0.03,37,0,36.9,73967,109335,708,0,0,3.3,200400,1845,852,1098,982,433,421,625,982,97.6,48.6,1028,791
17031030703,0,2,2,30703,307.03,Census Tract 307.03,41.98,-87.66,-87.65,-87.66,41.98,41.98,0,0.01,0.08,0.01,0.05,0.05,0.02,0.07,0.18,0.29,0.17,0.04,0.04,0.18,0.9,0.63,0,0.01,0.75,0.15,0.35,0.55,0.1,0.01,0.01,0.01,0.81,0.16,0.62,0.43,0.07,0.09,0.54,0.28,0.2,0.65,0.2,0.01,0.05,0.14,42,169,39.1,40670,55449,1948,0,6.2,3.6,235100,1883,796,793,2675,594,561,1688,2680,128.5,41.7,1313,672
17031030706,1,2,2,30706,307.06,Census Tract 307.06,41.98,-87.65,-87.65,-87.65,41.98,41.98,0,0.02,0.04,0.01,0.06,0.07,0.04,0.15,0.22,0.22,0.09,0.08,0.01,0.14,0.86,0.61,0,0,0.6,0.12,0.38,0.52,0.06,0,0,0.04,0.59,0.29,0.45,0.35,0.06,0.02,0.55,0.27,0.29,0.61,0.15,0,0.23,0.07,315,119,38.3,41331,59145,3159,0.8,12.3,3.4,171700,1540,817,1028,4270,1527,1476,2853,4270,116.8,46.1,1098,791
17031030800,0,0,0,30800,308,Census Tract 308,41.98,-87.66,-87.66,-87.67,41.98,41.98,0,0.01,0.02,0.03,0.05,0.02,0.04,0.07,0.23,0.24,0.16,0.1,0.04,0.09,0.97,0.86,0,0,0.51,0.1,0.39,0.2,0.23,0.04,0,0,0.61,0.06,0.49,0.42,0.02,0.05,0.7,0.31,0.23,0.8,0.04,0,0.09,0.14,260,288,40.1,72296,126111,2220,0,6.5,5.1,502000,2614,1211,1313,4190,762,646,1984,4376,86.3,41,1375,791
17031030900,0,0,0,30900,309,Census Tract 309,41.98,-87.67,-87.67,-87.68,41.98,41.98,0,0.06,0.04,0,0.08,0.02,0.04,0.07,0.19,0.23,0.13,0.08,0.07,0.01,0.82,0.7,0,0,0.61,0.14,0.32,0.23,0.23,0.02,0,0,0.77,0.09,0.53,0.4,0.03,0.06,0.61,0.29,0.14,0.65,0.16,0,0.1,0.14,190,123,34.9,88000,103493,1581,0,5,5.1,392200,2502,997,1279,3140,736,678,1492,3143,99.1,39.1,1375,858
17031031000,0,0,0,31000,310,Census Tract 310,41.97,-87.67,-87.67,-87.67,41.98,41.97,0,0.02,0.08,0.04,0.11,0.04,0.03,0.09,0.19,0.22,0.12,0.04,0.02,0.03,0.89,0.75,0.01,0.01,0.62,0.19,0.48,0.22,0.16,0.02,0.01,0,0.8,0.08,0.58,0.53,0.04,0.02,0.66,0.34,0.11,0.81,0.04,0,0.08,0.16,260,279,36.3,72964,98652,2118,0,5.9,4.4,410100,2491,919,1218,4061,793,756,1965,4078,92.4,35.1,1279,1069
17031031100,1,2,2,31100,311,Census Tract 311,41.97,-87.66,-87.66,-87.67,41.98,41.97,0,0.01,0.09,0.01,0.09,0.01,0.04,0.09,0.17,0.31,0.13,0.03,0.03,0.08,0.87,0.7,0,0,0.76,0.15,0.49,0.34,0.13,0.07,0,0.01,0.78,0.07,0.53,0.39,0.08,0.03,0.59,0.4,0.14,0.71,0.03,0,0.11,0.2,84,82,39.8,65462,81506,2378,0,2.2,4.4,315100,1869,872,1069,4579,976,949,2297,4666,103.4,39,1313,672
17031031200,0,2,2,31200,312,Census Tract 312,41.97,-87.66,-87.65,-87.66,41.98,41.97,0.02,0,0.06,0.02,0.12,0.05,0.03,0.08,0.15,0.11,0.25,0.12,0,0.26,0.87,0.49,0,0.01,0.76,0.13,0.44,0.45,0.14,0,0.06,0.04,0.77,0.07,0.6,0.43,0.08,0.12,0.43,0.2,0.14,0.62,0.22,0.01,0.12,0.14,336,638,36.9,35295,53892,3112,0,14.5,3.2,278800,1931,757,672,5438,2186,2124,2660,5720,134.5,36.3,1313,721
17031031300,0,0,0,31300,313,Census Tract 313,41.97,-87.65,-87.64,-87.65,41.98,41.97,0,0.02,0.03,0.01,0.07,0.11,0.01,0.11,0.12,0.29,0.13,0.07,0.03,0.1,0.88,0.57,0,0.04,0.69,0.17,0.42,0.44,0.11,0,0.02,0.06,0.71,0.22,0.55,0.42,0.04,0.04,0.5,0.26,0.27,0.53,0.22,0,0.2,0.11,235,711,39.1,42690,58707,4351,0,5,3.3,159500,1645,541,933,7454,2789,2571,4118,8037,104.3,43.6,1098,672
17031031400,0,0,0,31400,314,Census Tract 314,41.96,-87.64,-87.64,-87.65,41.96,41.96,0,0.01,0.04,0.02,0.05,0.02,0.05,0.13,0.24,0.27,0.1,0.04,0.04,0.05,0.95,0.88,0,0,0.47,0.17,0.33,0.32,0.11,0.01,0,0.02,0.61,0.11,0.54,0.41,0.01,0.04,0.78,0.38,0.22,0.74,0.13,0,0.1,0.08,205,47,34.1,68899,87943,3527,0,9.4,3.3,210600,1744,804,1177,4722,827,811,3087,4958,88.9,41.5,1443,782
17031031501,0,2,2,31501,315.01,Census Tract 315.01,41.97,-87.65,-87.65,-87.66,41.97,41.96,0,0.01,0.03,0.05,0.07,0.07,0.01,0.06,0.14,0.19,0.23,0.13,0.02,0.19,0.88,0.32,0,0.01,0.83,0.1,0.47,0.4,0.09,0.02,0.02,0.05,0.75,0.16,0.48,0.4,0.09,0.11,0.39,0.2,0.2,0.42,0.29,0,0.21,0.11,338,328,35.9,26915,46433,1998,11.9,6.5,3.7,220200,1840,719,721,3455,1686,1603,1776,4033,98.5,40.5,999,672
