GEOID,label,label_three,label_four,TRACTCE10,NAME10,NAMELSAD10,INTPTLAT,INTPTLONG,long+,long-,lat+,lat-,"Agriculture, forestry, fishing and hunting, and mining",Construction,Manufacturing,Wholesale trade,Retail trade,"Transportation and warehousing, and utilities",Information,"Finance and insurance, and real estate and rental and leasing","Professional, scientific, and management, and administrative and waste management services","Educational services, and health care and social assistance","Arts, entertainment, and recreation, and accommodation and food services","Other services, except public administration",Public administration,"INCOME AND BENEFITS (IN 2017 INFLATION-ADJUSTED DOLLARS) Less than $10,000",HEALTH INSURANCE COVERAGE With health insurance coverage,HEALTH INSURANCE COVERAGE With private health insurance,YEAR STRUCTURE BUILT Built 2014 or later,YEAR STRUCTURE BUILT Built 2010 to 2013,HOUSING TENURE Renter-occupied,YEAR HOUSEHOLDER MOVED INTO UNIT Moved in 2015 or later,YEAR HOUSEHOLDER MOVED INTO UNIT Moved in 2010 to 2014,VEHICLES AVAILABLE No vehicles available,VEHICLES AVAILABLE 2 vehicles available,VEHICLES AVAILABLE 3 or more vehicles available,OCCUPANTS PER ROOM 1.01 to 1.50,OCCUPANTS PER ROOM 1.51 or more,MORTGAGE STATUS Owner-occupied units Housing units with a mortgage,65 years and over,MARITAL STATUS Males 15 years and over Never married,MARITAL STATUS Females 15 years and over Never married,EDUCATIONAL ATTAINMENT Less than 9th grade,"EDUCATIONAL ATTAINMENT 9th to 12th grade, no diploma",Percent bachelor's degree or higher,PLACE OF BIRTH Native Different state,SEX AND AGE 62 years and over,White,Black or African American,American Indian and Alaska Native,Asian,Hispanic or Latino (of any race),Own children of the householder under 6 years,Own children of the householder 6 to 17 years,Mean travel time to work (minutes),Median household income (dollars),Mean household income (dollars),Total housing units,Homeowner vacancy rate,Rental vacancy rate,ROOM Median rooms,VALUE Median (dollars),SELECTED MONTHLY OWNER COSTS (SMOC) Housing units with a mortgage Median (dollars),SELECTED MONTHLY OWNER COSTS (SMOC) Housing units without a mortgage Median (dollars),GROSS RENT Occupied units paying rent Median (dollars),Population in households,YEAR OF ENTRY Population born outside the United States,YEAR OF ENTRY Foreign born,Total households,Total population,Sex ratio (males per 100 females),Median age (years),relation_max_fee,relation_min_fee
17031140200,0,0,0,140200,1402,Census Tract 1402,41.97,-87.71,-87.71,-87.72,41.97,41.97,0,0.04,0.1,0.01,0.08,0.14,0.01,0.03,0.1,0.21,0.21,0.06,0.02,0.17,0.78,0.53,0.01,0,0.78,0.12,0.48,0.31,0.18,0.09,0.1,0.03,0.73,0.11,0.59,0.59,0.19,0.05,0.32,0.18,0.1,0.63,0.05,0,0.17,0.43,289,686,36.3,42694,61840,1903,0,7.5,4.2,189500,1604,750,998,5035,2924,2782,1671,6228,96.3,28.8,1137,948
17031140301,1,2,2,140301,1403.01,Census Tract 1403.01,41.97,-87.72,-87.72,-87.73,41.97,41.97,0,0.07,0.14,0.01,0.07,0.08,0.05,0.03,0.06,0.16,0.27,0.06,0.02,0.14,0.66,0.3,0,0,0.7,0.17,0.36,0.25,0.17,0.09,0.15,0.12,0.76,0.01,0.49,0.4,0.23,0.14,0.27,0.05,0.09,0.51,0.02,0.01,0.19,0.69,425,358,36,40192,56219,913,0,6.5,4.6,200000,2175,740,990,2900,1715,1683,774,2900,112.3,29.5,1137,949
17031140302,0,2,2,140302,1403.02,Census Tract 1403.02,41.97,-87.72,-87.72,-87.73,41.98,41.97,0.01,0.06,0.08,0,0.08,0.07,0.01,0.09,0.14,0.26,0.08,0.09,0.03,0.03,0.85,0.57,0,0,0.52,0.11,0.33,0.14,0.33,0.08,0.06,0.04,0.71,0.02,0.36,0.33,0.1,0.06,0.4,0.12,0.18,0.52,0.06,0,0.14,0.41,461,594,36.4,72577,81443,1410,0,2.6,4.7,272500,2207,686,967,3893,1600,1555,1267,4254,93.6,37.4,1074,949
17031140400,0,0,0,140400,1404,Census Tract 1404,41.97,-87.74,-87.74,-87.74,41.97,41.97,0,0.1,0.13,0.03,0.12,0.07,0.03,0.06,0.12,0.21,0.07,0.04,0.03,0.03,0.88,0.61,0,0,0.36,0.08,0.32,0.12,0.35,0.14,0.04,0.01,0.65,0.11,0.3,0.26,0.08,0.06,0.34,0.11,0.17,0.65,0,0,0.2,0.34,452,1077,39.6,73906,90381,2387,0,0,5.7,298400,2215,662,870,6884,2396,2259,2280,6884,94.5,38.2,1326,889
17031140500,0,0,0,140500,1405,Census Tract 1405,41.97,-87.73,-87.73,-87.74,41.97,41.96,0.02,0.03,0.07,0.03,0.13,0.1,0.01,0.03,0.15,0.24,0.1,0.05,0.03,0.04,0.83,0.56,0.02,0,0.44,0.07,0.4,0.13,0.33,0.12,0.04,0.04,0.7,0.04,0.36,0.32,0.12,0.04,0.32,0.06,0.16,0.52,0.05,0,0.27,0.46,435,639,35.7,56278,75499,1367,0,3.5,5.4,262700,1885,501,1050,4237,1951,1808,1272,4237,100,35.4,990,870
17031140601,0,0,0,140601,1406.01,Census Tract 1406.01,41.96,-87.73,-87.72,-87.73,41.97,41.96,0,0.05,0.18,0,0.1,0.08,0.03,0.03,0.11,0.15,0.17,0.07,0.02,0.14,0.77,0.47,0,0,0.59,0.08,0.3,0.24,0.23,0.14,0.05,0.03,0.69,0.11,0.41,0.34,0.25,0.07,0.19,0.07,0.14,0.53,0.04,0,0.2,0.56,95,442,35.2,45769,58344,964,0,0,5,285800,1884,673,949,2760,1520,1446,918,2760,116,36.9,1074,925
17031140602,0,2,2,140602,1406.02,Census Tract 1406.02,41.96,-87.72,-87.72,-87.72,41.97,41.96,0,0.05,0.09,0.01,0.11,0.1,0.01,0.07,0.1,0.17,0.25,0.02,0.04,0.08,0.77,0.42,0.01,0,0.71,0.11,0.36,0.24,0.23,0.12,0.02,0.02,0.65,0.07,0.56,0.49,0.12,0.07,0.29,0.05,0.1,0.63,0.07,0,0.09,0.61,444,646,37.7,60508,72616,1831,0,5.8,4.9,289000,1973,1006,1074,5251,2657,2623,1589,5251,99.7,30.4,1137,948
17031140701,0,2,2,140701,1407.01,Census Tract 1407.01,41.97,-87.71,-87.71,-87.72,41.97,41.96,0,0.03,0.1,0.06,0.08,0.03,0.01,0.08,0.11,0.22,0.21,0.05,0.02,0.04,0.76,0.56,0,0.03,0.72,0.21,0.41,0.21,0.25,0.05,0.07,0.04,0.78,0.03,0.48,0.39,0.15,0.04,0.34,0.12,0.06,0.45,0.06,0,0.19,0.5,236,477,35,60100,70266,1137,13.1,5.4,4.9,276500,1805,677,1137,2911,1318,1292,1006,2911,101,32.9,1075,948
17031140702,0,2,2,140702,1407.02,Census Tract 1407.02,41.96,-87.71,-87.71,-87.72,41.97,41.96,0,0.04,0.13,0.02,0.07,0.04,0.02,0.06,0.15,0.18,0.2,0.08,0.01,0.06,0.72,0.44,0,0.01,0.67,0.09,0.4,0.2,0.24,0.07,0.08,0.02,0.65,0.04,0.51,0.52,0.21,0.1,0.29,0.1,0.1,0.73,0.03,0,0.05,0.65,544,779,37.9,51324,72708,2177,0,1.7,4.8,286000,2047,826,948,6133,2695,2499,2060,6154,105.5,33,1137,998
17031140800,0,0,0,140800,1408,Census Tract 1408,41.96,-87.7,-87.7,-87.71,41.97,41.96,0,0.03,0.05,0.04,0.07,0.07,0.01,0.09,0.18,0.22,0.18,0.04,0.01,0.06,0.82,0.58,0,0,0.51,0.05,0.33,0.16,0.24,0.04,0.01,0.03,0.75,0.06,0.5,0.43,0.08,0.07,0.48,0.21,0.11,0.66,0.06,0,0.1,0.37,371,733,39,69545,101054,2883,0,3.3,5,466700,2224,902,1064,6800,2503,2380,2600,6800,101.2,37.7,1336,948
17031150200,0,0,0,150200,1502,Census Tract 1502,41.96,-87.75,-87.75,-87.76,41.96,41.96,0,0.06,0.06,0.04,0.09,0.06,0.02,0.08,0.18,0.2,0.15,0.03,0.03,0.08,0.84,0.66,0,0,0.48,0.11,0.33,0.2,0.27,0.11,0.03,0.02,0.7,0.07,0.44,0.38,0.05,0.05,0.35,0.15,0.13,0.75,0.02,0,0.07,0.28,520,892,37.7,64545,76834,3393,2.3,4.6,5.3,325200,2041,726,983,7682,2253,1898,2972,7701,89.2,36.6,1147,889
17031150300,0,0,0,150300,1503,Census Tract 1503,41.96,-87.76,-87.76,-87.77,41.96,41.96,0,0.04,0.06,0.06,0.09,0.07,0.04,0.1,0.11,0.26,0.08,0.04,0.07,0.06,0.9,0.68,0,0,0.47,0.13,0.26,0.09,0.32,0.14,0.02,0.03,0.64,0.08,0.42,0.4,0.04,0.05,0.4,0.13,0.19,0.73,0.03,0,0.03,0.3,479,1121,38.2,74106,83759,3169,0,0,5.2,314000,1887,699,1077,8145,2331,2183,2991,8150,106.1,38.7,1148,972
17031150401,0,2,2,150401,1504.01,Census Tract 1504.01,41.96,-87.77,-87.77,-87.78,41.97,41.96,0,0.07,0.12,0.02,0.14,0.07,0.03,0.04,0.11,0.22,0.08,0.09,0.02,0.05,0.9,0.67,0,0,0.43,0.04,0.3,0.1,0.28,0.16,0.01,0.02,0.62,0.1,0.43,0.34,0.06,0.06,0.28,0.05,0.15,0.77,0.02,0.01,0.04,0.3,356,1013,36.5,70203,84272,1955,1.9,3.1,5.1,266100,1802,653,972,5266,1627,1497,1811,5266,95.8,37.6,1131,1037
17031150402,0,2,2,150402,1504.02,Census Tract 1504.02,41.96,-87.77,-87.77,-87.78,41.96,41.95,0,0.06,0.11,0.04,0.12,0.02,0.02,0.08,0.13,0.19,0.19,0.03,0.03,0.04,0.83,0.7,0,0,0.28,0.09,0.19,0.07,0.4,0.16,0.02,0,0.64,0.07,0.39,0.36,0.08,0.05,0.31,0.05,0.14,0.84,0,0,0.04,0.29,257,322,35.9,64545,83391,1486,2.3,0,5.5,292700,2127,700,1037,3662,1497,1393,1260,3668,109.8,36.3,1148,941
17031150501,0,2,2,150501,1505.01,Census Tract 1505.01,41.96,-87.78,-87.78,-87.79,41.97,41.96,0,0.09,0.1,0.02,0.06,0.08,0.02,0.07,0.07,0.22,0.09,0.08,0.1,0.01,0.89,0.69,0.01,0,0.24,0.05,0.24,0.07,0.43,0.12,0.03,0.01,0.66,0.13,0.27,0.32,0.06,0.06,0.31,0.07,0.22,0.79,0.03,0,0.04,0.23,265,529,35.7,65893,85314,1488,0,0,5.7,242200,1748,657,1066,4045,1167,1057,1432,4050,84.2,42,1131,941
17031150502,0,2,2,150502,1505.02,Census Tract 1505.02,41.96,-87.78,-87.78,-87.79,41.96,41.95,0,0.09,0.13,0.01,0.09,0.05,0,0.1,0.15,0.18,0.1,0.05,0.05,0.09,0.9,0.55,0.01,0,0.39,0.12,0.19,0.15,0.47,0.05,0.01,0.01,0.7,0.12,0.35,0.3,0.05,0.05,0.3,0.08,0.15,0.71,0.01,0,0.09,0.3,385,535,36.9,57857,78450,1646,0,3.5,5.4,241900,1810,660,1050,4221,1498,1404,1506,4243,107,39.1,1210,941
17031150600,0,0,0,150600,1506,Census Tract 1506,41.95,-87.77,-87.77,-87.78,41.95,41.95,0,0.06,0.09,0.03,0.13,0.04,0.07,0.09,0.12,0.17,0.12,0.04,0.03,0.05,0.9,0.64,0,0,0.32,0.1,0.29,0.11,0.39,0.14,0.03,0,0.62,0.06,0.46,0.41,0.06,0.03,0.24,0.13,0.16,0.67,0,0.01,0.12,0.4,324,440,40.6,65543,80604,1579,0,9.8,5.4,262800,1923,646,1000,3899,1147,1042,1370,3899,98.9,38.2,1148,844
17031150700,0,0,0,150700,1507,Census Tract 1507,41.95,-87.76,-87.76,-87.77,41.95,41.95,0,0.12,0.11,0.02,0.11,0.07,0.02,0.06,0.11,0.17,0.13,0.05,0.04,0.04,0.88,0.67,0,0,0.33,0.09,0.21,0.09,0.34,0.13,0.02,0,0.61,0.12,0.47,0.34,0.05,0.08,0.28,0.08,0.17,0.75,0.01,0,0.04,0.46,299,426,35.8,69265,84631,1658,3.3,0,5.4,251800,1940,693,1148,3994,1345,1171,1474,3994,102.4,39.8,1077,844
17031150800,0,0,0,150800,1508,Census Tract 1508,41.95,-87.75,-87.75,-87.76,41.95,41.95,0,0.14,0.11,0.02,0.11,0.09,0.02,0.04,0.07,0.17,0.14,0.06,0.03,0.03,0.78,0.55,0,0,0.53,0.05,0.38,0.1,0.31,0.15,0.01,0,0.68,0.1,0.45,0.33,0.15,0.12,0.26,0.09,0.13,0.55,0.01,0.01,0.07,0.54,315,650,37.2,54414,75261,1853,1.1,4.3,5.2,284300,1938,649,993,4901,1894,1621,1704,4914,117.5,35.5,1148,922
17031151001,0,2,2,151001,1510.01,Census Tract 1510.01,41.94,-87.75,-87.75,-87.76,41.95,41.94,0,0.04,0.15,0.02,0.11,0.05,0.02,0.05,0.14,0.17,0.14,0.08,0.03,0.15,0.83,0.56,0,0,0.53,0.08,0.35,0.19,0.29,0.1,0,0.01,0.6,0.11,0.43,0.45,0.14,0.11,0.2,0.07,0.16,0.62,0.07,0,0.06,0.55,78,344,39.8,49674,63073,1033,1.9,2.5,5,262600,1905,704,1009,2404,1037,939,884,2404,79.9,37.2,1148,821
